"species"	"range.size.km2"
"Crossodactylus dispar"	879.774114919662
"Pseudacris cadaverina"	75369.2805133535
"Rhinella bergi"	507437.98305395
"Ptychadena perplicata"	674210.53070545
"Brachycephalus verrucosus"	29.7174070338396
"Uperoleia laevigata"	546414.686379754
"Cardioglossa nigromaculata"	39636.6855609135
"Hyalinobatrachium iaspidiense"	2097241.11914168
"Kassina cassinoides"	1590492.97620844
"Brachycephalus albolineatus"	336.704817984622
"Ingerana charlesdarwini"	965.831852735111
"Eurycea arenicola"	2169.32024614325
"Oreophryne sibilans"	2.69598642608567
"Craugastor xucanebi"	9670.98777846478
"Afrixalus weidholzi"	2158264.34545496
"Hyperolius argus"	710482.929932174
"Brachycephalus garbeanus"	912.897964120383
"Scolecomorphus uluguruensis"	244.648863292124
"Ololygon atrata"	280.864277489532
"Odorrana lungshengensis"	66459.0845826985
"Phrynopus lechriorhynchus"	19.6303921142704
"Oreophryne rookmaakeri"	1966.74344163851
"Arthroleptella bicolor"	2040.14919973373
"Pristimantis kuri"	1729.85191734895
"Epipedobates machalilla"	37054.5266165901
"Atlantihyla melissa"	40.0348225822163
"Batrachuperus karlschmidti"	100637.111785809
"Gephyromantis malagasius"	62049.722393623
"Anodonthyla vallani"	20.3198071351026
"Scaphiophryne boribory"	1096.22372376507
"Ansonia tiomanica"	45.9240221043585
"Glandirana susurra"	142.899660467922
"Ranitomeya ventrimaculata"	304522.450301529
"Dendropsophus cachimbo"	12603.0239243867
"Uperoleia mjobergii"	35006.1599603032
"Trachycephalus hadroceps"	358784.035294264
"Hylarana doni"	7754.3604818213
"Nyctibatrachus karnatakaensis"	852.748761620336
"Pristimantis calcaratus"	2514.06279015296
"Litoria balatus"	39745.420088891
"Proteus anguinus"	19671.3421163508
"Mantella manery"	55.6001749266244
"Glyphoglossus yunnanensis"	241797.586299405
"Cycloramphus duseni"	6.96454793942014
"Plethodon ainsworthi"	0.671626126840241
"Charadrahyla pinorum"	1773.12780081028
"Austrochaperina mehelyi"	4021.9902679808
"Megophrys sangzhiensis"	10.6675378635879
"Cacosternum boettgeri"	2352879.43808858
"Duellmanohyla salvadorensis"	4555.80761101983
"Pristimantis bearsei"	1113.32539027909
"Onychodactylus fischeri"	31338.5094694129
"Plethodontohyla guentheri"	1336.42752632767
"Hypopachus barberi"	5846.65378411255
"Nanorana feae"	4256.4359016614
"Cacosternum australis"	12925.4905631066
"Boana pardalis"	318984.468940418
"Cophixalus ornatus"	2804.62108166804
"Atelopus limosus"	1407.52660479844
"Oreophryne brachypus"	13139.5277130705
"Natalobatrachus bonebergi"	5629.64201325843
"Dendropsophus rubicundulus"	960542.159130594
"Boophis ankaratra"	31291.2365830707
"Pristimantis viejas"	13296.0533262882
"Hyloxalus subpunctatus"	11032.5468376251
"Eleutherodactylus armstrongi"	985.302398472307
"Cophixalus tenuidactylus"	11.3169998733492
"Ololygon peixotoi"	0.581886263173868
"Bolitoglossa lozanoi"	36716.8489312807
"Pristimantis ornatissimus"	7300.23711457561
"Papurana attigua"	137788.413134252
"Bolitoglossa celaque"	78.8177439936429
"Nanorana chayuensis"	45370.2598625376
"Ichthyophis sikkimensis"	347.19476225756
"Pristimantis melanoproctus"	2360.89367082384
"Hyloscirtus torrenticola"	5416.20671230295
"Lithobates zweifeli"	121608.473456306
"Duellmanohyla rufioculis"	20510.2680612275
"Boana geographica"	1697546.05573707
