"species"	"range.size.km2"
"Catharsius rhinoceros"	98299.5766604455
"Deltochilum icarus"	1563026.83602089
"Copris victorini"	4267.13006847776
"Paraphytus africanus"	2507.12592908825
"Coptorhina nitefacta"	2513.18854351975
"Anomiopus parallelus"	5124155.50888622
"Cheironitis indicus"	248675.087039495
"Ateuchus latus"	49931.0900390463
"Onthophagus manya"	228234.414047442
"Canthidium calidum"	1256.59427227131
"Onitis parvulus"	27542.5506309566
"Coptodactyla lesnei"	35991.9103510139
"Onitis granulisetosus"	122747.501568192
"Anomiopus bonariensis"	2050383.97490928
"Cryptocanthon nebulinus"	64.8031390347298
"Scarabaeus namibicus"	1754159.74505355
"Anisocanthon pygmaeus"	444348.702666327
"Heliocopris faunus"	1125257.2567933
"Ateuchus euchalceus"	1256.59427288543
"Canthidium luteum"	1256.59427210413
"Canthon gemellatus"	122518.389310748
"Onthophagus lamgalio"	1210.89215964996
"Epirinus gratus"	46090.5828899965
"Sisyphus macrorubrus"	147737.979359099
"Canthon corpulentus"	3757.76794648708
"Onthophagus rufosignatus"	1490090.30619279
"Thyregis relictus"	6983.8309930789
"Dicranocara deschodti"	2464.00250261681
"Sulcophanaeus actaeon"	8726.51663677709
"Anomiopus smaragdinus"	7241743.94512573
"Bdelyrus grandis"	149741.094740679
"Scarabaeus galenus"	2233045.50554895
"Frankenbergerius opacus"	1007.19082997708
"Onthophagus villanuevai"	25599.2742148943
"Canthon podagricus"	1006722.00124463
"Eodrepanus fastiditus"	2774588.00118156
"Dichotomius nimuendaju"	2119904.82042722
"Canthon indigaceus"	2158363.7348697
"Cryptocanthon genieri"	1365.7088819833
"Frankenbergerius armatus"	68655.6685819338
"Coprophanaeus terrali"	3991.37431366467
"Dichotomius worontzowi"	4338080.95849705
"Onthophagus lacustris"	1126739.53245259
"Onitis aeruginosus"	1256.59427247695
"Phanaeus daphnis"	76362.4845219209
"Cryptocanthon rayonensis"	628.235271086079
"Demarziella storeyi"	8324.68476285401
"Onthophagus pugionatus"	2852816.70618741
"Canthidium viride"	279055.944093323
"Copris inhalatus"	1192738.6172341
"Onthophagus fuscivestis"	104440.447761825
"Canthon simulans"	3147322.16170717
