"species"	"range.size.km2"
"Sarcosoma globosum"	3462632.48555202
"Gymnoderma insulare"	1830.61984037679
"Amylocystis lapponica"	134570.563160283
"Boletopsis grisea"	28642881.9044533
"Hapalopilus croceus"	9766497.88449035
"Tulostoma niveum"	162608.367327407
"Gastrosporium simplex"	5209293.74294687
"Ramalina jamesii"	0.013772453794186
"Ramalina nematodes"	23.3068461563684
"Buellia asterella"	39673.9929887508
"Cetradonia linearis"	41318.6505755537
"Sulcaria isidiifera"	30.2421933474173
"Hericium erinaceus"	17950372.9231759
"Pseudotricholoma metapodium"	1047441.14137858
"Rhodotus palmatus"	7357320.83193645
"Rubroboletus dupainii"	3306371.53105425
"Clavaria zollingeri"	3791053.01564674
"Hygrocybe citrinovirens"	752219.004164149
"Hydnellum compactum"	1781940.75711325
"Hydnellum mirabile"	1061813.62550867
"Neolentiporus squamosellus"	580.029054147052
"Entoloma excentricum"	1182887.70034138
"Cortinarius odoratus"	1090121.69216725
"Cortinarius prasinocyaneus"	285670.165521929
"Ramaria roellinii"	212531.608733833
"Cortinarius suaveolens"	2506850.86343961
"Echinodontium ballouii"	13.5300383468614
"Geastrum hungaricum"	1779965.16342764
"Geastrum pouzarii"	945039.6107247
"Hygrocybe ingrata"	914580.190602947
"Lenzitopsis oxycedri"	157315.920870251
"Leptogium rivulare"	20607356.9210083
"Santessoniella crossophylla"	2972.05201590441
"Xanthoparmelia beccae"	14.6325029399807
"Anthracoidea andina"	15.0651516283883
"Anthracoidea ortegae"	17.4055217161293
"Entyloma maroccanum"	65.9847276367087
"Sporisorium elionuri-tristis"	9.2266728847343
"Armillaria ectypa"	62488.3984167476
"Cortinarius pavelekii"	906.550770723493
"Fomitopsis officinalis"	7537292.721961
"Gastrolactarius camphoratus"	236.244820061157
"Hygrocybe swanetica"	62687.7675194856
"Lepiota brunneolilacea"	120745.937595322
"Phylloporus pelletieri"	1423774.4034238
"Rhizopogon alexsmithii"	2013.94126158322
"Rubinoboletus rubinus"	1198122.88121248
"Sarcodon joeides"	587685.353599694
"Sarcodon leucopus"	173809.239910094
"Claustula fischeri"	2695.81433128649
"Destuntzia rubra"	266.905630342172
"Fevansia aurantiaca"	1116.93570904258
"Grifola gargal"	36968.9188902708
"Hydnellum gracilipes"	819774.882428453
"Cortinarius cupreorufus"	9558096.01865404
"Cortinarius osloensis"	258.141331369692
"Hygrocybe spadicea"	1927370.88603314
"Tricholoma acerbum"	15961372.946671
"Tricholoma borgsjoeënse"	320287.76695703
"Cortinarius citrino-olivaceus"	64264.9535269113
"Tricholoma apium"	4465618.11706757
"Arthopyrenia betulicola"	953.661902665333
"Mycoporum biseptatum"	560.628883354635
"Phaeographis oricola"	35.7847932426135
"Sulcaria badia"	8648.18287400088
"Sulcaria spiralifera"	4707.64698435985
"Thelomma carolinianum"	77173.9923413193
"Boletopsis nothofagi"	488.955245254999
"Amanita sp. nov. 'zayantensis'"	7.23068913624807
"Boletus peckii"	735557.20557904
"Boletus aurantiosplendens"	52682.9890547993
"Callistosporium vinosobrunneum"	45.457987663075
"Haploporus odorus"	5706550.02546027
"Hydnellum cyanopodium"	6978.13110034881
"Hygrocybe noelokelani"	124.787121510216
"Lactarius cordovaensis"	43.5623317641554
"Lepiota luteophylla"	0.338615109904528
"Lepiota rhodophylla"	0.338615109904528
"Pouzarella alissae"	0.211589543628871
"Neoalbatrellus subcaeruleoporus"	40486.0029562624
"Agaricus pattersoniae"	3992.66201181545
"Bridgeoporus nobilissimus"	6422.33646892616
"Hygrocybe flavifolia"	8379.49714979386
"Leptonia carnea"	9915.20237231778
"Tripospora venezuelensis"	24.1231352498744
"Trichoglossum walteri"	2171220.07164939
"Craterellus cornucopioides"	25618115.6862878
"Craterellus tubaeformis"	36798270.3797773
"Ramaria verlotensis"	45642.3827560359
"Ramaria purpurissima"	53681.5665374104
"Stereopsis humphreyi"	200.795226755969
"Bovista paludosa"	13383759.2091955
"Lepiota scaberula"	0.337893240376081
"Leucoagaricus hesperius"	0.745783344611347
"Montagnea radiosa"	47111117.0393332
"Amanita caesarea"	7162603.31686619
"Galeropsis polytrichoides"	23185.991774034
"Buchwaldoboletus lignicola"	1466621.36634165
