"species"	"range.size.km2"
"Ornithoptera aesacus"	1044.74521469436
"Ornithoptera chimaera"	127105.720504642
"Ornithoptera croesus"	22218.2236240139
"Ornithoptera paradisea"	50373.9501219723
"Battus belus"	6251649.8784752
"Papilio aristor"	3453.47098949594
"Papilio cresphontes"	4694985.43148999
"Protographium anaxilaus"	120461.766012987
"Graphium sarpedon"	10491469.7994346
"Limenitis archippus"	8366503.71056355
"Battus ingenuus"	1809887.84904009
"Papilio ornythion"	2080826.12928633
"Libytheana carinenta"	22850242.1231933
"Danaus gilippus"	15267231.9452792
"Hipparchia hansii"	561260.316415042
"Parides lysander"	5132239.86887334
"Papilio schmeltzi"	17291.7512692822
"Argynnis cybele"	6340609.6887873
"Parides proneus"	1394256.56464357
"Troides amphrysus"	415208.878598008
"Battus crassus"	6533975.10378643
"Eurytides serville"	816296.946047627
"Vanessa virginiensis"	11145015.4766221
"Maniola halicarnassus"	340.178786396813
"Mylothris atewa"	211.108686909043
"Pseudophilotes sinaicus"	8.37321541131926
"Polyommatus bollandi"	1423.71127955445
"Erebia aethiopellus"	14380.3104563048
"Erebia cassioides"	96861.6431973308
"Pseudochazara cingovskii"	2570.717347162
"Erebia neoridas"	123976.49164254
"Euphydryas cynthia"	143436.829090824
"Erebia palarica"	26734.9078059773
"Erebia gorge"	207908.847799923
"Hipparchia azorina"	2273.69649496239
"Hipparchia tilosi"	712.570600480268
"Erebia mnestra"	38196.0217994548
"Aglais ichnusa"	32854.0284906553
"Hipparchia neapolitana"	1911.05731042533
"Hipparchia fagi"	2667585.76733709
"Erebia stiria"	29613.1277700775
"Lysandra coridon"	4672631.93811208
"Pararge xiphia"	766.820987490097
"Pyrgus andromedae"	281876.203030067
"Carcharodus baeticus"	576055.907837843
"Erebia rondoui"	18533.6803983643
"Hipparchia gomera"	325.062208008282
"Cyclyrius webbianus"	7187.8845891418
"Gonepteryx cleobule"	2021.1509672551
"Pyrgus cacaliae"	148308.309370658
"Oeneis glacialis"	97514.2703442316
"Erebia montana"	74303.011758603
"Pararge xiphioides"	4358.72323943099
"Hipparchia volgensis"	881820.929866999
"Erebia rhodopensis"	17430.4251305286
"Erebia meolans"	293811.650087237
"Erebia pluto"	119111.821219591
"Hipparchia miguelensis"	796.486931557001
"Erebia eriphyle"	88495.3465593361
"Pyrgus warrenensis"	75044.1624624964
"Euchloe grancanariensis"	1520.78572773457
"Coenonympha gardetta"	138508.487598444
"Erebia oeme"	280970.671296238
"Pseudophilotes panoptes"	415795.385382455
"Erebia tyndarus"	37145.3905720121
"Vanessa vulcania"	8213.38360522965
"Erebia lefebvrei"	27594.3873544831
"Melitaea asteria"	23368.9715601944
"Erebia pronoe"	218792.944008991
"Hipparchia semele"	3890086.2726452
"Pyrgus foulquieri"	75192.8113301694
"Agriades glandon"	92915.8755674969
"Polyommatus nivescens"	148771.222418834
"Erebia claudina"	14700.92941746
"Erebia flavofasciata"	9408.94895254252
"Erebia triarius"	178378.342774376
"Lysandra hispana"	125664.436362291
"Colias phicomone"	184566.087427647
"Erebia nivalis"	28121.2980680952
"Euchloe hesperidum"	1639.04090183045
"Aricia morronensis"	81335.0993110344
"Agriades pyrenaicus"	7697.71788079991
"Melitaea varia"	63255.9941915229
"Polyommatus orphicus"	444.792769392821
"Thymelicus christi"	7187.8845891418
"Polyommatus eleniae"	744.898219756559
"Erebia manto"	192203.812758335
"Anthocharis euphenoides"	556384.525850093
"Pseudophilotes baton"	811925.514900664
"Erebia albergana"	152133.373853523
"Erebia epistygne"	91089.2080538287
"Coenonympha orientalis"	71987.4390106038
"Satyrus actaea"	384440.69074957
"Erebia pharte"	129189.785730126
"Erebia epiphron"	291259.6826267
"Erebia calcarius"	3016.40566499885
"Euchloe eversi"	2021.1509672551
"Melanargia lachesis"	554217.737607673
"Satyrus virbius"	538059.402939507
"Erebia orientalis"	18147.7190265278
"Polyommatus nephohiptamenos"	4498.78714694369
"Coenonympha rhodopensis"	128269.692546854
"Laeosopis roboris"	543257.792190864
"Hipparchia bacchus"	278.904671391605
"Polyommatus pljushtchi"	9028.44745018653
"Euchloe simplonia"	72327.6773402317
"Pseudochazara orestes"	2564.075999995
"Erebia melampus"	81559.8053092133
"Hipparchia tamadabae"	1520.78572773457
"Polyommatus fulgens"	21608.1973655852
"Pyrgus carlinae"	58250.9423583961
"Hipparchia wyssii"	1962.88018005495
"Pyrgus malvoides"	1128491.21278776
"Polyommatus aroaniensis"	24217.1586794447
"Pieris balcana"	61480.517907329
"Erebia melas"	125274.84832216
"Melitaea parthenoides"	841453.698053395
"Erebia styx"	50310.6900992652
"Polyommatus galloi"	18165.2650479729
"Polyommatus humedasae"	1842.55547218902
"Pieris cheiranthi"	5411.90526671441
"Gonepteryx maderensis"	755.78719587821
"Kretania trappi"	11902.1607698994
"Erebia christi"	1300.57158031567
"Erebia sudetica"	30975.1105783326
"Hipparchia maderensis"	755.78719587821
"Pseudochazara euxina"	4347.19356996721
"Pyrgus cirsii"	409516.553438132
"Pieris wollastoni"	755.78719587821
"Erebia gorgone"	22123.5593272889
"Erebia scipio"	32372.4084851454
"Erebia sthennyo"	10451.6488100802
"Carcharodus tripolinus"	724445.861289367
"Cupido lorquinii"	289007.420790706
"Chazara prieuri"	172093.878172414
"Plebejus bellieri"	23104.3546466039
"Kretania hesperica"	62600.288982378
"Kretania psylorita"	1046.71564228955
"Agriades zullichi"	2471.37538764184
"Lysandra caelestissima"	17095.0406572245
"Polyommatus dolus"	71082.9099980632
"Polyommatus iphicarmon"	275.59641169883
"Polyommatus lycius"	3555.93563674833
"Turanana taygetica"	45499.3989463246
"Hipparchia cretica"	8184.87641555777
"Hipparchia cypriensis"	9137.02695285157
"Lysandra albicans"	304303.887848586
"Hipparchia mersina"	174494.00111864
"Maniola cypricola"	9234.30013000251
"Maniola megala"	61535.6325841011
"Melitaea aetherie"	240634.440793686
"Leptidea reali"	75438.3233680443
"Muschampia leuzeae"	9506.80047029531
"Muschampia mohammed"	154524.89018113
"Pyrgus aladaghensis"	2673.68712169879
"Pyrgus bolkariensis"	970.188240309056
"Thymelicus hamza"	708713.983712766
"Apharitis allardi"	117488.373215142
"Apharitis siphax"	237230.824139355
"Apharitis zohra"	160870.727942346
"Aricia bassoni"	18262.3688159047
"Plebejus martini"	210977.288283718
"Plebejus vogelii"	23311.5931872862
"Polyommatus atlanticus"	122718.784060498
"Polyommatus cilicius"	8840.43945213858
"Polyommatus ellisoni"	1620.06055881301
"Polyommatus isauricoides"	6510.95342224746
"Polyommatus larseni"	7354.8705237989
"Polyommatus punctiferus"	307023.987750026
"Polyommatus sertavulensis"	29291.1170215249
"Polyommatus syriacus"	49586.6135173161
"Pseudophilotes fatma"	50387.0579662357
"Pseudophilotes jordanicus"	61.165624251344
"Tomares mauretanicus"	426312.749154538
"Arethusana aksouali"	3563.72654106896
"Argynnis auresiana"	180762.61456354
"Berberia lambessanus"	222646.749080224
"Coenonympha arcanioides"	207755.333721279
"Coenonympha fettigii"	332711.783816134
"Coenonympha vaucheri"	44751.6173732851
"Hipparchia algirica"	621338.366168005
"Hipparchia blachieri"	25153.5307300947
"Hipparchia caroli"	60148.1240510053
"Hipparchia ellena"	46529.2908438883
"Hyponephele maroccana"	79035.131279073
"Lasiommata meadewaldoi"	10592.8675769261
"Melanargia lucasi"	458918.414131586
"Melanargia titea"	111985.719886652
"Melitaea punica"	435348.116971653
"Pseudochazara atlantis"	70984.4599901377
"Pseudochazara lydia"	215546.367558584
"Pseudochazara williamsi"	4835.10940881495
"Pyronia janiroides"	158280.157331169
"Anthocharis belia"	547545.851699785
"Euchloe pechi"	42699.7904253515
"Helenoscoparia nigritalis"	68.033235723495
"Spialia therapne"	17164.1763985609
