"species"	"range.size.km2"
"Hungerfordia pelewensis"	13.7764515086966
"Kubaryia pilikia"	14.9289567933247
"Lampsilis rafinesqueana"	67338.8349415553
"Lampsilis abrupta"	333770.431149923
"Obovaria haddletoni"	7735.03223616362
"Lampsilis ornata"	307652.499445218
"Lasmigona subviridis"	259440.083400733
"Lemiox rimosus"	64981.6732757064
"Leptodea ochracea"	195634.60408858
"Leptoxis taeniata"	1106.69632482205
"Pleuronaia dolabelloides"	105871.456038203
"Margaritifera marrianae"	10506.2108255837
"Obovaria jacksoniana"	259409.366503251
"Obovaria olivaria"	1525299.16142193
"Omphalotropis cheynei"	492.542499931667
"Tudorella ferruginea"	4236.58719758556
"Sphaerium corneum"	18591590.2000678
"Pomatias canariensis"	3612.03087670603
"Pomatias palmensis"	716.459593941399
"Pomatias lanzarotensis"	847.845984007179
"Pomatias laevigatus"	2040.36157498903
"Anisus vorticulus"	1828685.48043302
"Potamopyrgus antipodarum"	273019.437680932
"Sphaerium solidum"	4248384.29391605
"Physella gyrina"	21207827.8827702
"Tarraconia rolani"	5665.79793231312
"Norelona pyrenaica"	10169.2811692824
"Pholeoteras euthrix"	59519.6564840105
"Palaina dimorpha"	492.542499931667
"Palaina moussoni"	0.403151592049563
"Palaina striolata"	0.147761684371934
"Palaina wilsoni"	355.696371181059
"Palaua minor"	376.924440731406
"Partula gibba"	733.035296264327
"Partula salifana"	15.3006413233911
"Nautilus macromphalus"	50096.8221571048
"Allonautilus scrobiculatus"	391080.902880389
"Nautilus belauensis"	5094.08583184913
"Pegias fabula"	51559.6972071916
"Hydrocena gutta"	4956.03886895334
"Vitta adansoniana"	390341.494953752
"Neritina gagates"	240923.75867037
"Septaria borbonica"	113607.843742891
"Tarebia granifera"	11766189.4897025
"Angulyagra polyzonata"	1133544.40242424
"Parafossarulus eximius"	2072132.53517726
"Cipangopaludina chinensis"	8306020.11959254
"Stenothyra glabra"	2172108.58960668
"Assiminea latericea"	373732.928597047
"Helicorbis cantori"	726299.645261296
"Semisulcospira libertina"	1203370.28303573
"Bithynia fuchsiana"	613739.221865815
"Lamprotula caveata"	141779.078389835
"Pila polita"	2106527.38106714
"Cipangopaludina ampulliformis"	1307923.66705619
"Polypylis hemisphaerula"	2446632.7832726
"Sinotaia quadrata"	2834464.83157576
"Lanceolaria grayana"	3022715.30106985
"Paludomus tanschuaricus"	884799.18295133
"Polymesoda bengalensis"	907552.579331621
"Assiminea francesiae"	1237676.7730131
"Sulcospira swinhoei"	46242.9134874751
"Cipangopaludina leucythoides"	174721.819912784
"Sinotaia aeruginosa"	2577351.5940917
"Bulinus bavayi"	593883.297196849
"Tandonia melanica"	8418.05620458105
"Strigillaria iniucunda"	3492.53385174299
"Micridyla pinteri"	1495.30206764091
"Delima blanda"	230.939058836816
"Delima piceata"	30710.397842142
"Albinaria confusa"	92.171066118104
"Oxychilus miguelinus"	71.2613061629495
"Cryptella alegranzae"	6.95928319923997
"Inchoatia inchoata"	931.758424847881
"Limax polipunctatus"	753.824964080064
"Charpentieria spezialensis"	2.39772301763667
"Ferussacia valida"	11.7046059924395
"Macedonica martae"	1.85023113379144
"Montenegrina apfelbecki"	64.4895691848982
"Charpentieria calcarae"	1443.93975427407
"Strigillaria fritillaria"	20722.1487540117
"Arion atripunctatus"	3.87411849469511
"Macrogastra mellae"	6568.39307850737
"Carpathica cretica"	6797.40680538052
"Atlantica textilis"	2.7305959572855
"Limax canapicianus"	1652.54651952663
"Carpathica boettgeri"	5081.95072580493
"Virpazaria backhuysi"	50.7695745481134
"Dilataria marcki"	5850.01791429934
"Macrogastra densestriata"	83292.4427554246
"Carpathica denticulata"	0.0671478179409708
"Albinaria menelaus"	514.971510588349
"Lehmannia brunneri"	164897.54836361
"Retinella pseudoaegopinella"	12824.421896154
"Spelaeodiscus hauffeni"	1576.78108158979
"Retinella osoriensis"	13.3436264647429
"Aegopis compressus"	1487.9696572776
"Punctum azoricum"	29.7662453243524
"Limax aeolianus"	32.249889751106
"Delima subcylindrica"	2686.30302780285
"Carpathica elisabethae"	0.0235514162094549
"Tandonia robici"	10226.9236768286
"Lehmannia requienii"	4.90508296898901
"Oxychilus juvenostriatus"	1.99409996203599
"Oxychilus fuscosus"	172.014950389126
"Isabellaria abyssoclista"	52.6631155108207
"Boettgeria depauperata"	14.242661214687
"Gyralina circumlineata"	11504.2874757854
"Mediterranea planospiroides"	855.672914057022
"Gyralina rempei"	52.4475579682821
"Balcanodiscus frivaldskyanus"	7107.37179664349
"Alopia livida"	534.011495275717
"Alopia subcosticollis"	25.9236944467821
"Vitrea subrimata"	1502516.25161447
"Oxychilus altimirai"	1588.90049648984
"Tandonia jablanacensis"	280.750016465961
"Vitrea trolli"	4603.02407342019
"Spelaeodiscus obodensis"	398.014797005168
"Lehmannia macroflagellata"	60938.9193972121
"Limax lachensis"	1336.85390596969
"Allaegopis jonicus"	328.694386821984
"Vestia turgida"	152522.562098656
"Delima pfeifferi"	557.845666146429
"Pseudofusulus varians"	79234.2795031665
"Limax subalpinus"	6422.55927584484
"Alopia nixa"	4.35598113491712
"Vitrea subaii"	105.442272303927
"Ruthenica filograna"	1876561.08024774
"Vitrea crystallina"	3335097.8863416
"Herilla pavlovici"	579.252234952513
"Cochlodina cerata"	70863.1489102479
"Vitrea diaphana"	560766.355240747
"Hypnophila dohrni"	8509.10112859766
"Spelaeodiscus albanicus"	36.1088597353685
"Arion hortensis"	1884687.23655653
"Alopia plumbea"	24.6017843349162
"Limax dacampi"	83454.9279773572
"Aegopis gemonensis"	19610.1881910138
"Arion wiktori"	60882.9919575786
"Albinaria schuchii"	34825.4372770539
"Isabellaria isabellina"	3609.52561378789
"Oxychilus miceui"	3.90071527752309
"Retinella circumsessa"	203.876038913394
"Arion owenii"	6116.43968866214
"Charpentieria stenzii"	23721.6191914293
"Mediterranea planorbis"	7645.67840153847
"Oxychilus volutella"	1.25931789033961
"Carpathica langi"	6614.54155522266
"Medora armata"	193.457350574496
"Montenegrina fuchsi"	910.960929946472
"Tandonia piriniana"	716.280555618781
"Aegopis verticillus"	187702.209037834
"Coilostele acus"	6134.1337871766
"Delima montenegrina"	13301.1368839234
"Virpazaria adrianae"	127.426233349033
"Cochlodina comensis"	60626.6270311538
"Lehmannia medioflagellata"	690.142449929843
"Muticaria neuteboomi"	907.247864693997
"Delima albocincta"	1314.89919034951
"Strigillaria varnensis"	76683.1096108375
"Gibbulinella dealbata"	6373.69803585851
"Medora stenostoma"	78.22355856657
"Montenegrina laxa"	5841.09199264524
"Carinigera octava"	19.9011967837566
"Lehmannia szigethyae"	98497.0861609043
"Carinigera pharsalica"	570.244343749438
"Mediterranea adamii"	3872.21658051815
"Limax pironae"	103.503419573076
"Limax redii"	103.848963458037
"Montenegrina stankovici"	64.6694559922763
"Herilla durmitoris"	1689.24047106295
"Tandonia budapestensis"	115263.937453665
"Albinaria freytagi"	218.01101638237
"Graciliaria inserta"	2468.24113244265
"Arion fagophilus"	204984.974360655
"Vermetum festinans"	1.60090451392356
"Triloba thaumasia"	2920.50664320664
"Inchoatia regina"	270.003495925123
"Cibinia nana"	1.74259255820433
"Retinella olivetorum"	88567.8057695285
"Medora hiltrudae"	40.8238151199943
"Arion magnus"	1111.53741482886
"Stigmatica stigmatica"	45404.6296535403
"Tandonia reuleauxi"	11928.1978296955
"Albinaria avia"	427.126232202659
"Retinella giustii"	1227.26444512808
"Charpentieria septemplicata"	609.318553938161
"Charpentieria grohmanniana"	19.8601854458766
"Stigmatica lamellata"	1571.6457224073
"Albinaria litoraria"	9.74395965826225
"Vestia ranojevici"	43210.3214590398
"Vitrea kutschigi"	4845.43070108437
"Mediterranea wiktori"	2288.12360176903
