"species"	"range.size.km2"
"Seychellesia patellifera"	18.8455312040331
"Zarceomorpha abdita"	6.3861531339916
"Phalangacris phaloricephala"	0.193421850925747
"Ectatoderus aldabrae"	71.7337718391457
"Phaeogryllus fuscus"	15.0633522260565
"Myrmecophilus mayaealberti"	0.281297735826342
"Myrmecophilus seychellensis"	2.42013141532243
"Pelerinus rostratus"	9.01256221827934
"Amphinotus pupulus"	0.809713870968924
"Ornebius stenus"	89.1776137465148
"Ectatoderus nigriceps"	4.56549372895461
"Amphinotus nymphula"	4.4704294470942
"Phaloria insularis"	8.78679691335797
"Seychellesia nitidula"	1.72276864768841
"Subtiloria succineus"	12.5983630094753
"Ectatoderus squamiger"	81.1002860287507
"Metioche bolivari"	14.1964823469663
"Seselphisis visenda"	6.92529986485343
"Procytettix fusiformis"	0.0496204889831878
"Procytettix thalassanax"	70.4818856123528
"Zarceus major"	11.5140488622728
"Pternoscirtus aldabrae"	93.5602257369361
"Enoplotettix gardineri"	32.3872135658767
"Gryllapterus tomentosus"	0.212814480513361
"Coptottigia cristata"	0.515857373664185
"Euschmidtia cruciformis"	127.241769895541
"Orthoxiphus nigrifrons"	2.64956235214211
"Scottiola salticiformis"	11.8562790887989
"Ornebius syrticus"	87.0564296490965
"Niphetogryllacris fryeri"	56.5513292027616
"Zarceus fallaciosus"	40.7582854538287
"Arachnocephalus subsulcatus"	85.6212395051633
"Metioche perpusilla"	27.4237403298142
"Seychellesia longicercata"	5.76397287921265
"Polionemobius modestus"	2.9044167843091
"Miramella irena"	139506.519010211
"Zubovskya banatica"	314.117636029833
"Isophya harzi"	0.0431255258839377
"Podismopsis transsylvanica"	5.09436616479251
"Chorthippus acroleucus"	17.9011620426025
"Odontopodisma rubripes"	54834.3250854323
"Chortopodisma cobellii"	2475.94811654478
"Italopodisma lucianae"	1475.48312409114
"Miramella formosanta"	13650.9719665424
"Italopodisma fiscellana"	11735.665419222
"Italopodisma lagrecai"	205.803753949654
"Italopodisma acuminata"	399.178919454232
"Epipodisma pedemontana"	7466.25979684627
"Prionotropis azami"	7712.2153482815
"Chorthippus relicticus"	987.356989656944
"Chorthippus antecessor"	31.7696153207932
"Chorthippus ilkazi"	37.3396212320787
"Dolichopoda remyi"	2617.51637372127
"Dolichopoda hussoni"	314.117635540332
"Oropodisma chelmosi"	4146.305591662
"Oropodisma willemsei"	548.458233221337
"Oropodisma karavica"	87.5617392950442
"Acrotylus apicalis"	25.6672673531089
"Acanthoxia aculeus"	104.502251570894
"Acridoderes uvarovi"	45.2305310509737
"Acrotylus mossambicus"	1011929.56457907
"Acteana alazonica"	9367.88859223554
"Afrophlaeoba euthynota"	153.481075833504
"Afrophlaeoba nguru"	151.573209417292
"Brachycrotaphus sjostedti"	71364.6710486833
"Cardeniopsis regalis"	16863.4630553862
"Catantops tanganus"	100466.345803261
"Chromochokwea fitzgeraldi"	6844.90545489491
"Coenona brevipedalis"	80961.6317451951
"Coryphosima cytidonota"	11631.9491553671
"Cyphocerastis uluguruensis"	68.7570308242696
"Eupropacris abbreviata"	68.5538408889928
"Eupropacris pompalis"	1896.23941619578
"Eupropacris uniformis"	12897.634506617
"Eyprepocnemis burtti"	215.996459161378
"Eyprepocnemis reducta"	68.485382398853
"Gymnobothrus oberthuri"	69.4268099036069
"Gymnobothrus roemeri"	68.4961588468979
"Hadrolecocatantops uvinza"	2964.86003916739
"Heteracris coerulipes"	33972.6313102956
"Odontomelus brachypterus"	1992.91523150847
"Odontomelus mahali"	2145.42569596636
"Odontomelus micropterus"	37.4782840122059
"Odontomelus nguruense"	1025.85387179854
"Odontomelus pareense"	1123.11138560724
"Odontomelus phloiodes"	27038.9995818354
"Parepistaurus hanangensis"	57.863524951282
"Parepistaurus intermedius"	3604.95433840472
"Parepistaurus jagoi"	1481.7497594972
"Parepistaurus johnseni"	18023.4209461633
"Parepistaurus lindneri"	859.50904156547
"Parepistaurus lobicercus"	31239.9471415459
"Parepistaurus pugui"	102.399010356419
"Parepistaurus pygmaeus"	3131.10132608763
"Parepistaurus robertsoni"	1162.9118717125
"Parepistaurus uguenoensis"	383.305059479203
"Parepistaurus zanzibaricus"	15631.5551653581
"Parodontomelus arachniformis"	11719.8165756781
"Parodontomelus brachypterus"	33623.0931533667
"Parodontomelus luci"	2236.94841326417
