"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "BodyMass_g" "BodyLength_mm" "Litter_size" "Reproductive_mode" "Age_at_maturity_y" "First_breeding_y" "Longevity_max_y" "Activity" "Diet" "Diet_Inv" "Diet_Vert" "Diet_Scav" "Diet_Fruit" "Diet_Nect" "Diet_Seed" "Diet_Plant" "Verticality" "MajorHabitatSum" "HabitatBreadth" "PropUrbanArea" "PropCroplandArea" "PropPastureArea" "PropRangeLandArea" "AnnuMeanTemp" "AnnuPrecip" "TempSeasonality" "PrecipSeasonality" "Elevation" "Dispersal_km" "Head_length_mm" "Eye_diameter_mm" "Interorbital_dist_mm" "Internarial_dist_mm" "Eye_nostril_dist_mm" "MISSING_ALL_TRAITS"
"Alytes cisternasii" "Alytes cisternasii Boscá, 1879" "SPECIES" "accepted" "Alytes cisternasii Boscá, 1879" "Alytes" "Alytidae" "Anura" "Amphibia" "Chordata" "Amphibians" "EEA" NA "Yes" NA "NT" "LEAST_CONCERN" "1" "1" "0" "0" "1" "1" "1" "0" "1" "1" "0" "0" "1" "0" "0" "0" "1" "0" "0" "1" "1" "0" "0" "0" 290400 6.1 50 120 "Oviparous" 2 NA 6 "Nocturnal" "Carnivorous" "1" "0" NA "0" "0" "0" "0" 0.75 5 NA 0.005278268 0.207495822 0.095038307 0 15.21420002 657.9792505 5956.27628 50.90347999 505.7217466 NA 12.5 4.9 4.5 3.6 3.3 "NO"
"Alytes dickhilleni" "Alytes dickhilleni Arntzen & García-París, 1995" "SPECIES" "accepted" "Alytes dickhilleni Arntzen & García-París, 1995" "Alytes" "Alytidae" "Anura" "Amphibia" "Chordata" "Amphibians" "EEA" NA "Yes" NA "VU" "ENDANGERED" "1" "1" "0" "0" "1" "1" "1" "0" "1" "1" "0" "0" "1" "0" "0" "0" "1" "0" "0" "1" "0" "0" "0" "0" 96800 4.11 55 40 "Oviparous" 2 NA 9.624 "Nocturnal" "Carnivorous" "1" "0" NA "0" "0" "0" "0" 0.75 4 NA 0.004172807 0.197309548 0.010112216 0 14.27511307 492.7357988 6319.307596 47.40264739 712.579856 NA 14.6 5.4 4.6 3.8 4.2 "NO"
"Alytes muletensis" "Alytes muletensis (Sanchíz & Adrover, 1979)" "SPECIES" "accepted" "Alytes muletensis (Sanchíz & Adrover, 1979)" "Alytes" "Alytidae" "Anura" "Amphibia" "Chordata" "Amphibians" "EEA" NA "Yes" NA "VU" "ENDANGERED" "1" "1" "0" "0" "1" "1" "1" "0" "1" "1" "0" "0" "0" "0" "0" "0" "1" "0" "0" "1" "0" "0" "0" "0" 36300 2.31 40 13.5 "Oviparous" 3 NA 9.16 "Nocturnal" "Carnivorous" "1" "0" NA "0" "0" "0" "0" 0.75 3 NA 0.003609654 0.030292221 0.011761884 0 16.618398 678.8715264 4768.431809 51.96806711 24.17431364 NA 11.7 4.2 3.4 3.4 3.5 "NO"
"Alytes obstetricans" "Alytes obstetricans (Laurenti, 1768)" "SPECIES" "accepted" "Alytes obstetricans (Laurenti, 1768)" "Alytes" "Alytidae" "Anura" "Amphibia" "Chordata" "Amphibians" "SPEED2ZERO" "INN" "Yes" "VU" "LC" "ENDANGERED" "1" "1" "0" "1" "1" "1" "1" "0" "1" "1" "0" "0" "1" "0" "0" "0" "1" "0" "0" "1" "1" "0" "0" "0" 1464100 13.4 55 112 "Oviparous" 2.5 NA 7 "Crepuscular" "Carnivorous" "1" "0" NA "0" "0" "0" "0" 0.5 4 NA 0.009517399 0.182062376 0.07192912 0 11.45776085 834.4608864 5628.775446 23.38487004 445.6897747 NA 12.6 5.1 3.8 3.4 3.3 "NO"
"Atylodes genei" "Atylodes genei (Temminck & Schlegel, 1838)" "SPECIES" "synonym" "Speleomantes genei (Temminck & Schlegel, 1838)" "Speleomantes" "Plethodontidae" "Caudata" "Amphibia" "Chordata" "Amphibians" "EEA" NA "Yes" NA "VU" "VULNERABLE" "1" "0" "0" "0" "1" "0" "0" "0" "0" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" 24200 3.92 115 10 "Oviparous" 3.058 NA 10.312 "Cathemeral" "Carnivorous" "0" "1" NA "0" "0" "0" "0" 0.5 3 NA 0.002349735 0.072297924 0.037388513 0 16.93989157 586.4213193 4992.688478 56.68988299 78.39483786 NA 14.30429999978 4.87233333334 4.654 4.0122 3.5794 "NO"
"Baleaphryne muletensis" "Baleaphryne muletensis Sanchíz & Adrover, 1979" "SPECIES" "homotypic synonym" "Alytes muletensis (Sanchíz & Adrover, 1979)" "Alytes" "Alytidae" "Anura" "Amphibia" "Chordata" "Amphibians" "FaunaEuropeae" NA "Yes" NA "VU" "ENDANGERED" "1" "1" "0" "0" "1" "1" "1" "0" "1" "1" "0" "0" "0" "0" "0" "0" "1" "0" "0" "1" "0" "0" "0" "0" 36300 2.31 40 13.5 "Oviparous" 3 NA 9.504 "Nocturnal" "Carnivorous" "1" "0" NA "0" "0" "0" "0" 0.75 3 NA 0.003609654 0.030292221 0.011761884 0 16.618398 678.8715264 4768.431809 51.96806711 24.17431364 NA 11.7 4.2 3.4 3.4 3.5 "NO"
"Bombina bombina" "Bombina bombina (Linnaeus, 1761)" "SPECIES" "accepted" "Bombina bombina (Linnaeus, 1761)" "Bombina" "Bombinatoridae" "Anura" "Amphibia" "Chordata" "Amphibians" "EEA" NA "No" NA "LC" "NEAR_THREATENED" "1" "1" "0" "1" "1" "1" "0" "0" "1" "1" "0" "1" "1" "0" "0" "0" "1" "0" "0" "1" "0" "0" "0" "0" 4114000 5.9 50 190 "Oviparous" 2.5 NA 20 "Diurnal" "Carnivorous" "1" "0" NA "0" "0" "0" "0" 0.25 5 NA 0.005679482 0.234382088 0.071443168 0.009960148 7.733316894 593.1547253 9001.19508 29.26898168 222.7698844 NA 13.2786 4.2146 4.76 2.7996 3.705 "NO"
"Bombina orientalis" "Bombina orientalis (Boulenger, 1890)" "SPECIES" "accepted" "Bombina orientalis (Boulenger, 1890)" "Bombina" "Bombinatoridae" "Anura" "Amphibia" "Chordata" "Amphibians" "InfoSpecies" "NEO" NA NA NA "LEAST_CONCERN" "1" "1" "0" "1" "1" "1" "1" "0" "1" "1" "0" "1" "1" "0" "0" "0" "1" "0" "0" "1" "1" "0" "0" "0" 1560900 13.1 47 147.5 "Oviparous" 2.26 NA 20 "Nocturnal" "Carnivorous" "1" "0" NA "0" "0" "0" "0" 0.25 6 NA 0.005535061 0.125891351 0.062244517 0.005704986 5.474014268 761.6726874 12530.98481 94.05403526 329.3550223 NA 12.75 4 2.25 2.15 3.6896 "NO"
"Bombina pachypus" "Bombina pachypus (Bonaparte, 1838)" "SPECIES" "accepted" "Bombina pachypus (Bonaparte, 1838)" "Bombina" "Bombinatoridae" "Anura" "Amphibia" "Chordata" "Amphibians" "EEA" NA "Yes" NA "EN" "ENDANGERED" "1" "1" "0" "1" "1" "1" "0" "0" "1" "1" "0" "1" "1" "0" "0" "0" "1" "0" "0" "1" "0" "0" "0" "0" 290400 9.19 45.75 300 "Oviparous" 3 NA 16 "Diurnal" "Carnivorous" "1" "0" NA "0" "0" "0" "0" 0.25 5 NA 0.012823833 0.165468388 0.057948117 0 13.71875531 788.2304747 6301.274043 33.1086223 374.9905234 NA 12.782 4.5678 4.944 3.1652 3.7144 "NO"
"Bombina variegata" "Bombina variegata (Linnaeus, 1758)" "SPECIES" "accepted" "Bombina variegata (Linnaeus, 1758)" "Bombina" "Bombinatoridae" "Anura" "Amphibia" "Chordata" "Amphibians" "SPEED2ZERO" "INN" "Yes" "VU" "LC" "REGIONALLY_EXTINCT" "1" "1" "0" "1" "1" "1" "1" "0" "1" "1" "1" "1" "1" "0" "0" "0" "1" "0" "0" "1" "1" "0" "0" "0" 2044900 6.77 50 107.5 "Oviparous" 2.25 NA 29 "Diurnal" "Carnivorous" "1" "0" NA "0" "0" "0" "0" 0.25 6 NA 0.008190428 0.15349923 0.076496537 1.79761e-07 9.721775874 869.3465819 7052.284651 26.76825486 534.5881402 NA 12.50546666652 4.4106 4.5908 2.994 3.2654 "NO"
