"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "BodyLength_max" "BEl" "VEp" "REs" "OGp" "RMl" "BLs" "PFv" "PFs" "CPt" "Litter_size" "CAT_Litter_size" "Age_at_maturity_y" "CAT_Age_at_maturity_y" "Longevity_max_y" "CAT_Longevity_max_y" "Diet" "Diet_Inv" "Diet_Vert" "Diet_Eggs" "Diet_Scav" "Diet_Phyto" "Diet_Plant" "Diet_Parasit" "Diet_Other" "Habitat" "Feeding_habitat" "Reprod_habitat" "Spawning_habitat" "Flow_habitat" "Salt_habitat" "MinTemp" "MaxTemp" "AnnuMeanTemp" "Migration_type" "Migration_dist" "MISSING_ALL_TRAITS"
"Abramis brama" "Abramis brama (Linnaeus, 1758)" "SPECIES" "accepted" "Abramis brama (Linnaeus, 1758)" "Abramis" "Cyprinidae" "Clupeiformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 10087817.6155522 820 2.546312456 0.546875558 0.341575092 0.512381063 0.26297763 0.398473812 0.36893787 0.194460833 3.01447933 NA "fe3" NA "ma4" NA "ls3" "Omnivorous" NA NA NA NA NA NA NA NA "bentic" "ben" "phylith" "eury" "rheo" "frb" NA NA NA "pot" "short" "NO"
"Abramis melanops" "Abramis melanops Heckel, 1837" "SPECIES" "homotypic synonym" "Vimba melanops (Heckel, 1837)" "Vimba" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "FaunaEuropeae" NA "Yes" NA "DD" "DATA_DEFICIENT" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 126085.858354336 320 3.705173566 0.510098096 0.508454321 0.32270629 0.462912421 0.470138488 0.219159049 0.161464833 2.679815585 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Abramis pekinensis" "Abramis pekinensis Basilewsky, 1855" "SPECIES" "homotypic synonym" "Parabramis pekinensis (Basilewsky, 1855)" "Parabramis" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "FaunaEuropeae" NA NA NA NA "LEAST_CONCERN" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2422109.38585628 550 2.698369381 0.526199111 0.436809376 0.577932948 0.370242535 0.301081242 0.311426287 0.165319128 2.587687768 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Acanthopsis paludica" "Acanthopsis paludica de Buen, 1930" "SPECIES" "homotypic synonym" "Cobitis paludica (de Buen, 1930)" "Cobitis" "Cobitidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "FaunaEuropeae" NA "Yes" NA "VU" "VULNERABLE" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 424480.235289572 100 6.458349725 0.523341201 0.242790698 0 NA 0.704825597 0.099708235 0.142331052 1.420566648 NA NA NA "ma1" NA "ls1" "Carnivorous" NA NA NA NA NA NA NA NA "bentic" "ben" NA "eury" "limno" "fre" NA NA NA NA NA "NO"
"Achondrostoma arcasii" "Achondrostoma arcasii (Steindachner, 1866)" "SPECIES" "accepted" "Achondrostoma arcasii (Steindachner, 1866)" "Achondrostoma" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "Yes" NA "VU" "VULNERABLE" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 309692.349539848 250 3.492962902 0.434414978 0.383017098 0.359907758 0.392035207 0.507366533 0.206647267 0.189963951 2.959343127 NA NA NA "ma1" NA "ls1" "Scavenger" NA NA NA NA NA NA NA NA "bentic" "wc" NA "rheo" "rheo" "fre" NA NA NA NA NA "NO"
"Achondrostoma occidentale" "Achondrostoma occidentale (Robalo, Almada, Sousa Santos, Moreira & Doadrio, 2005)" "SPECIES" "accepted" "Achondrostoma occidentale (Robalo, Almada, Sousa Santos, Moreira & Doadrio, 2005)" "Achondrostoma" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "Yes" NA "EN" "ENDANGERED" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2613.76228591715 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Omnivorous" NA NA NA NA NA NA NA NA NA "wc" NA "rheo" "limno" NA NA NA NA NA NA "NO"
"Achondrostoma oligolepis" "Achondrostoma oligolepis (Robalo, Doadrio, Almada & Kottelat, 2005)" "SPECIES" "accepted" "Achondrostoma oligolepis (Robalo, Doadrio, Almada & Kottelat, 2005)" "Achondrostoma" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "Yes" NA "LC" "LEAST_CONCERN" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 80217.2070572461 250 3.578175354 0.553902596 0.469234191 0.461755347 0.406155015 0.488770623 0.299459876 0.169568676 1.778714295 NA NA NA NA NA NA "Omnivorous" NA NA NA NA NA NA NA NA NA "wc" NA "rheo" "limno" NA NA NA NA NA NA "NO"
"Achondrostoma salmantinum" "Achondrostoma salmantinum Doadrio & Elvira, 2007" "SPECIES" "accepted" "Achondrostoma salmantinum Doadrio & Elvira, 2007" "Achondrostoma" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "Yes" NA "EN" "ENDANGERED" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9963.26549595016 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Acipenser baerii" "Acipenser baerii Brandt, 1869" "SPECIES" "accepted" "Acipenser baerii Brandt, 1869" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "FaunaEuropeae" NA NA NA NA "CRITICALLY_ENDANGERED" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5624413.34775187 2000 6.901288061 0.355144231 0.201251968 0 NA 0.49708734 0 0.154492189 4.643246358 NA "fe3" NA "ma5" NA "ls3" "Carnivorous" NA NA NA NA NA NA NA NA "demersal" "ben" "lith" "rheo" "rheo" "frb" NA NA NA "pot" NA "NO"
"Acipenser colchicus" "Acipenser colchicus Marti, 1940" "SPECIES" "synonym" "Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "FaunaEuropeae" NA "No" NA "CR" "CRITICALLY_ENDANGERED" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2022524.84398356 2360 5.623484547 0.281538806 0.373503483 0 NA 0.456523899 0 0.161473163 4.036914648 NA "fe3" NA "ma5" NA "ls3" "Omnivorous" NA NA NA NA NA NA NA NA "demersal" "ben" "lithpel" "rheo" "rheo" "fbm" NA NA NA "dia" NA "NO"
"Acipenser gueldenstaedtii" "Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833" "SPECIES" "accepted" "Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "No" NA "CR" "CRITICALLY_ENDANGERED" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2022524.84398356 2360 5.623484547 0.281538806 0.373503483 0 NA 0.456523899 0 0.161473163 4.036914648 NA "fe3" NA "ma5" NA "ls3" "Omnivorous" NA NA NA NA NA NA NA NA "demersal" "ben" "lithpel" "rheo" "rheo" "fbm" NA NA NA "dia" NA "NO"
"Acipenser huso" "Acipenser huso Linnaeus, 1758" "SPECIES" "homotypic synonym" "Huso huso (Linnaeus, 1758)" "Huso" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "FaunaEuropeae" NA "No" NA "CR" "CRITICALLY_ENDANGERED" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1771044.89389217 8000 5.533829676 0.404649948 0.197402512 0.106778997 0.814109081 0.331885667 0.382064176 0.144931983 3.394681084 NA "fe3" NA "ma5" NA "ls3" "Carnivorous" NA NA NA NA NA NA NA NA "demersal" "ben" "lithpel" "rheo" "limno" "fbm" NA NA NA "dia" NA "NO"
"Acipenser naccarii" "Acipenser naccarii Bonaparte, 1836" "SPECIES" "accepted" "Acipenser naccarii Bonaparte, 1836" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "InfoSpecies" "NEO" "Yes" NA "CR" "CRITICALLY_ENDANGERED" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 36728.0543319357 2000 6.551865129 0.212053188 0.360114556 0.212053188 NA 0.295935313 0 0.128569755 3.691615757 NA NA NA "ma5" NA "ls1" "Carnivorous" NA NA NA NA NA NA NA NA "demersal" "ben" NA "rheo" "eury" "fbm" NA NA NA "dia" NA "NO"
"Acipenser nudiventris" "Acipenser nudiventris Lovetsky, 1828" "SPECIES" "accepted" "Acipenser nudiventris Lovetsky, 1828" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "No" NA "CR" "CRITICALLY_ENDANGERED" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1260706.33859222 2110 6.063213804 0.427132717 0.225251679 0 0.147225851 0.40131362 0 0.168950701 3.772213697 NA "fe3" NA "ma5" NA "ls3" "Omnivorous" NA NA NA NA NA NA NA NA "demersal" "ben" "lithpel" "rheo" "rheo" "fbm" NA NA NA "dia" NA "NO"
"Acipenser oxyrinchus" "Acipenser oxyrinchus Mitchill, 1815" "SPECIES" "accepted" "Acipenser oxyrinchus Mitchill, 1815" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "FaunaEuropeae" NA NA NA NA "REGIONALLY_EXTINCT" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2224244.33072924 2670 6.592591411 0.265423929 0.232465143 0 0.225918324 0.450606752 0 NA 5.149832966 3755745 NA 18 NA 60 NA "Carnivorous" 1 1 0 0 0 0 0 0 "bentic" "ben" "phylith" "rheo" "rheo" NA NA NA NA NA NA "NO"
"Acipenser persicus" "Acipenser persicus Borodin, 1897" "SPECIES" "accepted" "Acipenser persicus Borodin, 1897" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "No" NA "CR" "CRITICALLY_ENDANGERED" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 779250.579211533 2550 5.90920942 0.34835932 0.286088355 0 0.167096847 0.458549889 0 0.141044583 4.677642862 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Acipenser ruthenus" "Acipenser ruthenus Linnaeus, 1758" "SPECIES" "accepted" "Acipenser ruthenus Linnaeus, 1758" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "No" NA "VU" "ENDANGERED" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2204002.25304739 1250 7.503637265 0.284759694 0.306006503 0.121716216 0.231894883 0.428815146 0 0.146616693 4.013454139 NA "fe3" NA "ma5" NA "ls3" "Carnivorous" NA NA NA NA NA NA NA NA "demersal" "ben" "lithpel" "rheo" "rheo" "frb" NA NA NA "pot" NA "NO"
"Acipenser stellatus" "Acipenser stellatus Pallas, 1771" "SPECIES" "accepted" "Acipenser stellatus Pallas, 1771" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "No" NA "CR" "CRITICALLY_ENDANGERED" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2209946.33100385 2500 8.674477993 0.280231335 0.280278547 0 0.278200985 0.325371789 0 0.098354576 4.437812167 NA "fe3" NA "ma5" NA "ls3" "Omnivorous" NA NA NA NA NA NA NA NA "demersal" "ben" "lithpel" "rheo" "rheo" "fbm" NA NA NA "dia" NA "NO"
"Acipenser sturio" "Acipenser sturio Linnaeus, 1758" "SPECIES" "accepted" "Acipenser sturio Linnaeus, 1758" "Acipenser" "Acipenseridae" "Acipenseriformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "InfoSpecies" NA "Yes" "RE" "CR" "REGIONALLY_EXTINCT" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1417046.95898062 6000 8.307055489 0.343421838 0.311984323 0 0.196335259 0.433890215 0 NA 3.30320441 NA "fe3" NA "ma5" NA "ls3" "Carnivorous" NA NA NA NA NA NA NA NA "demersal" "ben" "lith" "rheo" "rheo" "fbm" NA NA NA "dia" "long" "NO"
"Alburnoides bipunctatus" "Alburnoides bipunctatus (Bloch, 1782)" "SPECIES" "accepted" "Alburnoides bipunctatus (Bloch, 1782)" "Alburnoides" "Cyprinidae" "Clupeiformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "SPEED2ZERO" "INN" "No" "VU" "LC" "CRITICALLY_ENDANGERED" 0 1 NA 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA 185 3.512796769 0.525739563 0.623262053 0.488984023 0.580383492 0.451359456 0.268386674 0.204675647 3.342143807 NA "fe1" NA "ma2" NA "ls1" "Carnivorous" NA NA NA NA NA NA NA NA "bentic" "wc" "lith" "rheo" "rheo" "frb" NA NA NA "pot" "short" "NO"
"Alburnoides eichwaldii" "Alburnoides eichwaldii (De Filippi, 1863)" "SPECIES" "accepted" "Alburnoides eichwaldii (De Filippi, 1863)" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Alburnoides gmelini" "Alburnoides gmelini Bogutskaya & Coad, 2009" "SPECIES" "accepted" "Alburnoides gmelini Bogutskaya & Coad, 2009" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "Yes" NA "LC" "LEAST_CONCERN" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 22631.4264943026 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Alburnoides kubanicus" "Alburnoides kubanicus Bănărescu, 1964" "SPECIES" "accepted" "Alburnoides kubanicus Bănărescu, 1964" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "Yes" NA "LC" "LEAST_CONCERN" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 37491.799521431 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Alburnoides maculatus" "Alburnoides maculatus (Kessler, 1859)" "SPECIES" "accepted" "Alburnoides maculatus (Kessler, 1859)" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "Yes" NA "VU" "VULNERABLE" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 22374.1468300049 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Alburnoides ohridanus" "Alburnoides ohridanus (Karaman, 1928)" "SPECIES" "accepted" "Alburnoides ohridanus (Karaman, 1928)" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "Yes" NA "VU" "VULNERABLE" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 348.39331223541 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Alburnoides prespensis" "Alburnoides prespensis (Karaman, 1924)" "SPECIES" "accepted" "Alburnoides prespensis (Karaman, 1924)" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "Yes" NA "VU" "VULNERABLE" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 318.662821025835 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Alburnoides rossicus" "Alburnoides rossicus Berg, 1924" "SPECIES" "accepted" "Alburnoides rossicus Berg, 1924" "Alburnoides" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "Yes" NA "LC" "LEAST_CONCERN" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1712601.95453628 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Alburnus albidus" "Alburnus albidus (Costa, 1838)" "SPECIES" "accepted" "Alburnus albidus (Costa, 1838)" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "EEA" NA "Yes" NA "VU" "VULNERABLE" 0 1 NA 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 50579.2558514203 200 3.399537805 0.580208499 0.480494606 0.525608122 0.313874884 0.403177451 0.385706012 0.1680655 3.119769486 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "wc" NA "eury" "limno" NA NA NA NA NA NA "NO"
"Alburnus albor" "Alburnus albor (Scopoli, 1786)" "SPECIES" "heterotypic synonym" "Alburnus arborella (Bonaparte, 1841)" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "FaunaEuropeae" "INN" "Yes" "CR" "LC" "LEAST_CONCERN" 0 1 NA 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 129721.996692659 127 4.088881818 0.354663636 0.611174997 0.381927273 0.458499322 0.442709091 0.145736364 0.162780667 2.158013913 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Alburnus alborella" "Alburnus alborella (De Filippi, 1844)" "SPECIES" "synonym" "Alburnus arborella (Bonaparte, 1841)" "Alburnus" "Cyprinidae" "Cypriniformes" "Actinopterygii" "Chordata" "Freshwater_fishes" "InfoSpecies" "INN" "Yes" "CR" "LC" "LEAST_CONCERN" 0 1 NA 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 129721.996692659 127 4.088881818 0.354663636 0.611174997 0.381927273 0.458499322 0.442709091 0.145736364 0.162780667 2.158013913 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
