"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "BodyLength_mm" "BodyLength_male" "BodyLength_female" "BodyLength_min" "BodyLength_max" "Litter_size" "Development_total_d" "Development_egg_mean_d" "Development_larva_mean_d" "Development_pupa_mean_d" "Longevity_y" "Semivoltine" "Univoltine" "Bivoltine" "Multivoltine" "Overwintering_egg" "Overwintering_larva" "Overwintering_pupa" "Overwintering_imago" "Activity" "Larva_Diet" "Imago_Diet" "Larva_Diet_range" "Imago_Diet_range" "Diet_Carniv" "Diet_Scav" "Diet_Fungi" "Diet_Root" "Diet_Seed" "Diet_Leaf" "Diet_Flower" "Diet_Stem" "Diet_Grass" "Diet_Woody" "EIV_Light" "EIV_Temp" "EIV_Moisture" "Elev_Planar" "Elev_Colline" "Elev_Montane" "Elev_Subalpine" "Elev_Alpine" "Dispersal_ability" "Dispersal_km" "Riparian_sp" "Habitat_ephemeral" "Habitat_lakes" "Habitat_ponds" "Habitat_rivers" "Habitat_streams" "Forewing_length_mm" "Hindwing_length_mm" "Sex_dimporh" "Territoriality" "Flight_mode_flier" "Flight_mode_percher" "BodyCol_black" "BodyCol_blue" "BodyCol_brown" "BodyCol_gray" "BodyCol_green" "BodyCol_orange" "BodyCol_pink" "BodyCol_red" "BodyCol_violet" "BodyCol_white" "BodyCol_yellow" "BodyColType_pigment" "BodyColType_pruinesc" "BodyColType_structur" "BodyPatterns_plain" "BodyPatterns_spotted" "BodyPatterns_striped" "Wing_Pigment" "WP_pattern" "WP_symmetry" "WP_dimorph" "WPColor_cover" "WPCol_amber" "WPCol_black" "WPCol_blue" "WPCol_brown" "WPCol_iredesc" "WPCol_orange" "WPCol_prunesc" "WPCol_red" "WPCol_yellow" "Larva_BodyLength_mm" "Larva_BodyLength_min" "Larva_BodyLength_max" "Larva_Habitat_stillwaters" "Larva_Habitat_watercourses" "Larva_Habitat_moors" "Larva_EIV_Drought" "Larva_Biotope_range" "MISSING_ALL_TRAITS"
"Aeschna arctica" "Aeschna arctica Zetterstedt, 1840" "SPECIES" "homotypic synonym" "Somatochlora arctica (Zetterstedt, 1840)" "Somatochlora" "Corduliidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "VU" "LC" "CRITICALLY_ENDANGERED" 1 1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 2035086.55283428 48 NA NA 45 51 578 900 NA NA NA NA 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.166666666666667 NA 0 0 1 1 0 0.343642611683849 NA 0 0 0 0 0 0 NA 31.5 "weak" "territorial" 1 0 1 0 0 0 1 0 0 0 0 0 1 1 0 1 1 1 0 "Yes" NA NA NA 0.02 NA NA NA NA NA NA NA NA NA 18.5 17 20 0 1 1 1 "oligotop" "NO"
"Aeschna charpentieri" "Aeschna charpentieri Kolenati, 1846" "SPECIES" "homotypic synonym" "Cordulegaster charpentieri (Kolenati, 1846)" "Cordulegaster" "Cordulegastridae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA NA NA NA NA 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Aeschna ephippiger" "Aeschna ephippiger Burmeister, 1839" "SPECIES" "homotypic synonym" "Anax ephippiger (Burmeister, 1839)" "Anax" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INM" "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 45416317.9594805 65.5 NA NA 61 70 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 0 0 0 NA NA 2 0 0 1 0 0 NA 44.5 "weak" NA 1 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 1 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 43 42 44 1 0 0 1 "oligotop" "NO"
"Aeschna flavipes" "Aeschna flavipes Charpentier, 1825" "SPECIES" "homotypic synonym" "Stylurus flavipes (Charpentier, 1825)" "Stylurus" "Gomphidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "DD" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 52.75 NA NA 50 55 511.5 1080 NA NA NA NA 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA NA NA 1 1 0 0 0 0.532646048109966 NA 3 0 0 0 1 0 NA 33 "strong" "territorial" 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 33 31 35 0 1 0 0 "stenotop" "NO"
"Aeschna microstigma" "Aeschna microstigma Schneider, 1845" "SPECIES" "homotypic synonym" "Caliaeschna microstigma (Schneider, 1845)" "Caliaeschna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "No" NA "NT" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Aeschna uncatus" "Aeschna uncatus Charpentier, 1840" "SPECIES" "homotypic synonym" "Onychogomphus uncatus (Charpentier, 1840)" "Onychogomphus" "Gomphidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "No" "RE" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 570683.906086045 51.5 NA NA 50 53 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA 0.666666666666667 NA 0 1 1 0 0 NA NA 3 0 0 0 1 1 NA 31 "weak" NA 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 "No" NA NA NA NA NA NA NA NA NA NA NA NA NA 24 22 26 0 1 0 1 "stenotop" "NO"
"Aeshna affinis" "Aeshna affinis Vander Linden, 1820" "SPECIES" "accepted" "Aeshna affinis Vander Linden, 1820" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 61.5 NA NA 57 66 NA 360 NA NA NA NA 0 1 0 0 1 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.666666666666667 NA 0 1 0 0 0 0.924398625429553 NA 2 1 0 1 0 0 NA 39.5 "strong" NA 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 33 29 37 1 0 1 2 "oligotop" "NO"
"Aeshna caerulea" "Aeshna caerulea (Ström, 1783)" "SPECIES" "accepted" "Aeshna caerulea (Ström, 1783)" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "VU" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 1392547.58172014 59 NA NA 54 64 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 1 1 1 NA NA 1 0 0 0 0 0 NA 39 "strong" "territorial" 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 38 36 40 1 0 1 NA "oligotop" "NO"
"Aeshna crenata" "Aeshna crenata Hagen, 1856" "SPECIES" "accepted" "Aeshna crenata Hagen, 1856" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1020903.35284089 78.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" "Carnivorous" NA NA 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 NA 52 "strong" "territorial" 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NO"
"Aeshna cyanea" "Aeshna cyanea (Müller, 1764)" "SPECIES" "accepted" "Aeshna cyanea (Müller, 1764)" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 71.5 NA NA 67 76 NA 720 NA NA NA NA 1 1 0 0 1 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.625 NA 0 1 1 1 0 0.707903780068729 NA 1 0 1 1 0 0 NA 48 "strong" "territorial" 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 "no" NA NA NA NA NA NA NA NA NA NA NA NA NA 41.5 38 45 1 1 1 0 "eurytop" "NO"
