"species"	"range.size.km2"
"Campylomormyrus curvirostris"	455996.3838692
"Barbodes binotatus"	1661831.96685531
"Petulanos spiloclistron"	481.120672968486
"Pimelodella parnahybae"	36472.5439982553
"Typhleotris mararybe"	433.24216414652
"Chilatherina fasciata"	170159.798133816
"Enteromius paludinosus"	5353566.2598669
"Creagrutus ouranonastes"	37783.4511197269
"Lepturichthys dolichopterus"	3214.77548826233
"Corydoras ornatus"	8269.86910195264
"Cynolebias itapicuruensis"	1785.95559676405
"Hyphessobrycon eilyos"	5265.5614806577
"Cyprinodon bobmilleri"	400.641868504244
"Osteochilus vittatus"	928988.825351576
"Parotocinclus spilurus"	4528.44755968522
"Astyanax argyrimarginatus"	12744.2866489607
"Akysis hendricksoni"	128494.125231867
"Triplophysa dorsonotatus"	100807.703934146
"Characidium purpuratum"	170759.573759098
"Sinogastromyzon nanpanjiangensis"	1659.37314544933
"Crenicara punctulata"	5360339.75672038
"Nannocharax taenia"	520662.184763217
"Caprichromis liemi"	7401.90026544938
"Anablepsoides caurae"	35.2406978181003
"Benthophilus magistri"	10666.9742329381
"Metriaclima lundoense"	21.4593905082907
"Anodus elongatus"	3647952.57196863
"Alosa tanaica"	101568.785306309
"Salmo salar Mid and Southwest Norway subpopulation"	141406.912348076
"Glyptothorax rugimentum"	181941.739495963
"Tlaloc candalarius"	34351.8776142702
"Chanodichthys dabryi"	11711961.3710735
"Brycon henni"	37404.1546720743
"Haplochromis brownae"	69772.3665006663
"Sternarchorhynchus severii"	2425.21284930738
"Characidium lauroi"	4068.84412012488
"Trichomycterus weyrauchi"	2274.95247862677
"Brachyhypopomus menezesi"	901617.677377608
"Procottus jeittelesii"	8112.00879922875
"Laubuka varuna"	4561.14811412911
"Chiloglanis camarabounyi"	3157.30765119473
"Pterolebias hoignei"	12458.6127967602
"Corydoras pantanalensis"	275556.977445142
"Ompok pluriradiatus"	14708.4483858995
"Enteromius argenteus"	25397.5923436786
"Gastromyzon stellatus"	13398.5211827989
"Lamontichthys filamentosus"	3048473.93172715
"Anablepsoides lineasoppilatae"	232.737815294455
"Labeobarbus aeneus"	360345.942452519
"Notropis tropicus"	28565.8828795875
"Cobitis hellenica"	3865.74777581286
"Geophagus gottwaldi"	42184.7057304306
"Moxostoma robustum"	56637.7768738931
"Brachygobius mekongensis"	211769.471285142
"Scardinius acarnanicus"	2221.60592254063
"Ephippus goreensis"	832186.257340312
"Pseudorasbora parva"	2237482.28691118
"Alburnus sarmaticus"	184597.95798612
"Yunnanilus brevis"	54342.4368497629
"Glyptothorax granulus"	29606.7178022667
"Epiplatys singa"	162102.170017156
"Haplochromis lividus"	69772.3665006663
"Gambusia speciosa"	401261.62994697
"Otopharynx brooksi"	1520.60631380011
"Xenotilapia burtoni"	32706.5242026277
"Laimosemion amanapira"	3293.19153236669
"Mchenga eucinostomus"	7076.36371533903
"Hypselobarbus bicolor"	1331.57309578634
"Ataeniobius toweri"	3449.36322813987
"Chetia gracilis"	29179.4202231588
"Sicydium altum"	13063.2481032001
"Chiloglanis congicus"	47216.3825049059
"Tandanus bellingerensis"	21078.1944145057
"Etheostoma ditrema"	19249.2710264401
"Cambeva castroi"	10773.7794354119
"Amblyrhynchichthys truncatus"	545160.508828272
"Tropheops novemfasciatus"	728.660415143999
"Synodontis courteti"	129041.453105454
"Mastacembelus paucispinis"	180462.07098795
"Leporinus britskii"	517619.649744465
"Pseudostegophilus haemomyzon"	1858864.99623288
"Barbus kamaia"	35634.6723661558
"Bryconamericus carlosi"	9431.81727972744
"Brachyalestes ferox"	7805.70835894286
"Astyanax validus"	9656.22461506799
"Syncrossus hymenophysa"	1257588.51796214
"Trichomycterus striatus"	79711.0886172279
"Imparfinis stictonotus"	7881843.45008723
"Mogurnda variegata"	242.945610089918
"Heterocharax leptogrammus"	603610.06461967
"Polynemus hornadayi"	18816.1871590264
"Rineloricaria felipponei"	99.8298815731598
"Cynolebias altus"	2281.79929882484
"Pseudauchenipterus nodosus"	554136.905948106
"Pimelodella laticeps"	1817037.03975127
"Hampala lopezi"	1257.53654611256
"Mylochromis ericotaenia"	7076.36371533903
"Barbus rebeli"	19044.7700810134
"Marcusenius livingstonii"	516212.96304266
"Barbatula cobdonensis"	91253.5511955377
"Puntius bimaculatus"	84425.2857711754
"Labiobarbus fasciatus"	764763.797521514
"Melanotaenia longispina"	136.464140048691
"Pareiorhaphis azygolechis"	3685.13811524988
"Enteromius quadripunctatus"	29422.6443967105
"Eigenmannia waiwai"	6054.95339687252
"Thayeria ifati"	7067.48843762053
"Serrasalmus nalseni"	1931.00762671874
"Synodontis robbianus"	1195.62633548864
"Etheostoma chlorobranchium"	37862.1129216202
"Epiplatys lamottei"	42673.1253711159
"Anostomus longus"	256.45689758604
"Deuterodon singularis"	3106.20258584745
"Hippopotamyrus pictus"	5711846.53418775
"Pangio shelfordii"	525190.672441928
"Channa striata"	9227919.94033685
"Propimelodus araguayae"	30684.3461793037
"Akysis maculipinnis"	24973.426092329
"Nematalosa papuensis"	72182.2710695628
"Chilodus gracilis"	34600.0131708334
"Oreichthys incognito"	1026.76215359583
"Rhinosardinia bahiensis"	1376510.95269021
"Enteromius niokoloensis"	41483.2725558009
"Clarias ngamensis"	1004466.05120266
"Lates niloticus"	4672814.22125651
"Hyphessobrycon pulchripinnis"	42703.7021924398
"Haplochromis olivaceus"	2687.16211284467
"Apteronotus jurubidae"	745.382106370197
"Sicydium crenilabrum"	66980.8765155656
"Mastacembelus crassus"	13000.0144405953
"Pimephales tenellus"	168322.288052167
"Grundulus bogotensis"	1712.25625008957
"Leptachirus triramus"	9541.7767485598
"Etheostoma phytophilum"	5670.17280050505
"Nematogenys inermis"	12563.8238129092
"Monotocheirodon pearsoni"	31631.7796951041
"Dimidiochromis dimidiatus"	7076.36371533903
"Leporinus ecuadorensis"	32538.7598116566
"Schismatogobius insignus"	5286.08486001608
"Nemacheilus guentheri"	51159.5005988725
"Labeotropheus trewavasae"	4782.41929801444
"Trichomycterus pirabitira"	1205.01564218002
"Pareiorhina hyptiorhachis"	3856.33771859821
"Aulonocara koningsi"	32.1694317521232
"Alburnus volviticus"	2117.48447142064
"Placidochromis nkhatae"	0.0737099707044887
"Oreochromis salinicola"	5227.28363958451
"Benthophilus grimmi"	36490.6686197799
"Oreoleuciscus potanini"	24388.6401051463
"Amphilius sp. nov. 'Kokoulo River'"	558.649386214488
"Microsynodontis laevigata"	7963.03999615765
"Hephaestus carbo"	61744.1115687268
"Acanthopoma annectens"	1275751.75928417
"Orestias silustani"	16483.7840246812
"Characidium brevirostre"	16998.4842762378
"Galaxias gollumoides"	20070.16580792
"Hemirhamphodon pogonognathus"	766796.338450558
"Herichthys deppii"	5004.85722443872
"Hypostomus luteomaculatus"	275261.255556964
"Metriaclima barlowi"	1172.88443726876
"Phallostethus dunckeri"	5056.21982028088
"Astyanax schubarti"	23065.2264482593
"Racenisia fimbriipinna"	62347.0674725077
"Notarius cookei"	95620.2699117044
"Rutilus pigus"	84963.0363222497
"Stigmatochromis macrorhynchos"	7076.36371533903
"Schistura cincticauda"	3360.46058085747
"Trachelyopterus cratensis"	1711.86565790665
"Hemigrammus microstomus"	4164781.76251717
"Hemiarius stormii"	120665.769971448
"Stiphodon hydroreibatus"	3074.79456304048
"Ophidion fulvum"	336102.090025325
"Schizopygopsis thermalis"	68042.3796207148
"Brycon sinuensis"	7467.35746368129
"Cobitis laoensis"	180531.154517193
"Pimephales notatus"	2998645.74016183
"Hemibrycon taeniurus"	4994.44372466251
"Kneria wittei"	207233.466585354
"Rhamphichthys rostratus"	6854166.12005525
"Ladislavia taczanowskii"	365931.146070187
"Astyanax bockmanni"	48470.9349670533
"Metriaclima zebra"	3203.98591185193
"Labidochromis heterodon"	0.495421870196698
"Imparfinis usmai"	9568.55325473603
"Epapterus dispilurus"	3205856.97014437
"Notropis bairdi"	82513.5657415439
"Pimelodella modestus"	24412.5762793157
"Crenicichla marmorata"	85937.439636466
"Astroblepus longiceps"	6067.99298192699
"Hemigrammocharax monardi"	23786.3928321542
"Peckoltia vittata"	178886.995554856
"Pseudocurimata boulengeri"	48944.4852309
"Homaloptera modesta"	9867.6204617887
"Knodus alpha"	51496.5137142665
"Badis assamensis"	4385.94752284808
"Trichomycterus yuska"	1417.65010981666
"Pituna compacta"	65852.3094409206
"Corydoras apiaka"	17955.457342364
"Labeo forskalii"	2594999.6660213
"Acheilognathus macropterus"	4116665.59063725
"Schistura fasciolata"	1348003.37441013
"Schizothorax biddulphi"	960690.32908599
"Pseudeutropius indigens"	685.246996212188
"Mayaheros urophthalmus"	300034.8370301
"Odontesthes piquava"	2130.22038229193
"Erethistoides ascita"	43943.0235828312
"Smilosicyopus sasali"	64.3329398387944
"Pareuchiloglanis macrotrema"	39785.2844957995
"Corydoras davidsandsi"	490.256239186999
"Etheostoma nigripinne"	35863.0286524891
"Glyptothorax poonaensis"	5217.29064762403
"Triportheus trifurcatus"	10481.4037596073
"Lepomis gulosus"	2255145.46796109
"Triplophysa lacusnigri"	2408.60878115615
"Sarotherodon knauerae"	145.358547155151
"Neolamprologus obscurus"	34377.1907714885
"Leptobotia guilinensis"	3329.46932206665
"Barbus peloponnesius"	39294.6750406648
"Lefua pleskei"	1473040.47552929
"Amphilius sp. nov. 'St. John River drainage'"	2293.69803085885
"Coregonus stigmaticus"	2342.90087260319
"Thorichthys meeki"	184737.934144437
"Craterocephalus cuneiceps"	31911.9018214934
"Hypostomus luetkeni"	96626.3252522718
"Laubuka khujairokensis"	6291.69483930782
"Cyphomyrus discorhynchus"	2211080.63618186
"Bujurquina labiosa"	14104.8023073857
"Boleophthalmus boddarti"	405012.750875828
"Diplotaxodon altus"	19.304048136391
"Haplochromis bareli"	69772.3665006663
"Rhinodoras gallagheri"	13534.5189355604
"Gymnochanda verae"	3184.13659535333
"Phractura bovei"	34887.4024769458
"Gila robusta"	377936.004318503
"Jupiaba anteroides"	3374542.75996053
"Rineloricaria sanga"	6399.81034633339
"Bryconamericus dahli"	13803.0858470541
"Percina smithvanizi"	12164.5358239186
"Giuris margaritaceus"	4134740.05887706
"Hemipsilichthys nimius"	974.105945201361
"Apistogramma caetei"	12077.5816921147
"Vanmanenia nahangensis"	7585.06436323135
"Betta cracens"	1591.33882355127
"Xiphophorus malinche"	4293.0251479927
"Chiloglanis dialloi"	2488.50658010563
"Astyanax longior"	2273.19265822928
"Trichopodus poptae"	2869.54767342514
"Astyanax baileyi"	3218.48640231003
"Coregonus suidteri"	568.146171618326
"Hemipsilichthys gobio"	8188.16679422167
"Heptapterus mustelinus"	1857495.73069069
"Malapterurus beninensis"	561555.897029182
"Brochiloricaria macrodon"	4345.470084576
"Channa burmanica"	47047.7238145028
"Misgurnus nikolskyi"	330086.126784872
"Potamorrhaphis petersi"	390771.949594366
"Mesoborus crocodilus"	751262.890139134
"Laimosemion sape"	5236.17332076487
