"species"	"range.size.km2"
"Hydrobryum japonicum"	2334147.76432559
"Gratiola officinalis"	7527485.52077299
"Hydrilla verticillata"	46273006.4444204
"Zygophlebia subpinnata"	2793.16266228789
"Oryza rufipogon"	24597818.2751976
"Hypericum callacallanum"	6520.29845275366
"Potamogeton wrightii"	46960970.5490378
"Dypsis aquatilis"	514.685305191066
"Fimbristylis turkestanica"	17244.3718507607
"Brownlowia argentata"	3014584.83916365
"Peltandra virginica"	2078937.2428899
"Lagarosiphon madagascariensis"	31332.1483591292
"Lysimachia nummularifolia"	3678.9147776231
"Poa dimorphantha"	49276.1145624039
"Colocasia esculenta"	18833001.099151
"Oxalis dines"	33827.5294149452
"Carex distans"	349585.717401927
"Thamnobryum angustifolium"	16.3447068521149
"Sparganium natans"	7168595.18510962
"Cladopus fallax"	1137582.912292
"Romulea aquatica"	22597.1771898922
"Rhynchostegium confusum"	2580.10806858423
"Conyza neocandolleana"	31496.2235061947
"Bolboschoenus laticarpus"	5299460.06536122
"Aponogeton vallisnerioides"	12305775.2864085
"Pauridia aquatica"	134147.806818628
"Helonias leucantha"	3959.20312430976
"Sparganium fallax"	8209742.30300208
"Ranunculus meyeri"	298612.7320812
"Juncus acuminatus"	4743466.08164896
"Cyperus kerstenii"	194868.526184316
"Najas tenuifolia"	9351759.35058811
"Saccharum spontaneum"	333539.138123121
"Bonnaya antipoda"	18400236.0508392
"Crassula inanis"	316778.638091255
"Utricularia minor"	7280657.26187277
"Dimeria hohenackeri"	239570.574839574
"Aponogeton ranunculiflorus"	54031.9702091571
"Blyxa quadricostata"	726501.461303496
"Leptochloa neesii"	294434.933588037
"Exacum conglomeratum"	2451.48237522812
"Telaranea europaea"	21250.2165266031
"Xyris kibaraensis"	62140.2274853303
"Fimbristylis acuminata"	1204985.96982454
"Inversodicraea abbayesii"	34657.6252234942
"Brachiaria eruciformis"	691593.119357729
"Beckmannia eruciformis"	6132094.23692501
"Brillantaisia owariensis"	5891067.73013079
"Sagittaria brevirostra"	1953890.79751937
"Inversodicraea ledermannii"	5174226.61171027
"Cotula filifolia"	53753.7869061936
"Trapa colchica"	1444.79077270452
"Xyris wallichii"	2285492.22125801
"Ranalisma humile"	9374067.00211183
"Alisma plantago-aquatica"	52086699.8281068
"Fimbristylis microcarya"	539035.472999684
"Potamogeton trichoides"	34245320.4437606
"Panicum gilvum"	265994.814024689
"Aponogeton eggersii"	1939.45549554959
"Carpha angustissima"	107614.601427049
"Lobelia limosa"	2450.77047244994
"Carex baccans"	959602.137244791
"Aponogeton junceus"	4371056.96358011
"Ruppia filifolia"	1148563.64549151
"Eleocharis confervoides"	153224.224496986
"Pulicaria laciniata"	659435.98712802
"Baldellia alpestris"	139030.751393908
"Pogonia ophioglossoides"	7893697.15570514
"Euphorbia robivelonae"	3131.66585417106
"Luronium natans"	711560.059146407
"Dactylorhiza cordigera"	699795.951453089
"Ascolepis lineariglumis"	7462388.25904025
"Serapias stenopetala"	8100.93012520779
"Queenslandiella hyalina"	1033875.04200723
"Utricularia radiata"	4683591.2010791
"Marsilea crenata"	7217707.78188364
"Hydrocotyle sibthorpioides"	1204985.96982341
"Claytonia tuberosa"	6514785.61705754
"Alocasia fornicata"	707508.716761215
"Hydrobryum kaengsophense"	655866.267911273
"Crinum viviparum"	3646381.98174582
"Murdannia esculenta"	12800.7933641003
"Dopatrium senegalense"	2127871.57460331
"Isoetes junciformis"	696.244265797365
"Elaphoglossum stelligerum"	124893.583050451
"Ranunculus allenii"	4039396.67504968
"Fimbristylis polytrichoides"	1204985.84071243
"Hydrocharis chevalieri"	3933617.5791846
"Benthamia calceolata"	3004.00801951158
"Zeylanidium olivaceum"	81174.445052276
"Plantago tanalensis"	17325.5482932048
"Hydrostachys laciniata"	6263.53251490309
"Zannichellia palustris"	126641221.512299
"Sphaeranthus cotuloides"	17910.7946531259
"Carex lasiocarpa"	7716595.07692636
"Schoenoplectiella leucantha"	308167.233034244
"Anaphalis wightiana"	67080.8091446691
"Yamazakia viscosa"	719960.728614203
"Minuartia pusilla"	2670772.80028529
"Tamarix canariensis"	5135.1711484625
"Saxicolella nana"	11069.9269791489
"Ranunculus trichophyllus"	4930226.8607932
"Cyperus ankaratrensis"	2168.99122492525
"Aponogeton dioecus"	1234.9497344749
"Myosotis laxa"	7265083.68636373
"Wolffiella repanda"	995507.629423054
"Dactylorhiza maurusia"	19424.511097526
"Utricularia vulgaris"	8193847.48938844
"Najas graminea"	41935448.0496165
"Leptochloa obtusiflora"	50752.7833953018
"Stuckenia pectinata"	78098583.3584478
"Ranunculus lingua"	5732469.45766144
"Callitriche transvolgensis"	17436.4921892196
"Limnophila laotica"	77592.569624445
"Carex cretica"	4153.29548205355
"Villarsia capensis"	61841.111664224
"Sporobolus elatior"	3597.44124395026
"Cyperus alulatus"	663412.624125992
"Anthoxanthum borii"	23803.6704414253
"Liquidambar orientalis"	684.01519196629
"Lysichiton americanus"	1302698.62188085
"Callitriche compressa"	20824.80038584
"Aponogeton decaryi"	19000.5629349983
"Salix libani"	21990.2579574284
"Narcissus jonquilla"	145067.011368114
"Juncus effusus"	72349306.4229512
"Agalinis kingsii"	210.621473603002
"Riella alatospora"	135851.555886166
"Drosera elongata"	233932.988469004
