"species"	"range.size.km2"
"Colletes creticus"	8420.70987407979
"Colletes cyprius"	5918.42274479804
"Colletes dimidiatus"	4943.36297923705
"Colletes dinizi"	15747.5265876635
"Colletes halophilus"	30418.5384683773
"Colletes hederae"	876825.53759056
"Colletes merceti"	21731.346536054
"Colletes moricei"	4394.10458759395
"Colletes pulchellus"	138560.674394985
"Colletes schmidi"	1957.23110739524
"Colletes sierrensis"	40366.6532839871
"Colletes standfussi"	2277.49269787903
"Colletes tardus"	13992.1998549575
"Colletes tuberculiger"	105708.565233801
"Colletes wolfi"	35581.8274353351
"Camptopoeum nasutum"	373181.394902964
"Flavipanurgus flavus"	264469.890194221
"Halopanurgus fuzetus"	12811.1631599648
"Flavipanurgus granadensis"	236309.630085739
"Flavipanurgus ibericus"	298899.850504151
"Flavipanurgus merceti"	64023.3235234768
"Flavipanurgus venustus"	39126.6624672656
"Panurginus alpinus"	132925.286073342
"Panurginus annulatus"	157581.82218925
"Panurginus montanus"	201887.721935837
"Panurginus schwarzi"	40112.0704725936
"Panurginus sericatus"	130536.429572022
"Panurgus canescens"	837527.311099791
"Panurgus corsicus"	33136.2991963754
"Panurgus dentipes"	1308831.57517883
"Panurgus meridionalis"	19664.7786368832
"Panurgus siculus"	65421.7432782296
"Simpanurgus phyllopodus"	40137.9369627355
"Ceratina cypriaca"	7895.68279746965
"Ceratina gravidula"	652655.335190518
"Ceratina teunisseni"	8420.70974827432
"Dasypoda frieseana"	101248.837604636
"Dasypoda iberica"	87122.030569403
"Dasypoda morotei"	370731.782234108
"Dasypoda pyriformis"	193291.230556732
"Macropis europaea"	7099454.52449647
"Melitta hispanica"	7904.02501366425
"Melitta iberica"	159726.33693976
"Melitta kastiliensis"	33424.9560694942
"Melitta murciana"	49126.67283816
"Melitta seitzi"	115497.533372163
"Melitta tomentosa"	5287.28817410511
"Melitta udmurtica"	249302.967408287
"Halictus carinthiacus"	223065.772467509
"Halictus centaureae"	82982.8153900359
"Seladonia concinna"	10828.4021645252
"Halictus crenicornis"	555794.466437797
"Halictus frontalis"	817.29570130777
"Halictus fumatipennis"	233629.729248458
"Halictus gruenwaldti"	49915.7127284663
"Halictus holomelaenus"	9585.30806038148
"Seladonia inpilosa"	46623.1911525656
"Halictus jaramielicus"	65792.4049355702
"Halictus langobardicus"	1590317.91676222
"Halictus lussinicus"	109144.647124021
"Halictus mediterranellus"	54688.29223858
"Seladonia microcardia"	6324.43312743087
"Halictus nicosiae"	22286.5694448774
"Halictus ponticus"	215013.078206803
"Halictus pseudotetrazonius"	23142.7321113911
"Halictus pyrenaeus"	37412.7242674248
"Halictus rossicus"	443672.582793626
"Halictus tridivisus"	234426.266080316
"Halictus quadripartitus"	111249.112281009
"Colletes pannonicus"	6772.45386156909
"Melitta budashkini"	7220.15085938736
"Andrena olympica"	13177.5142624105
"Andrena pareklisiae"	4694.46763516789
"Andrena pastellensis"	13834.0853573806
"Andrena pellucens"	191560.568645417
"Andrena pelopa"	5579.42302863074
"Andrena relata"	55808.9126189707
"Andrena resoluta"	272235.713195868
"Andrena rhenana"	29783.7696916236
"Andrena rogenhoferi"	108195.19649259
"Andrena roseipes"	345614.675441614
"Andrena sagittaria"	3471.17878252122
"Andrena sandanskia"	7558.43434850403
"Andrena sibthorpi"	1829.86512114334
"Andrena siciliana"	25432.6864752662
"Andrena solenopalpa"	32174.1608062007
"Andrena standfussorum"	446.400404177123
"Andrena strohmella"	380206.248818575
"Andrena taxana"	2502.53943737853
"Andrena tricuspidata"	3037.27240561239
"Andrena trikalensis"	8242.49574442349
"Andrena vacella"	26507.9719194147
"Andrena wollastoni"	7149.2006541336
"Hylaeus adriaticus"	609546.266475674
"Hylaeus alpinus"	2327171.9637482
"Hylaeus ater"	9587.01025477113
"Hylaeus canariensis"	7459.62165376811
"Hylaeus convergens"	581911.09450605
"Hylaeus crassanus"	1839755.78668881
"Hylaeus deceptorius"	713261.288418707
"Hylaeus friesei"	735883.344656535
"Hylaeus garrulus"	581911.094506135
"Hylaeus hellenicus"	7908.63631857526
"Hylaeus hohmanni"	7459.62165376811
"Hylaeus hyperpunctatus"	1119694.86629345
"Hylaeus ibericus"	28549.2937816037
"Hylaeus koenigsmanni"	912.547597189476
"Hylaeus maderensis"	753.060046603744
"Hylaeus milossus"	109536.759073235
"Hylaeus nivaliformis"	189116.09975807
"Hylaeus nivalis"	264276.59491501
"Hylaeus penalaris"	172678.628160701
"Hylaeus pictus"	1714805.64617697
"Hylaeus pyrenaicus"	19279.2067931938
"Hylaeus teruelus"	78565.0384934357
"Chelostoma siciliae"	25432.6864809227
"Hoplitis peniculifera"	492658.038595747
"Hoplitis hilbera"	492658.038595747
"Hoplitis lithodorae"	492658.038595747
"Hoplitis manuelae"	492658.038595747
"Dioxys atlanticus"	7198.81697189089
"Dioxys lanzarotensis"	7198.81697189089
"Pseudoanthidium canariense"	7198.81697189089
"Stelis ortizi"	492658.038595747
"Stelis franconica"	1283279.09377062
"Ammobates dusmeti"	97379.0013149468
"Ammobatoides okalii"	1685.92113037109
"Eucera codinai"	581911.0945135
"Eucera gracilipes"	7198.81697189089
"Eucera quilisi"	581911.0945135
"Tetralonia hohmanni"	1946.17019472947
"Tetralonia lanzarotensis"	806.418512932006
"Tetralonia lyncea"	357013.821512179
"Sphecodes atlanticus"	1525.00858925951
"Sphecodes pseudocrassus"	104066.239372115
"Chelostoma grande"	1385813.54741103
"Chelostoma hellenicum"	119128.012762775
"Chelostoma laticaudum"	111629.905424845
"Hoplitis albatera"	492658.038595747
"Hoplitis cretaea"	8218.59127281917
"Hoplitis fabrei"	119095.508516901
"Hoplitis graeca"	119095.508516901
"Hoplitis holmboei"	128235.548451208
"Hoplitis lepeletieri"	2730846.57326406
"Hoplitis ochraceicornis"	1397659.79159662
"Hoplitis parnesica"	119095.508516901
