"species"	"range.size.km2"
"Lophostoma occidentalis"	201548.717607808
"Microcebus boraha"	169.988097541214
"Pseudomys pilligaensis"	6939.08206562911
"Capreolus pygargus"	11998106.576847
"Hipposideros pygmaeus"	90619.5229423553
"Gerbillus henleyi"	3846929.15163142
"Akodon dayi"	289331.63441526
"Macronycteris gigas"	3576523.17929658
"Rhinolophus pusillus"	3582812.62074313
"Saimiri ustus"	876710.210303067
"Megaerops kusnotoi"	16180.297423199
"Haeromys minahassae"	42337.0703861778
"Lemniscomys barbarus"	249140.730585203
"Lasiurus ega"	13205185.7197621
"Genetta cristata"	100907.244463004
"Pogonomys championi"	220.673501616968
"Vulpes lagopus"	10726428.9960962
"Thomasomys ischyrus"	43951.9616995238
"Eptesicus guadeloupensis"	1468.68841630741
"Cephalorhynchus hectori"	96473.7167475696
"Callosciurus albescens"	58797.8587789589
"Scotophilus robustus"	398693.889632835
"Euchoreutes naso"	1674821.34009872
"Nyctophilus howensis"	15.0017278307111
"Ctenomys australis"	38461.022971937
"Diplomesodon pulchellus"	1820728.78968156
"Archboldomys luzonensis"	22.2112982093664
"Reithrodontomys sumichrasti"	328552.486818389
"Xerospermophilus tereticaudus"	309353.216996525
"Paracrocidura graueri"	997.721839307986
"Octomys mimax"	118944.764420357
"Felis margarita"	4530797.58949781
"Mico rondoni"	70576.0710301816
"Microgale majori"	107492.216489591
"Antechinus godmani"	3599.52160933051
"Galenomys garleppi"	50902.9553507682
"Macaca arctoides"	1711684.1781753
"Erophylla sezekorni"	122945.383763465
"Dendrohyrax dorsalis"	3057809.0851455
"Herpailurus yagouaroundi"	14850896.6117516
"Notocitellus adocetus"	31693.547283972
"Eschrichtius robustus"	4119440.82294945
"Coendou prehensilis"	12257463.454142
"Urva brachyura"	1271946.61762487
"Bullimus gamay"	252.918022655447
"Nasua narica"	2698807.1638998
"Crocidura kegoensis"	30450.3635435547
"Thylogale calabyi"	1002.37209859111
"Maxomys pagensis"	6004.26115718839
"Akodon dolores"	809586.623763864
"Tupaia tana"	999970.615944008
"Oligoryzomys flavescens"	3149813.56795911
"Chalinolobus neocaledonicus"	16190.5536612575
"Callorhinus ursinus"	16894097.3684715
"Megaptera novaeangliae"	137032543.049009
"Peromyscus leucopus"	5831351.7659537
"Lasiorhinus latifrons"	68190.478346543
"Kerivoula depressa"	927742.971134204
"Chiropodomys calamianensis"	14051.8223573784
"Cryptotis venezuelensis"	782.957779409186
"Dendrolagus bennettianus"	3562.45766439968
"Leopardus wiedii"	12288755.8103235
"Choeropsis liberiensis"	155982.356336866
"Vulpes zerda"	8675207.94773647
"Reithrodontomys humulis"	1296370.6541874
"Echinosorex gymnura"	1373927.42762521
"Pedetes capensis"	3817904.33986711
"Gerbillus poecilops"	102195.846567771
"Dorcopsulus vanheurni"	179392.504172467
"Oxymycterus inca"	360850.754205543
"Neotragus batesi"	802403.340647076
"Microgale jenkinsae"	1383.992671572
"Balaenoptera ricei"	49415.9924151344
"Dremomys pyrrhomerus"	273521.525741997
"Macroscelides proboscideus"	530451.924331102
"Heterogeomys cherriei"	10525.0511418595
"Cercartetus nanus"	386605.427237329
"Tateomys rhinogradoides"	2657.32152416473
"Macaca maura"	19910.2429041617
"Mormopterus francoismoutoui"	2541.05898618962
"Odocoileus virginianus"	14410637.3957417
"Semnopithecus hypoleucos"	407292.339572966
"Hipposideros curtus"	136020.662200408
"Heteromys desmarestianus"	476861.293882276
"Myzopoda schliemanni"	36339.9998778638
"Pteronotus davyi"	3461633.97384973
"Microperoryctes murina"	607.819673524855
"Echymipera clara"	175468.598234753
"Lepus starcki"	60357.6049263235
"Crocidura orii"	945.177491561049
"Pteropus rennelli"	544.101644033378
"Scotozous dormeri"	2183092.09592468
"Gerbillus mackilligini"	200370.273859108
"Isothrix bistriata"	1821069.6185788
"Mesoplodon perrini"	2328162.38807706
"Ctenomys coludo"	33791.5863577281
"Gerbillus watersi"	123298.497197437
"Chlorocebus dryas"	41073.2111353389
"Sorex portenkoi"	121493.777488177
"Niviventer cremoriventer"	1248372.60060945
"Pseudochirulus larvatus"	121062.006282008
"Anoura aequatoris"	528124.15484076
"Craseomys rex"	58397.4772881023
"Proedromys liangshanensis"	4010.14922836006
"Miniopterus fraterculus"	1547487.97920188
"Gerbillus nancillus"	1348648.01217801
"Cercartetus caudatus"	308509.795574369
"Graomys domorum"	101529.241500662
"Neoromicia tenuipinnis"	4247435.61190179
"Volemys millicens"	9916.22762124631
"Rangifer tarandus"	18660780.3197714
"Crocidura baluensis"	2805.7141588403
"Gerbillus nanus"	10184490.3293406
"Galago moholi"	3985248.48056375
"Otocyon megalotis"	4957043.23813118
"Caluromys derbianus"	792215.255674475
"Proechimys brevicauda"	1460844.71116488
"Cryptonanus unduaviensis"	310850.998397679
"Callibella humilis"	25728.9736032335
"Neotoma goldmani"	170757.259429458
"Megaderma spasma"	4056887.36352369
"Taphozous theobaldi"	1042380.03884249
"Potorous tridactylus"	125038.53877332
"Lontra provocax"	125850.091905782
"Vandeleuria oleracea"	3789829.90217336
"Chrysochloris visagiei"	366.475870853562
"Marmosa lepida"	4163942.39301192
"Hybomys basilii"	588.929011968212
"Hypsugo savii"	4280336.74621202
"Paradoxurus zeylonensis"	18391.6621546132
"Cryptotis obscura"	14446.6130249933
"Myotis chinensis"	2369550.78885095
"Pipistrellus maderensis"	5017.46372437406
"Nyctophilus daedalus"	741507.710667829
"Rhinopithecus strykeri"	203.434546060932
"Presbytis sabana"	59654.8323059872
"Myospalax psilurus"	3135228.91782057
"Otomops papuensis"	222.838596748049
"Chlorocebus tantalus"	3943411.20629588
"Crocidura eisentrauti"	363.730668634166
"Thomasomys ucucha"	16490.7915758962
"Rheomys thomasi"	27299.2612290963
"Crocidura floweri"	30500.9526942722
"Cheirogaleus medius"	8993.78985233222
"Thomomys bulbivorus"	6146.60237131817
"Murina feae"	1284138.26247458
"Paraxerus boehmi"	956025.609753381
"Niviventer tenaster"	266057.263170124
"Grammomys aridulus"	25446.3416852393
"Rhinolophus schnitzleri"	383388.151173823
"Lasiurus insularis"	106633.252434848
"Pseudomys shortridgei"	30929.1985496306
"Petrogale assimilis"	208649.694349889
"Sorex vagrans"	992061.414478314
"Canis lupus"	56006225.8750016
"Rhipidomys tribei"	36185.4247573483
"Chinchilla lanigera"	24492.7967208616
"Mylomys dybowskii"	1279787.08255656
"Neotoma fuscipes"	171574.867049231
"Cacajao ayresi"	6367.17657317369
"Ellobius talpinus"	2984350.96853029
"Allochrocebus lhoesti"	216021.539110813
"Cynopterus luzoniensis"	455804.740249157
"Craseonycteris thonglongyai"	7954.01405052096
"Porcula salvania"	881.67859161391
"Cryptotis goldmani"	47998.5085886807
"Microtus cabrerae"	119784.070458227
"Gerbillus muriculus"	523.944735298748
"Arctictis binturong"	3049767.95820335
"Calomys sorellus"	244104.40581546
"Neoromicia matroka"	33499.4904235749
"Chrotomys whiteheadi"	16762.7852790769
"Chiroderma vizottoi"	318.453732073361
"Stenoderma rufum"	9281.02809308627
"Galea leucoblephara"	1914449.49965857
"Dinaromys bogdanovi"	78168.0392450146
"Artibeus schwartzi"	8285.90976532722
"Crocidura vorax"	1238060.04394348
"Marmota sibirica"	1534491.66616293
"Lepus flavigularis"	100.000770666723
"Myotis annectans"	296170.997182794
"Jaculus thaleri"	13253.2728705927
"Octodon lunatus"	25576.9872685208
"Capra cylindricornis"	22805.6542524822
"Thomasomys hylophilus"	19043.2095348036
"Mops midas"	415330.640084062
"Archboldomys maximus"	34.6577785144557
"Gerbillurus paeba"	2191068.62829225
"Gerbillus andersoni"	117593.891116005
"Haeromys pusillus"	51651.594981232
"Cratogeomys fulvescens"	2140.58670524348
"Plecturocebus vieirai"	222188.329770014
"Nyctimene sanctacrucis"	522.363303065966
"Philander frenatus"	921860.966071918
"Otomys cuanzensis"	115191.666472973
"Thomasomys fumeus"	9249.1049508975
"Platyrrhinus albericoi"	608162.992905136
"Vespadelus troughtoni"	895634.146285731
"Hipposideros macrobullatus"	12286.4323849069
"Microtus daghestanicus"	194265.176955417
"Dipodomys venustus"	16356.3942236231
"Crunomys suncoides"	481.931310446434
"Theropithecus gelada"	104365.324066462
"Mico mauesi"	29585.7933252863
"Sciurocheirus makandensis"	10215.4586402864
"Micronycteris sanborni"	137406.736288481
"Philander deltae"	31325.4804980822
"Hipposideros coxi"	2684.56670431945
"Maxomys rajah"	1317194.64519217
"Niviventer eha"	183562.823996078
"Myosorex geata"	463.330522379338
"Melogale everetti"	19.9358001400768
"Mylomys rex"	314.30322353948
"Microdipodops megacephalus"	226040.896084954
"Notoryctes caurinus"	451197.152094114
"Lonchophylla peracchii"	1102.82095720709
"Erinaceus amurensis"	4254779.3089984
"Cebus unicolor"	1403481.17057039
"Pteromys volans"	13737442.3657024
"Dendrolagus dorianus"	39847.24744751
"Desmomys harringtoni"	265251.583095358
"Cheirogaleus shethi"	872.704974326173
"Sorex gracillimus"	1136758.48523476
"Taphozous hilli"	1411632.65029415
"Oryzorictes tetradactylus"	14226.2159112715
"Microtus elbeyli"	311.573793303646
"Crocidura canariensis"	2520.60069789965
"Micronomus norfolkensis"	74501.3666774109
"Monodelphis brevicaudata"	1828323.54877276
"Rattus hoffmanni"	168758.238613837
"Ichthyomys pittieri"	28379.9413574065
"Dendrohyrax arboreus"	2446114.61474486
"Crocidura dhofarensis"	89.3372626535978
"Auliscomys pictus"	309598.2908026
"Epomophorus minor"	4433655.81097419
"Aonyx cinereus"	4793188.50950283
"Paranyctimene tenax"	425735.231486898
"Mops chapini"	4301386.96399981
"Mus terricolor"	2882396.97394489
"Sorex pacificus"	58283.9303494435
"Ctenomys opimus"	288127.430958702
"Alouatta seniculus"	2272440.81690492
"Vombatus ursinus"	310428.619897116
"Leontocebus cruzlimai"	42374.4234821111
"Manis pentadactyla"	2757986.81417772
"Petrogale coenensis"	10779.9536988084
"Reithrodontomys rodriguezi"	1719.80411692831
"Alticola stoliczkanus"	2306359.62712488
"Crocidura tarfayensis"	267266.721142409
"Urocyon cinereoargenteus"	9037640.20911398
"Uromys imperator"	5461.37859781538
"Callicebus personatus"	142975.239685144
"Thomasomys popayanus"	31157.0280929114
"Cryptonanus agricolai"	1141063.72885993
"Peromyscus guatemalensis"	17875.0666070847
"Dendromus insignis"	26896.8648074099
"Rhinolophus cohenae"	17614.3742814766
"Rhinolophus silvestris"	136275.249088203
"Sorex dispar"	334231.151144306
"Scotophilus heathii"	5781492.39643825
"Nephelomys meridensis"	14351.082107424
"Sorex cansulus"	8846.13083937755
"Pteropus samoensis"	20144.5797881979
"Exilisciurus whiteheadi"	155450.152658502
"Hypsugo cadornae"	513196.50484114
"Muntiacus truongsonensis"	7229.12961043069
"Indri indri"	30054.8779977384
"Pteropus aldabrensis"	152.669021521531
"Caryomys eva"	198444.419408768
"Sicista kazbegica"	3375.93271221113
"Mus macedonicus"	1386803.65246914
"Phalanger matanim"	153.144784036235
"Suncus aequatorius"	491.260535846205
"Uropsilus gracilis"	765423.281177005
"Myotis escalerai"	401357.034718742
"Sorex jacksoni"	4929.27485970174
"Cryptotis griseoventris"	156.785143709144
"Rattus fuscipes"	486689.525975376
"Crocidura pitmani"	36530.0950182911
"Ctenomys occultus"	38100.9015520676
"Anoura caudifer"	5940468.23538525
"Vulpes velox"	1550929.75883599
"Oligoryzomys andinus"	260991.295366932
"Tadarida latouchei"	185998.865511284
"Reithrodontomys chrysopsis"	53802.4068521096
"Neogale africana"	5209972.53483449
"Pogonomys macrourus"	317142.641699154
"Chlorocebus aethiops"	1136054.63109961
"Mesoplodon bidens"	14473718.6844109
"Macrophyllum macrophyllum"	13066617.6485834
"Pithecia chrysocephala"	114364.755610085
"Nycteris vinsoni"	291.640204829818
"Vespadelus finlaysoni"	3435392.14403431
"Lophuromys chrysopus"	112209.387081727
"Mico nigriceps"	31646.7005555175
"Rhipidomys cariri"	228099.120851746
"Dipodomys compactus"	49440.9025447039
"Sorex bairdi"	35570.1232253433
"Mops bregullae"	20613.2245686454
"Hylopetes platyurus"	729231.825795764
"Condylura cristata"	3486994.1626736
"Pteropus tonganus"	57838.6006613371
"Gerbillus stigmonyx"	28879.9773665802
"Thylogale billardierii"	66448.2368141695
"Spermophilopsis leptodactylus"	1268483.86820257
"Akodon subfuscus"	171092.78275717
"Neacomys pictus"	484.139918014659
"Lepus timidus"	20131533.2219403
"Alticola semicanus"	671213.974898449
"Micronycteris matses"	2878.49337808118
"Dermanura cinerea"	4322309.53083264
"Sorex preblei"	688410.089277327
"Chaetodipus artus"	89263.0034484196
"Scapanulus oweni"	345005.270532337
"Cercocebus galeritus"	214.53406013791
"Callithrix geoffroyi"	124967.933656793
"Phyllotis haggardi"	34812.8092777604
"Thyroptera devivoi"	99097.3547179716
"Ctenodactylus vali"	57358.200887355
"Millardia meltada"	2256648.61239986
"Callosciurus erythraeus"	4042787.0993511
"Phodopus campbelli"	2049854.90195882
"Necromys amoenus"	164451.100204134
"Nyctophilus geoffroyi"	7272506.2511344
"Mandrillus leucophaeus"	17586.9846162008
"Crocidura ultima"	1277.46852644421
"Piliocolobus oustaleti"	424140.159874692
"Chiropotes satanas"	273123.320960792
"Elephantulus edwardii"	193798.451886946
"Microgale mergulus"	56589.4784319673
"Varecia rubra"	5271.83913753739
"Ursus arctos"	35608389.4469419
"Pteropus howensis"	7.91595153850608
"Herpestes pulverulentus"	770354.787677079
"Rhizomys pruinosus"	2359279.67098442
"Mus oubanguii"	77712.3019395666
"Thoopterus nigrescens"	182866.82297775
"Onychomys leucogaster"	3841451.16768421
"Histiotus montanus"	3290996.15185555
"Hipposideros muscinus"	116471.973395384
"Nycticebus hilleri"	67719.148207367
"Maxomys ochraceiventer"	126347.906545357
"Suncus hututsi"	69212.1301527662
"Sorex satunini"	412610.262195084
"Pygathrix cinerea"	24681.1347039995
"Hipposideros gentilis"	2822172.97687159
"Oryzomys couesi"	1491857.11843654
"Eulemur macaco"	7963.78206619222
"Ailuropoda melanoleuca"	34603.9999421645
"Cryptotis peregrina"	684.989606524468
"Megaerops niphanae"	1321362.3794027
"Ozimops halli"	13071.4993952144
"Microcebus ravelobensis"	3336.83198386518
"Sundasciurus moellendorffi"	527.188125391422
"Poelagus marjorita"	83266.9014324627
"Dolichotis patagonum"	1242816.9973696
"Crossarchus alexandri"	1412932.50270317
"Orcinus orca"	129501430.978055
"Graphiurus microtis"	3300456.42875613
"Ctenomys sericeus"	41581.7811471425
"Praomys delectorum"	56002.7829570859
"Mico leucippe"	70830.6143732207
"Sylvilagus robustus"	38043.243024148
"Anomalurus pusillus"	573139.913541608
"Rhogeessa io"	4609642.84747149
"Phyllotis magister"	58908.1391314559
"Taeromys celebensis"	104408.710195392
"Phyllotis amicus"	71787.3761731155
"Melogale moschata"	2960755.4180237
"Macaca nigra"	5776.70981363161
"Thylogale browni"	224905.807464792
"Heliosciurus gambianus"	4714373.11395193
"Suncus remyi"	150166.811093498
"Mastomys kollmannspergeri"	1619743.20699907
"Lepilemur ahmansoni"	281.281917168356
"Millardia kathleenae"	30355.6380240285
"Scotoecus hirundo"	4917152.73019797
"Proechimys longicaudatus"	1349084.79814273
"Desmana moschata"	122910.791193117
"Mesocricetus raddei"	141380.031110699
"Dasypus septemcinctus"	5799179.60129735
"Hipposideros hypophyllus"	6665.21792610961
"Antechinus stuartii"	118336.847227672
"Lasiurus salinae"	845524.702520787
"Muntiacus vuquangensis"	110001.596194949
"Mus crociduroides"	5576.4325145151
"Kerivoula agnella"	2407.35864049577
"Hylobates muelleri"	103190.456482831
"Scotonycteris zenkeri"	114273.668840188
"Microperoryctes aplini"	76.0193089965833
"Myosorex eisentrauti"	49.406855529601
"Dipodomys gravipes"	5681.977341614
"Kerivoula phalaena"	1206399.66877251
"Cynictis penicillata"	2252374.38767331
"Megadendromus nikolausi"	6974.96548522562
"Rungwecebus kipunji"	71.0605736903061
"Taphozous australis"	38340.9203766629
"Myotis indochinensis"	796067.327967687
"Ammospermophilus interpres"	312449.218476291
"Lamottemys okuensis"	439.833802975704
"Allactaga balikunica"	234834.395046306
"Crocidura whitakeri"	759432.734515201
"Phyllotis gerbillus"	33728.3721513044
"Dendromus mesomelas"	588635.037202351
"Atherurus africanus"	3544244.61991179
"Pipistrellus endoi"	22538.2294373596
"Vulpes bengalensis"	3129366.44937544
"Cerradomys subflavus"	1461038.81626615
"Micromys minutus"	18265246.8537238
"Dobsonia chapmani"	29.1132413119345
"Abrocoma cinerea"	529152.754277989
"Reithrodontomys raviventris"	971.418473875563
"Sundasciurus juvencus"	7783.60680702667
"Pipistrellus ceylonicus"	2718309.28723923
"Lasiurus pfeifferi"	96779.231885678
"Taxidea taxus"	8851818.09552558
"Hystrix brachyura"	5786235.95971005
"Spalax microphthalmus"	577628.610261015
"Rhyneptesicus nasutus"	1866190.53944975
"Prosciurillus topapuensis"	16235.7351755928
"Habromys lophurus"	25199.0254488739
"Soricomys montanus"	970.876007253247
"Thomomys umbrinus"	469412.988337374
