"species"	"range.size.km2"
"Megalagrion jugorum"	2288.1607319214
"Megalagrion oceanicum"	1572.24711867916
"Megalagrion pacificum"	16509.6840305735
"Megalagrion xanthomelas"	15056.2916007442
"Megalagrion oahuense"	1572.24711867916
"Enallagma cyathigerum"	5779798.38864336
"Sympetrum depressiusculum"	1947243.63385753
"Periaeschna gerrhon"	1590.23699833914
"Nihonogomphus simillimus"	6308.30666688426
"Leptogomphus perforatus"	32032.271939439
"Rhipidolestes truncatidens"	5533.5351665871
"Idionyx claudia"	19420.7500849108
"Libellula melli"	19997.5769713744
"Sinosticta ogatai"	5546.17545267074
"Platycnemis pierrati"	2207.37085635141
"Fukienogomphus prometheus"	46283.4274849242
"Macromia unca"	9048.33603366006
"Asiagomphus hainanensis"	1126841.9544183
"Megalestes discus"	5552.37492096608
"Lamelligomphus hainanensis"	27742.7622986701
"Stylurus nanningensis"	6735.05232900105
"Anotogaster kuchenbeiseri"	12609.9044708265
"Paracercion hieroglyphicum"	2257802.86230402
"Leptogomphus elegans"	14679.2073456737
"Macromia manchurica"	13922.0711032971
"Euphaea opaca"	394040.678065399
"Macromidia ellenae"	5394.70541149177
"Fukienogomphus choifongae"	9215.37625301742
"Macromia daimoji"	314941.969761297
"Megalogomphus sommeri"	29876.1082612971
"Planaeschna gressitti"	2031.23704283909
"Fukienogomphus promineus"	18409.2031838412
"Sinosticta debra"	1375.92973718505
"Rhipidolestes janetae"	14745.5333970909
"Idionyx victor"	17468.2493168457
"Ischnura asiatica"	2880301.31804192
"Melligomphus ardens"	40344.3628556947
"Rhipidolestes cyanoflavus"	6312.75315491726
"Macromidia kelloggi"	7659.0474291257
"Anotogaster sieboldii"	555287.142335315
"Drepanosticta hongkongensis"	7327.47504744539
"Gomphidia fukienensis"	801143.133489046
"Gomphidia ganeshi"	159.706907106944
"Stylogomphus lawrenceae"	4667.01379988669
"Ceriagrion rubiae"	2370.17398272124
"Lamelligomphus chaoi"	1251.32049624559
"Davidius triangularis"	295.979699558086
"Rhinocypha huai"	683.188803515767
"Atratothemis reelsi"	11218.7959149145
"Heliogomphus lieftincki"	181.698388415015
"Merogomphus femoralis"	4600.07199920057
"Brachygonia puella"	5742.31728086248
"Macromia urania"	1177981.62008304
"Mortonagrion hirosei"	8913.10313041244
"Prodasineura odzalae"	387924.986489771
"Cyanothemis simpsoni"	2840754.09225325
"Neurogomphus angustisigna"	40362.9026735528
"Zygonyx speciosus"	1236953.3030822
"Paragomphus aureatus"	20394.1193195625
"Allocnemis wittei"	317537.100469492
"Pseudagrion bernardi"	172681.920986028
"Paragomphus abnormis"	620469.524261062
"Diastatomma multilineatum"	34693.767589204
"Neurogomphus fuscifrons"	406036.217826671
"Nesciothemis pujoli"	1451271.72000078
"Trithemis basitincta"	392063.013961535
"Micromacromia zygoptera"	861548.978271972
"Pseudagrion spinithoracicum"	11187.4191773033
"Aethiothemis circe"	1144876.84411023
"Tetrathemis godiardi"	395882.958353193
"Idomacromia lieftincki"	1197593.89154841
"Allocnemis subnodalis"	701948.03063751
"Aethiothemis erythromelas"	2398393.05929364
"Pseudagrion hemicolon"	853956.249955232
"Neurogomphus vicinus"	102785.550946368
"Elattoneura acuta"	1517385.70096565
"Trithemis congolica"	2099710.72271438
"Elattoneura centrafricana"	1857485.79192349
"Neurogomphus martininus"	568020.290232915
"Telebasis carmesina"	1773064.21237785
"Mecistogaster ornata"	10543017.9856372
"Brechmorhoga praedatrix"	6301439.793928
"Aphylla tenuis"	728677.039840793
"Erythrodiplax pallida"	256136.592729214
"Progomphus pijpersi"	2297987.18740623
"Neuraeschna titania"	379191.453637253
"Progomphus herrerae"	273564.245522827
"Macrothemis tenuis"	592910.511836168
"Erythrodiplax cleopatra"	153949.840938981
"Erythrodiplax maculosa"	6072832.72709288
"Minagrion waltheri"	65433.536684165
"Minagrion ribeiroi"	731.762610250914
"Erythrodiplax leticia"	156453.462033592
"Micrathyria tibialis"	8822131.60508393
"Acanthagrion longispinosum"	32572.2168230869
"Phyllocycla malkini"	20522.7469807076
"Micrathyria coropinae"	3031.21467039881
"Acanthagrion tepuiense"	23942.2344208024
"Micrathyria catenata"	13160217.8344668
"Neoneura bilinearis"	11402933.6372337
"Argia croceipennis"	534305.240527174
"Nephepeltia leonardina"	4783041.39056051
"Progomphus complicatus"	2157266.34018492
"Telebasis obsoleta"	5292980.29077297
"Protoneura calverti"	117027.18533015
"Orthemis concolor"	355953.857956403
"Rhodopygia hinei"	286692.546831944
"Progomphus incurvatus"	1219636.5998449
"Perithemis icteroptera"	2546529.79277777
"Cyanogomphus waltheri"	985829.213913258
"Epipleoneura manauensis"	317541.587404849
"Micrathyria longifasciata"	3037968.7568234
"Allopetalia reticulosa"	65917.6681325079
"Dimeragrion percubitale"	364649.398512764
"Phyllogomphoides annectens"	1690852.32119172
"Erythemis haematogastra"	6717458.22463779
"Argentagrion ambiguum"	2031129.72561134
"Telebasis willinki"	2806975.91075602
"Epipleoneura kaxuriana"	143135.85893658
"Gynothemis pumila"	9183620.84869605
"Oligoclada abbreviata"	8590346.84643516
"Lestes curvatus"	2873338.54629699
"Progomphus conjectus"	9176.50560532144
"Lestes undulatus"	1477874.05145985
"Planiplax arachne"	6649230.00611955
"Micrathyria hippolyte"	4043543.22423769
"Polythore terminata"	528125.377867399
"Macrothemis heteronycha"	1552717.1624108
"Erythrodiplax cauca"	8790.69525625261
"Chalcopteryx rutilans"	3574617.19402773
"Argia subapicalis"	5168.81629118068
"Perithemis lais"	11901438.0990189
"Cyanallagma bonariense"	372490.242930528
"Argia inculta"	323881.947917486
"Orthemis regalis"	3403319.05481548
"Phyllogomphoides joaquini"	39937.5143631264
"Acanthallagma luteum"	16782.2524313452
"Tibiagomphus uncatus"	380216.683753898
"Erythrodiplax lygaea"	1174822.71864815
"Rhodopygia hollandi"	6137049.45683518
"Hetaerina mendezi"	12367.8245129284
"Idioneura ancilla"	355657.875651863
"Allopodagrion contortum"	796.065885279935
"Oligoclada monosticha"	974533.336821029
"Sympetrum paramo"	468.327634713343
"Progomphus intricatus"	4983987.29956836
"Micrathyria atra"	13228657.3967106
"Nephepeltia phryne"	11254489.5523235
"Epipleoneura lamina"	2482809.64224114
"Telebasis corallina"	9860783.5824551
"Acanthagrion kennedii"	1561177.09550144
"Melanocacus mungo"	398482.086264363
"Perithemis cornelia"	3125825.663575
"Erythrodiplax juliana"	10320049.5387886
"Orthemis biolleyi"	6875641.51483613
"Micrathyria kleerekoperi"	1659.45756836922
"Polythore aurora"	1697393.02047603
"Perithemis rubita"	483401.458829539
"Progomphus pygmaeus"	6287103.58351074
"Phyllogomphoides angularis"	1742677.57269971
"Micrathyria stawiarskii"	2297480.20616005
"Triacanthagyna obscuripennis"	910976.112521133
"Hetaerina curvicauda"	680060.850427615
"Neuraeschna harpya"	3731633.11238433
"Heteragrion erythrogastrum"	323201.728662274
"Progomphus brachycnemis"	354653.735683289
"Perilestes solutus"	2014898.1828958
"Erythrodiplax andagoya"	927837.550670325
"Rhionaeschna diffinis"	540684.70934998
"Oxyagrion impunctatum"	1737290.87241676
"Rhodopygia cardinalis"	7918196.42967501
"Argentagrion silviae"	21225.9709242629
"Metaleptobasis bicornis"	53255.227020407
"Macrothemis lauriana"	3219765.09690548
"Lestes paulistus"	2303046.1720723
"Phyllocycla gladiata"	20653.2747604373
"Zenithoptera viola"	6874188.98058011
"Euthore meridana"	53340.7297957624
"Telebasis racenisi"	756972.144674973
"Leptagrion perlongum"	780981.1700882
"Perilestes kahli"	2469827.71173513
"Philogenia cassandra"	1813141.08529182
"Erythrodiplax fulva"	597906.043948093
"Lestes helix"	922260.664528386
"Erythrodiplax ochracea"	6740417.27929217
"Heteragrion majus"	421974.289552294
"Cora marina"	820378.854709617
"Argyrothemis argentea"	4362035.87116369
"Oxyagrion sulinum"	166168.782128708
"Euthore fastigiata"	86181.3780445608
"Lestes dichrostigma"	8719131.89212794
"Telebasis demararum"	553531.76284952
"Macrothemis hemichlora"	10467585.9873405
"Lestes debellardi"	72083.2628168877
"Antiagrion gayi"	128737.155854134
"Tramea rustica"	7250706.50971862
"Perilestes attenuatus"	1976066.88842003
"Progomphus phyllochromus"	4436141.69154031
"Acanthagrion chacoense"	1803952.5711211
"Neogomphus bidens"	101600.410338463
"Epipleoneura metallica"	808185.52136828
"Micrathyria divergens"	25141.7945443071
"Perithemis parzefalli"	546999.379892815
"Progomphus occidentalis"	10185.2715901682
"Telebasis livida"	116991.495260012
"Phyllogomphoides cepheus"	89022.3678727925
"Gomphomacromia fallax"	1031408.88684321
"Lestes auritus"	241325.841398046
"Fylgia amazonica"	4324590.62986702
"Acanthagrion adustum"	4094761.86783934
"Orthemis nodiplaga"	1609223.63125002
"Neoneura desana"	83812.3524098751
"Phyllogomphoides suspectus"	228662.364864705
"Micrathyria caerulistyla"	1833899.14376593
"Aceratobasis cornicauda"	7907.87502586727
"Argia nigrior"	1193082.04081308
"Phyllocycla sordida"	1699.23965121013
"Phyllocycla viridipleuris"	2547162.28928981
"Heteragrion aurantiacum"	1054041.59693319
"Platystigma buckleyi"	450690.975877907
"Diaphlebia angustipennis"	484348.75250054
"Hetaerina gallardi"	17824.093305173
"Dasythemis mincki"	3556247.10930854
"Neoneura fulvicollis"	4463661.00247998
"Cannaphila vibex"	5420094.03431332
"Epipotoneura nehalennia"	830056.191114293
"Macrothemis flavescens"	3485042.73067873
"Hetaerina sempronia"	197157.969074043
"Protoneura tenuis"	2943336.56946191
"Planiplax erythropyga"	214107.277560858
"Micrathyria artemis"	8918934.69396969
"Acanthagrion truncatum"	2483120.73702566
"Hetaerina majuscula"	40562.7396067708
"Sympetrum evanescens"	729.321409538231
"Diastatops pullata"	13888177.6689387
"Teinopodagrion meridionale"	111483.90485889
"Phyllocycla baria"	22415.690270315
"Phyllogomphoides andromeda"	3947820.45775797
"Diastatops dimidiata"	961794.300717798
"Mnesarete guttifera"	1456725.00655589
"Ischnura fluviatilis"	10170507.9776751
"Epigomphus paludosus"	433527.417390943
"Erythemis carmelita"	1899980.2096269
"Micrathyria spinifera"	9272295.44613425
"Aphylla theodorina"	7324710.67093228
"Aphylla brasiliensis"	1485411.56637859
"Micrathyria spuria"	5005296.62927122
"Antiagrion blanchardi"	32931.0066876913
"Acanthagrion inexpectum"	870599.705506545
"Epipleoneura fuscaenea"	372845.952610096
"Mesoleptobasis incus"	571134.261604355
"Anisagrion inornatum"	308291.052503407
"Palaemnema orientalis"	6389.73838034529
"Argia huanacina"	1561519.89327036
"Perilestes gracillimus"	7062.49780236208
"Aphylla brevipes"	91636.7243353803
"Oxyagrion bruchi"	340565.963511764
"Telebasis garleppi"	41878.0318054354
"Perithemis electra"	5169404.09514947
"Rhionaeschna galapagoensis"	1945.82716331506
"Cyanallagma interruptum"	804142.598326687
"Rhionaeschna planaltica"	10925142.2600585
"Telebasis rubricauda"	2016805.70287883
"Perissolestes cornutus"	367685.849605986
"Oxyagrion miniopsis"	1187647.44614779
"Archaeogomphus hamatus"	2122062.56663511
"Micrathyria pseudhypodidyma"	284224.46680806
"Misagria bimacula"	88830.9366232162
"Erythrodiplax acantha"	1485.21809165982
"Telebasis simulacrum"	1190854.61771387
"Progomphus costalis"	185358.034198096
"Macrothemis brevidens"	302921.48039764
"Phyllocycla pallida"	4446.93604861545
"Tuberculobasis inversa"	2950265.29994017
"Erythrodiplax paraguayensis"	8930804.75677431
"Minagrion mecistogastrum"	105320.166654402
"Staurophlebia bosqi"	2796.29615961446
"Acanthagrion cuyabae"	2644845.47606278
"Erythrodiplax nivea"	209.173480068671
"Macrothemis idalia"	1134672.68286063
"Epipleoneura capilliformis"	1915028.13186847
"Elga newtonsantosi"	1689.49963148984
"Antiagrion grinbergsi"	191362.577586787
"Leptagrion macrurum"	156410.868104743
"Zenithoptera fasciata"	7339355.0855206
"Hetaerina hebe"	2565359.18990342
"Palpopleura albifrons"	1302232.46073398
"Lithosticta macra"	28416.0166140656
"Microgomphus torquatus"	21919.1384602129
"Aciagrion fasciculare"	6665.44480410567
"Calocypha laidlawi"	6512.70644884572
"Rhinocypha seducta"	4178.45397813001
"Onychogomphus kerri"	8061.18852549179
"Macromia vangviengensis"	24990.5597559732
"Vestalis amethystina"	672306.391008511
"Idionyx minima"	17442.7796501733
"Lestes umbrinus"	2774332.13602491
"Euphaea impar"	954209.584725899
"Libellago andamanensis"	1898.43103313538
"Brachydiplax sobrina"	2985021.42161146
"Melligomphus acinaces"	11606.4198183419
"Microgomphus lilliputians"	10713.5443490066
"Agriocnemis minima"	1595923.73018801
"Idionyx travancorensis"	12146.219874468
"Cephalaeschna aritai"	15037.4651678275
"Libellago balus"	1059.0858040756
"Aciagrion tillyardi"	1631754.44517664
"Noguchiphaea yoshikoae"	37729.5518554405
"Gomphidictinus perakensis"	936520.958707324
"Burmagomphus arthuri"	275166.757856995
"Vestalis gracilis"	3441077.55941595
"Microgomphus jurzitzai"	26633.6857576354
"Zyxomma breviventre"	2798.45781248061
"Tetracanthagyna brunnea"	3480.6508344724
"Agriocnemis lacteola"	4613687.96253411
"Coeliccia furcata"	2916.97692525294
"Urothemis abbotti"	53073.478830747
"Megalogomphus superbus"	10298.9651497425
"Ceriagrion azureum"	2934758.56541195
"Vestalaria smaragdina"	3087178.28821671
"Hylaeothemis apicalis"	11548.2536295852
"Anotogaster basalis"	44080.0391625133
"Orientogomphus circularis"	334867.124102941
"Devadatta glaucinota"	1832.26581198762
"Bayadera indica"	10939395.2327005
"Planaeschna tomokunii"	11112.3484940558
"Chloropetalia selysi"	32994.548744927
"Ceriagrion coromandelianum"	15614099.256712
"Idionyx saffronata"	24819.1619686315
"Calicnemia miles"	1527673.20090607
"Macromia erato"	3838.47493378139
"Coeliccia montana"	468505.757267446
"Vestalis apicalis"	3292717.26683149
"Sarasaeschna niisatoi"	20209.4136238287
"Brachygonia oculata"	1966447.33356597
"Cratilla metallica"	6168681.60600184
"Caliphaea confusa"	2634584.34130761
"Macrogomphus borikhanensis"	281788.350878996
"Asiagomphus personatus"	306790.831278388
"Neurobasis chinensis"	16203322.2280083
"Coeliccia uenoi"	10876.8428669275
"Coeliccia nigrescens"	12422.7017441392
"Mortonagrion varralli"	856.866385725878
"Orthetrum glaucum"	11913.2795213108
"Gomphidia kodaguensis"	3197.68084218269
"Indolestes bilineatus"	10199.0116216798
"Protosticta trilobata"	9455.70978299351
"Protosticta khaosoidaoensis"	25756.01507618
"Aciagrion hisopa"	3601539.07414489
"Gynacantha phaeomeria"	85004.1438738271
"Coeliccia didyma"	5445221.80636134
"Calicnemia uenoi"	6242.16789470785
"Chlorogomphus auratus"	20927.7146992048
"Caliphaea thailandica"	41857.0828138185
"Palaeosynthemis alecto"	4.79422333099279
"Nososticta phoenissa"	8480.1643415749
"Paragomphus tachyerges"	10594.0043273268
"Diplacina arsinoe"	988.289445081989
"Nesoxenia lineata"	14458.5052085407
"Protosticta rozendalorum"	535.465103079599
"Procordulia lompobatang"	147.619365589968
"Protosticta gracilis"	120.294682542685
"Macromia irina"	1834.13366504177
"Anax nigrofasciatus"	10778683.3622866
"Davidius davidii"	1677.91121322551
"Ceriagrion auranticum"	4656260.76166428
"Urothemis signata"	14698323.4139985
"Lyriothemis pachygastra"	5234812.33081139
"Zygonyx iris"	3930478.28162408
"Anotogaster gregoryi"	295525.553732874
"Boyeria karubei"	700110.296760343
"Davidius fruhstorferi"	1304937.04917034
"Macromia flavocolorata"	2856780.82881017
"Macromia calliope"	27801.2254458985
"Lyriothemis elegantissima"	1284311.58676644
"Orthetrum triangulare"	17435.2749158375
"Chlorogomphus papilio"	734503.266070597
"Paragomphus capricornis"	3215562.31570973
"Coeliccia cyanomelas"	1073671.52723023
"Gomphidia kelloggi"	6424.65914935062
"Sinictinogomphus clavatus"	1749.18878300093
"Lamelligomphus camelus"	324621.482313163
"Megalestes distans"	1872236.66988335
"Periaeschna flinti"	2551.22625104347
"Euphaea superba"	233583.98467745
"Macromidia rapida"	870371.139912221
"Ceriagrion olivaceum"	3856522.97503077
"Brachydiplax chalybea"	7977323.68783316
"Paracercion melanotum"	4512314.1798669
"Heliogomphus scorpio"	735495.529825304
"Mesopodagrion tibetanum"	1179972.41026763
"Anisopleura qingyuanensis"	410484.732598152
"Philosina alba"	12448.2543599953
"Stylogomphus chunliuae"	538666.675458655
"Vestalaria miao"	294009.325225619
"Prodasineura croconota"	708819.194559127
"Anisopleura furcata"	619833.459218473
"Burmagomphus vermicularis"	744857.497155043
"Macromia katae"	10719.7605778462
"Prodasineura odoneli"	4617.72581876266
"Protosticta himalaica"	10268.4966215762
"Amphiallagma parvum"	3474194.34507868
"Amphithemis vacillans"	28546.6472847768
"Platylestes platystylus"	1149609.7955867
"Calicnemia imitans"	419774.580773642
"Aciagrion occidentale"	3011424.37035656
"Macromia flavovittata"	6400.47310190771
"Sympetrum hypomelas"	2106896.43650812
"Elattoneura campioni"	8820.79769576625
"Bradinopyga geminata"	4209328.75007522
"Davidius aberrans"	7156.16134711823
"Agriocnemis clauseni"	2388407.83705088
"Indothemis limbata"	2583306.6246397
"Megalogomphus smithii"	7175.08410659308
"Pseudagrion hypermelas"	554126.927607569
"Gynacantha odoneli"	4617.72581876266
"Pseudagrion malabaricum"	278977.979759971
"Macrogomphus montanus"	7376.21367300786
"Pseudotramea prateri"	14264.5398998946
"Epophthalmia vittata"	3026469.29558368
"Orthetrum luzonicum"	10715592.0915268
"Phaenandrogomphus aureus"	12474.5369198296
"Megalestes irma"	9327.32525428528
"Lestes viridulus"	1956324.43765152
"Macromia flavicincta"	19998.0114672262
"Lestes dorothea"	1615409.35301356
"Copera marginipes"	6081810.96289426
"Ischnura forcipata"	1607572.77908411
"Ictinogomphus pertinax"	11744.6571780859
"Aciagrion pallidum"	719742.151328204
"Orthetrum japonicum"	7206154.06567925
"Mortonagrion aborense"	2408884.58182572
"Gynacantha biharica"	351.093288471568
"Brachythemis contaminata"	7023843.85758873
"Trithemis pallidinervis"	8384455.30009014
"Anisopleura comes"	853301.897055901
"Ceriagrion fallax"	4879524.52658589
"Orthetrum testaceum"	5310156.559034
"Pseudagrion rubriceps"	3915255.42796413
"Paragomphus lindgreni"	2205.33842735012
"Copera vittata"	5280817.47699616
"Lestes thoracicus"	3284247.66328689
"Macromia pallida"	6295.63703198817
"Libellago lineata"	6261015.59546649
"Trithemis aurora"	10526965.387181
"Dubitogomphus bidentatus"	3528.64934705118
"Megalestes micans"	300545.379470282
"Calicnemia erythromelas"	677300.626465943
"Planaeschna bachmaensis"	3036.40998526781
"Macromia pinratani"	358327.555126377
"Orthetrum chrysis"	7231152.83097088
"Rhipidolestes owadai"	41565.9488003076
"Bayadera melanopteryx"	236738.030972486
"Megalestes haui"	82393.4980091324
"Euphaea masoni"	2812222.47851856
"Ictinogomphus decoratus"	3258373.45163628
"Macrogomphus rivularis"	3610.87503521315
"Davidius trox"	37626.6764875136
"Euphaea guerini"	371795.056025007
"Leptogomphus baolocensis"	22685.8566743287
"Mattigomphus tamdaoensis"	1890.2258011799
"Camacinia gigantea"	4480142.07438427
"Calicnemia eximia"	3486416.86872339
"Ceriagrion malaisei"	372441.016803354
"Dysphaea basitincta"	282251.512527346
"Coeliccia hoanglienensis"	3265.07725594377
"Devadatta ducatrix"	102460.085061409
"Orolestes octomaculatus"	802801.69817529
"Planaeschna viridis"	7629.86935050575
"Orolestes selysi"	1132578.33949755
"Anotogaster flaveola"	14168.0257848025
"Dysphaea gloriosa"	991884.877257912
"Asiagomphus acco"	164652.879967654
"Ceriagrion indochinense"	964780.499202394
"Anaciaeschna martini"	765945.599571737
"Leptogomphus divaricatus"	438987.909574729
"Chlorogomphus sachiyoae"	1890.2258011799
"Chlorogomphus vietnamensis"	8246.37704480925
"Indocnemis orang"	3531239.77617902
"Pseudothemis zonata"	5039.30830386462
"Agriocnemis dabreui"	1120636.5765341
"Prodasineura laidlawii"	836920.24137419
"Planaeschna cucphuongensis"	35178.852622403
"Chlorogomphus miyashitai"	95546.4307808363
"Leptogomphus gestroi"	430776.226333361
"Planaeschna tamdaoensis"	1890.2258011799
"Anotogaster klossi"	7450.64726341374
"Coeliccia onoi"	10476.4526589708
"Epophthalmia vittigera"	4433981.38291912
"Leptogomphus uenoi"	9296.73956390186
"Prodasineura coerulescens"	207514.252536675
"Libellago hyalina"	2064981.45117252
"Macromia berlandi"	164259.419678961
"Pinheyagrion angolicum"	911371.82719281
"Porpax asperipes"	3033822.81668618
"Burmagomphus arboreus"	585708.924110704
"Indocnemis ambigua"	47121.9450341806
"Nesciothemis minor"	1477650.31086913
"Gomphidia confluens"	10797215.8876752
"Neodythemis klingi"	4165452.04596329
"Trithemis anomala"	259084.262630246
"Rhyothemis mariposa"	691556.943294459
"Chlorogomphus gracilis"	4430.36406818926
"Planaeschna celia"	1550.87320776757
"Rhinagrion hainanense"	112533.020942157
"Mnais gregoryi"	158.634365229801
"Sympetrum gracile"	245893.204329414
"Anax panybeus"	1457706.4750931
"Lyriothemis cleis"	3983005.71397141
"Gynacantha bainbriggei"	3912.42198707026
"Somatochlora daviesi"	3341.90577894309
"Protosticta fraseri"	3990.09882349663
"Anax indicus"	3192306.83594138
"Rhipidolestes malaisei"	2299.1328219331
"Macromia cingulata"	39140.7899387736
"Idionyx intricata"	1869.02518186472
"Davidioides martini"	2141.51036557475
"Platygomphus feae"	3043.75869088843
"Cephalaeschna viridifrons"	1001811.49742233
"Paragomphus frontalis"	3043.75869088843
"Nihonogomphus pulcherrimus"	10106.3035545219
"Indolestes gracilis"	23391.3068852515
"Onychogomphus maculivertex"	4107.69968355001
