"species"	"range.size.km2"
"Seddera fastigiata"	318.876987936494
"Cyrtandra bidwillii"	1045.54051066131
"Magnolia pilocarpa"	4749.14514806799
"Heracleum sommieri"	17573.3582843966
"Rumex tunetanus"	8100.93012520779
"Echinopsis stilowiana"	354.364572456059
"Allium dumetorum"	0.642493564493989
"Dypsis aquatilis"	514.685305191066
"Ribes sardoum"	0.290467181950108
"Sorbus austriaca"	395391.349229967
"Grevillea hookeriana"	195201.48573199
"Varronia lima"	80208.7996929871
"Vernonia cockburniana"	1008.59624584602
"Austromuellera valida"	45.0552471204959
"Bonnaya estaminodiosa"	126615.844257006
"Thorella verticillato-inundata"	46534.9369875664
"Silene sessionis"	0.276210738814945
"Lysimachia nummularifolia"	3678.9147776231
"Oxalis dines"	33827.5294149452
"Anthopterus verticillatus"	861.751222180631
"Romulea aquatica"	22597.1771898922
"Festuca dertosensis"	163.461022955733
"Crocus ligusticus"	8988.14076240232
"Nicotiana fatuhivensis"	1034.16240286128
"Eucalyptus raveretiana"	29922.5626226962
"Gagea chabertii"	1246.39610522486
"Sorbus porrigentiformis"	677.602623053485
"Xylomelum cunninghamianum"	166045.925335667
"Eucalyptus woollsiana"	186690.055427753
"Mentha cervina"	569627.745893886
"Rhynchostegiella bourgaeana"	1417.10694700425
"Cleistocactus parviflorus"	19299.2697627164
"Polystachya samilae"	1018.61544565888
"Isopogon axillaris"	20770.4331829611
"Cyperus microumbellatus"	3169.67348843449
"Espeletia occidentalis"	193.660866564181
"Espeletia barclayana"	637.286367733568
"Eureiandra balfourii"	242.982645455962
"Carex divisa"	119277.102056988
"Warneckea cordiformis"	4.97391281325043
"Cyclamen somalense"	9921.59743212617
"Saxifraga florulenta"	1656.66088968099
"Trillium flexipes"	860917.479128023
"Ledebouria grandifolia"	205.122059031503
"Phlomis italica"	1231.22084574374
"Guzmania confinis"	51283.1165531768
"Grevillea quinquenervis"	2091.44692229672
"Stenocarpus reticulatus"	9100.73749887877
"Disocactus speciosus"	548933.820074316
"Persoonia saundersiana"	69947.3215313183
"Eucalyptus litoralis"	51.419955426418
"Psephellus vvedenskii"	38340.307767743
"Eucalyptus smithii"	37550.2852370326
"Puya exigua"	4069.46777365102
"Eleocharis acicularis"	8135165.95122375
"Cupaniopsis globosa"	2032.86890117818
"Persoonia conjuncta"	23615.8877461181
"Protea curvata"	41.7490434215097
"Bryum dixonii"	18966.6520936787
"Greigia kessleri"	9262.61960681158
"Pereskiopsis blakeana"	18114.7122587206
"Neraudia angulata"	886.195363209043
"Utricularia minor"	7280657.26187277
"Melicope paniculata"	1438.43021794465
"Grevillea molyneuxii"	68.7500916354628
"Exacum conglomeratum"	2451.48237522812
"Ribes incarnatum"	22444.2637027411
"Rosa abietina"	19026.6942811234
"Soulamea terminalioides"	172.534661523233
"Lysimachia rapensis"	38.3885267613667
"Glochidion temehaniense"	335.053767042179
"Erysimum caboverdeanum"	49.7393825468049
"Sorbus udvardyana"	94.7122406758373
"Melocactus curvispinus"	300099.864230602
"Myosotis debilis"	284196.30834898
"Tacinga saxatilis"	186948.735686618
"Biermannia arunachalensis"	2.85174080598868
"Macadamia tetraphylla"	5605.44829555379
"Acalypha cupricola"	24288.1285479687
"Brasilicereus markgrafii"	5646.85821939779
