"species"	"range.size.km2"
"Vanzosaura savanicola"	137056.050427058
"Ptyas nigromarginata"	682714.313266123
"Mastigodryas pulchriceps"	118396.311232355
"Anolis purpurescens"	93896.5550352617
"Indotyphlops pammeces"	28335.3473910303
"Cnemaspis barbouri"	2423.21113505517
"Liolaemus sagei"	7654.02586500466
"Anolis adleri"	218.437244862745
"Sitana schleichi"	84.9410036421468
"Ceratophora tennentii"	374.750713882162
"Gekko vietnamensis"	27.3027816524836
"Enyalioides altotambo"	171.528829018477
"Marisora aurulae"	401.800079198381
"Gehyra montium"	245501.518778481
"Anolis macilentus"	130.787506657344
"Furcifer pardalis"	88496.3305607111
"Anolis heterodermus"	68023.0483681562
"Pseudothecadactylus lindneri"	26455.6841002043
"Crotalus totonacus"	108646.703473273
"Varanus spinulosus"	4335.16174924701
"Draco volans"	131591.897203105
"Ctenophorus nguyarna"	3127.548843448
"Apostolepis intermedia"	35760.8898486713
"Monilesaurus acanthocephalus"	38.817473823416
"Neusticurus tatei"	34.1008079033231
"Lycodon travancoricus"	1545673.33870526
"Liolaemus dumerili"	3310.28614982338
"Aipysurus fuscus"	52360.6589509253
"Pantherophis guttatus"	859478.323529153
"Aspidoscelis deppii"	338644.023396861
"Loveridgea phylofiniens"	239.176138279686
"Lankascincus fallax"	66196.8866100025
"Anolis luteosignifer"	41.908992799351
"Hemidactylus laticaudatus"	59400.3689987695
"Ctenotus piankai"	2018479.00757517
"Cyrtodactylus elok"	7645.76154029302
"Hemidactylus bouvieri"	1389.80790112023
"Cnemaspis minang"	9.9911647340236
"Emoia cyanogaster"	88418.9659528066
"Rhadinophanes monticola"	370.924287233807
"Calamaria buchi"	6987.62290738213
"Stenocercus frittsi"	5554.65377404656
"Oligodon arnensis"	2960755.90682884
"Tantilla relicta"	41707.4635535131
"Phrynosoma mcallii"	42222.7348072854
"Anolis argillaceus"	14346.5768047756
"Bitis schneideri"	15276.0307303149
"Hebius concelarus"	188.079233704765
"Cryptactites peringueyi"	137.701986586738
"Sceloporus macdougalli"	8909.24150570318
"Bachia lineata"	196.617903859376
"Lepidophyma pajapanensis"	2377.5939350435
"Lankascincus deignani"	86.3229369396933
"Uroplatus finiavana"	385.592781532048
"Lycodryas citrinus"	6898.99627155556
"Hebius lacrima"	0.0338319445032024
"Dasypeltis latericia"	387902.45991883
"Micrurus ornatissimus"	355111.007464888
"Diploderma laeviventre"	2529.30933556614
"Amalosia lesueurii"	36927.5167509695
"Liopeltis tricolor"	1507005.00747401
"Hemiergis initialis"	364404.938855209
"Pedioplanis huntleyi"	17456.1545817349
"Indotyphlops schmutzi"	13798.3381768506
"Enyalius catenatus"	1336303.91939211
"Agama sankaranica"	1911099.86540588
"Calamaria gracillima"	3719.01193035507
"Agama bibronii"	678720.613076641
"Gonionotophis brussauxi"	2546658.2449522
"Cerberus microlepis"	316.228385898136
"Chionactis palarostris"	58048.022713516
"Philodryas baroni"	620989.263563637
"Bungarus slowinskii"	15382.8791139991
"Nothobachia ablephara"	88551.4484472593
"Phyllodactylus johnwrighti"	1363.48523536514
"Diplolaemus bibronii"	1451.58861167082
"Melanophidium punctatum"	4142.4305832424
"Ctenophorus pictus"	3030554.82435793
"Ameivula venetacauda"	20659.0437334704
"Abronia chiszari"	405.948764771748
"Cylindrophis ruffus"	3063772.68687828
"Tenuidactylus voraginosus"	70129.5185914279
"Oligosoma salmo"	0.0136614771825001
"Acontias wakkerstroomensis"	2743.43223166199
"Madascincus mouroundavae"	138190.305846191
"Tantilla oaxacae"	972.507005518243
"Lampropeltis micropholis"	1005219.1101753
"Candoia paulsoni"	66767.282573151
"Stegonotus guentheri"	2953.10252471429
"Pholidoscelis polops"	69.5488243672314
"Eutropis innotata"	551245.216615921
"Erythrolamprus taeniogaster"	5334585.45611903
"Nephrurus asper"	829387.055002647
"Furcifer minor"	7303.44566468732
"Plestiodon dugesii"	10577.9519258519
"Tiliqua rugosa"	2858850.00119701
"Gyalopion quadrangulare"	147489.09346646
"Cyrtodactylus jeyporensis"	65.0529059684083
"Indotyphlops exiguus"	3362.26040105046
"Hemidactylus eniangii"	25563.0955136268
"Lerista nevinae"	136.748890371497
"Lygodactylus depressus"	938924.90481005
"Liolaemus josei"	55903.0628792986
"Abronia juarezi"	274.916421601046
"Amerotyphlops tasymicris"	0.37989276648248
"Dipsas alternans"	671225.934076732
"Mabuya guadeloupae"	838.974843903584
"Sphaerodactylus bromeliarum"	130.709246378718
"Lamprophis fuscus"	71634.4367720909
"Ficimia ramirezi"	146.732386511181
"Atractus boulengerii"	11.8736702596052
"Liolaemus huayra"	27.6606793110348
"Riama labionis"	271.529646229275
"Pygomeles petteri"	2701.86719932098
"Phyllodactylus angustidigitus"	960.510415577396
"Micrurus annellatus"	1667463.86610388
"Cyclodomorphus michaeli"	19306.7432111061
"Emydoidea blandingii"	863904.288175478
"Oxyrhopus occipitalis"	4084271.41918147
"Anolis oculatus"	754.213131497498
"Eremias lalezharica"	163.250665296529
"Lerista kalumburu"	14051.9218667504
"Trachylepis homalocephala"	226190.490334908
"Cuora trifasciata"	229751.818779533
"Phelsuma sundbergi"	230.248193181513
"Oligosoma alani"	9.04263463824286
"Egernia stokesii"	1233310.26247976
"Tetralepis fruhstorferi"	1884.21758669563
"Crocodilurus amazonicus"	2311546.88295901
"Argyrophis siamensis"	365073.481083571
"Mastigodryas bruesi"	979.957296367437
"Latastia ornata"	399.649337949385
"Apathya cappadocica"	267517.715455867
"Geophis dunni"	60.098529381496
"Lycodon synaptor"	767.898486454231
"Atractus melas"	10090.7543015766
"Sphaerodactylus microlepis"	617.91404717873
"Micrurus nattereri"	212939.416604354
"Scincella potanini"	889253.020955106
"Laudakia pakistanica"	65349.6379183009
"Siderolamprus legnotus"	844.568172620491
"Stenocercus ochoai"	3466.69144006077
"Leiopython huonensis"	9.41248101335868
"Afrotyphlops chirioi"	30366.1421998553
"Dendrelaphis nigroserratus"	7133.55641072977
"Pseudoeryx plicatilis"	7452006.81993691
"Xenosaurus grandis"	7949.61580862667
"Caledoniscincus renevieri"	720.28449267984
"Lycophidion nanum"	39537.6942646246
"Lygodactylus gutturalis"	1810931.65383362
"Perochirus ateles"	2040.44243825005
"Anolis ventrimaculatus"	56916.0719555255
"Pareas formosensis"	35944.7561968314
"Trioceros ntunte"	78.9124501711523
"Emoia jakati"	487609.58706743
"Calamaria banggaiensis"	2667.10575319825
"Urocotyledon weileri"	667.977679310104
"Atractus turikensis"	18.6541086991106
"Indotestudo forstenii"	41722.6837506369
"Ptyas major"	2211428.95060235
"Bavayia geitaina"	50.4936357812663
"Phasmasaurus tillieri"	4071.16915820715
"Arthrosaura hoogmoedi"	33.9806201552631
"Ahaetulla laudankia"	18405.699140104
"Lerista ingrami"	234.65399005003
"Lepidophyma reticulatum"	30396.1477704163
"Chironius spixii"	302943.231797864
"Phyllodactylus delsolari"	3791.9145855132
"Melanoseps pygmaeus"	95.722875824336
"Uropeltis maculata"	8567.98501193273
"Phymaturus bibronii"	25.6409607027054
"Epictia teaguei"	530.304182599965
"Coleonyx gypsicolus"	28.412755305235
"Hebius kerinciensis"	630.302734571548
"Dryophylax ceibae"	16.6743334279944
"Cyrtodactylus wallacei"	29.9888420867621
"Japalura austeniana"	27240.3007337394
"Anolis campbelli"	1976.91675448082
"Chamaeleo anchietae"	337255.556027744
"Xenodon rabdocephalus"	8548358.86021064
"Pseudalsophis steindachneri"	1592.21857749317
"Trimeresurus cardamomensis"	36955.1755379578
"Clelia equatoriana"	123056.635121493
"Dixonius taoi"	17.8460258063361
