"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "Growth" "Life_form" "Life_strategy" "Epiphyte" "Seta_caps" "Peristome" "Rhizoids" "Perm_proto" "Mating_type" "Sporophyte_freq" "Gen_length_y" "Seta_max_len_mm" "Gam_size_mm" "Spore_size_µm" "Veg_propagules" "Vp_max_size_µm" "Vp_gem" "Vp_tub" "Vp_bul" "Vp_lea" "vp_bra" "Vp_freq" "ROCKbet_substr" "WETsb_substr" "DRYsb_substr" "TUFAsb_substr" "CalROCKsb_substr" "CalrWETsb_substr" "CalrDRYsb_substr" "SilROCKsb_substr" "SilrWETsb_substr" "SilrDRYsb_substr" "HUMUSbet_substr" "HUMUSsb_substr" "BARKbet_substr" "BARKsb_substr" "DEADWbet_substr" "DEADWsb_substr" "nWOODYbet_substr" "nWOODYsb_substr" "ANIMALbet_substr" "ANIMALsb_substr" "MUDsb_substr" "SPECIALsb_substr" "EIVbet_Moisture" "EIVsb_Moisture" "EIVbet_pH" "EIVsb_pH" "EIVbet_Nutrients" "EIVbet_Na" "EIVbet_Temp" "EIVsb_Temp" "EIVbet_Light" "EIVsb_Light" "AnnuMeanTemp" "AnnuPrecip" "Elevation_low" "Elevation" "Elevation_up" "MISSING_ALL_TRAITS"
"Abietinella abietina" "Abietinella abietina (Hedw.) M.Fleisch." "SPECIES" "accepted" "Abietinella abietina (Hedw.) M.Fleisch." "Abietinella" "Thuidiaceae" "Bryales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" "ENDANGERED" 1 0 NA NA 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 775522.377734446 "pleurocarpous" "weft" "perennial" 0 "erect" 1 1 0 "dioicous" "rare" 16.7 31 102.5 16.5 0 586.6 0 0 0 0 0 "common" 1 4 349 0 9 5 58 1 0 25 1 10 0 2 0 4 0 1 0 0 0 0 2 2 7 4.32 2 0 0 3 8 4 5.55 709.2 0 1412.5 2825 "NO"
"Acanthocoleus aberrans" "Acanthocoleus aberrans (Lindenb. & Gottsche) Kruijt" "SPECIES" "accepted" "Acanthocoleus aberrans (Lindenb. & Gottsche) Kruijt" "Acanthocoleus" "Lejeuneaceae" "Porellales" "Jungermanniopsida" "Marchantiophyta" "Bryophytes" "EEA" NA "No" NA "EN" "NOT_EVALUATED" 1 0 NA NA 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 21083.5623563994 "foliose" "mat" "shortLived_shuttle" 1 "erect" 0 1 0 "dioicous" "common" 6.7 14.65 48.6532 28 0 534.68 0 0 0 0 0 "common" 1 13.34 123.64 0.52 4.68 16.3 54.2 3.96 10.6 48.92 0 11.74 1 209.06 0 81.8 0 11.8 0 0.12 0 0.72 5.76 3 4.32 2.88 4.08 0.04 5.56 3.16 3.72 1.92 16.25 1099.6 700 1000 1300 "NO"
"Acaulon casasianum" "Acaulon casasianum Brugués & H.A.Crum" "SPECIES" "accepted" "Acaulon casasianum Brugués & H.A.Crum" "Acaulon" "Pottiaceae" "Pottiales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "Yes" NA "NT" "NEAR_THREATENED" 1 0 NA NA 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 4986.7257188162 "acrocarpous" "turf" "annual_shuttle" 0 "erect" 1 1 0 "monoicous" "common" 3.3 7.81 1.25 28 0 554.88 0 0 0 0 0 "common" 0 6.73333333333333 87.2333333333333 0.8 7.82 9.52 32.52 2.88 4.48 11.8 1 2.4 0 37.82 0 11.48 0 0.64 0 0 0.4 0.68 3.84 1.48 6.44 4.36 4 0.32 8 4.44 8.6 3.96 14.05 496.8 100 540 980 "NO"
"Acaulon dertosense" "Acaulon dertosense Casas, Sérgio, Cros & Brugués" "SPECIES" "accepted" "Acaulon dertosense Casas, Sérgio, Cros & Brugués" "Acaulon" "Pottiaceae" "Pottiales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "Yes" NA "EN" "ENDANGERED" 1 0 NA NA 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3572.31887422588 "acrocarpous" "turf" "annual_shuttle" 0 "erect" 1 1 0 "monoicous" "common" 3.3 5.6 1.45 31 0 584.68 0 0 0 0 0 "common" 0 4.64 71.9066666666667 0.2 4.2 4.28 27.42 1.68 1.6 10.12 1 1.76 0 23.36 0 7.68 0 0.52 0 0 0.04 0.48 4.32 1.6 6.68 4.04 4.24 0.08 7.96 4.32 8.08 3.08 17.25 342.8 100 500 900 "NO"
"Acaulon fontiquerianum" "Acaulon fontiquerianum Casas & Sérgio" "SPECIES" "accepted" "Acaulon fontiquerianum Casas & Sérgio" "Acaulon" "Pottiaceae" "Pottiales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "No" NA "NT" NA 1 0 NA NA 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 4839.80520449017 "acrocarpous" "turf" "annual_shuttle" 0 "erect" 1 1 0 "monoicous" "common" 3.3 5.33 1.75 24 0 442.08 0 0 0 0 0 "common" 0 7.76 68.94 6.24 5.16 8.08 31.8 2.52 2.2 8.84 1 2.08 0 12.36 0 4.6 0 0.32 0 0.08 0.28 0.64 3.84 1.4 6.56 4.32 4.2 0.12 8.08 4.52 8.28 4 16.25 469.8 100 550 1000 "NO"
"Acaulon mediterraneum" "Acaulon mediterraneum Limpr." "SPECIES" "accepted" "Acaulon mediterraneum Limpr." "Acaulon" "Pottiaceae" "Pottiales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "No" NA "NT" "CRITICALLY_ENDANGERED" 1 0 NA NA 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2705.44150871194 "acrocarpous" "turf" "annual_shuttle" 0 "erect" 1 1 0 "monoicous" "common" 3.3 3.83 2 30 0 497.6 0 0 0 0 0 "common" 0 4.33333333333333 51.8 0.12 2.46 1.72 10.56 1.32 1.08 4.4 1 1.3 0 9 0 6.28 0 0.24 0 0 0.08 0.52 4.6 2.08 5 3.8 4.44 0 8.36 4.36 7 3.56 15.45 758.4 30 390 750 "NO"
"Acaulon muticum" "Acaulon muticum (Schreb. ex Hedw.) Müll.Hal." "SPECIES" "accepted" "Acaulon muticum (Schreb. ex Hedw.) Müll.Hal." "Acaulon" "Pottiaceae" "Dicranales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "CR" "NT" "ENDANGERED" 1 0 NA NA 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 287277.433519986 "acrocarpous" "annual" "annual_shuttle" 0 "erect" 0 1 0 "monoicous" "common" 3.3 1.02 2 35 0 449.28 0 0 0 0 0 "common" 1 0 19 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 7 3 5 4 4 0 5 3 9 4 8.65 674.3 0 700 1400 "NO"
"Acaulon piligerum" "Acaulon piligerum (De Not.) Limpr." "SPECIES" "accepted" "Acaulon piligerum (De Not.) Limpr." "Acaulon" "Pottiaceae" "Pottiales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "Yes" NA "DD" "DATA_DEFICIENT" 1 0 NA NA 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1151.32447301545 "acrocarpous" "turf" "annual_shuttle" 0 "erect" 1 1 0 "monoicous" "common" 3.3 7.864 6.9196 30.65 0 486.68 0 0 0 0 0 "common" 0 8.52 80.82 0.72 6.4 6.74666666666667 29.36 4.9 2.12 13.28 1 2.96 0 12.68 0 6.56 0 0.4 0 0 0.12 0.8 3 1.6 7 4.36 4.36 0.84 9 4.56 9 3.88 13.75 694.7 0 0 0 "NO"
"Acaulon triquetrum" "Acaulon triquetrum (Spruce) Müll.Hal." "SPECIES" "accepted" "Acaulon triquetrum (Spruce) Müll.Hal." "Acaulon" "Pottiaceae" "Dicranales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "EN" "LC" NA 1 0 NA NA 1 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 25254.9122899474 "acrocarpous" "turf" "annual_shuttle" 0 "erect" 1 1 0 "monoicous" "common" 3.3 3.38 1.5 30 0 499.2 0 0 0 0 0 "common" 0 0 5 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 3 1 6 4 4 0 7 5 9 5 12.95 627.3 0 900 1800 "NO"
"Achrophyllum dentatum" "Achrophyllum dentatum (Hook.f. & Wilson) Vitt & Crosby" "SPECIES" "accepted" "Achrophyllum dentatum (Hook.f. & Wilson) Vitt & Crosby" "Achrophyllum" "Daltoniaceae" "Hookeriales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "No" NA NA NA 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25329.3737638224 "pleurocarpous" "mat" "perennial" 0 "inclined" 1 1 0 "dioicous" "rare" 16.7 20 35 15 0 495.6 0 0 0 0 0 "common" 1 2.76 34.32 0.2 2.42 9.28 21.48 0.88 4 9.6 0 2.78 0 8.32 0 8.26 0 0.04 0 0.04 0 0.2 5.2 2.84 6 3.68 4.24 0 6.52 3.88 2 2.32 11.3 976.45 50 50 50 "NO"
