"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "Longevity_y" "Diet_Carniv" "Diet_Leaf" "Diet_Woody" "Diet_Parasit" "Diet_Other" "Diet_Gra" "Diet_Gat" "Diet_Aff" "Diet_Pff" "Temp_pref" "Drought" "pH_pref" "Respir_teg" "Respir_gil" "Respir_pls" "Respir_spi" "Respir_ves" "Respir_tap" "Respir_sur" "Elev_Planar" "Elev_Colline" "Elev_Montane" "Elev_Subalpine" "Elev_Alpine" "Elev_Nival" "Reproductive_mode" "Development" "Aqu_stage_egg" "Aqu_stage_lar" "Aqu_stage_nym" "Aqu_stage_pup" "Aqu_stage_adu" "Transport_sws" "Transport_swd" "Transport_bub" "Transport_spw" "Transport_ses" "Transport_oth" "Stream_pref_euc" "Stream_pref_hyc" "Stream_pref_erh" "Stream_pref_mrh" "Stream_pref_hrh" "Stream_pref_epo" "Stream_pref_mpo" "Stream_pref_hpo" "Stream_pref_lit" "Stream_pref_pro" "Rhithral_pref" "Potamal_pref" "Flow_habitat" "Substrate_arg" "Substrate_pel" "Substrate_psa" "Substrate_aka" "Substrate_mil" "Substrate_mal" "Substrate_hpe" "Substrate_alg" "Substrate_mph" "Substrate_pom" "Substrate_woo" "Substrate_mad" "Substrate_oth" "Salt_pref_salfr" "Salt_pref_salol" "Salt_pref_salme" "Salt_pref_salpo" "Salt_pref_saleu" "Geo_range" "MISSING_ALL_TRAITS"
"Acentrella almohades" "Acentrella almohades Alba-Tercedor & El-Alami, 1999" "SPECIES" "accepted" "Acentrella almohades Alba-Tercedor & El-Alami, 1999" "Acentrella" "Baetidae" "Ephemeroptera" "Insecta" "Arthropoda" "EPT" "FaunaEuropeae" NA NA NA NA NA 1 1 0 NA 1 1 0 NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 4468.05821786083 "<=1" 0 0 0 0 0 1 1 0 0 "mixed" "egg_resist" "neutral_to_alka" 1 1 0 0 0 0 0 1 1 1 1 0 0 "frc" "hemimetabolic" 2.56 0.52 6.52 0 0 0 2.44 0.6 6.32 0 0.04 0.16 1.16 1.96 3 2.16 0.84 0.28 0 0.2 0 3.76 1.56 "rheo_to_limnophil" 0.08 0.12 0.56 0.4 2.88 2.24 0 0.12 2.68 0.24 0.16 0.12 0 10 0 0 0 0 "very_wide" "YES"
"Acentrella hyaloptera" "Acentrella hyaloptera (Bogoescu, 1951)" "SPECIES" "accepted" "Acentrella hyaloptera (Bogoescu, 1951)" "Acentrella" "Baetidae" "Ephemeroptera" "Insecta" "Arthropoda" "EPT" "FaunaEuropeae" NA NA NA NA NA 1 1 0 NA 1 1 0 NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 4839.1738754036 "<=1" 0 0 0 0 0 1 1 0 0 "mixed" "egg_resist" "neutral_to_alka" 1 1 0 0 0 0 0 1 1 1 1 0 0 "frc" "hemimetabolic" 2.52 0.24 6.68 0 0 0 3.32 0.2 5.56 0 0.08 0.4 0.72 1.56 2.92 2.28 0.88 0.32 0 0.24 0 3.88 1.72 "rheo_to_limnophil" 0 0.16 0.44 0.48 2.76 2.04 0 0.2 2.68 0.32 0.08 0.08 0 10 0 0 0 0 "very_wide" "YES"
"Acentrella inexpectata" "Acentrella inexpectata (Tshernova, 1928)" "SPECIES" "accepted" "Acentrella inexpectata (Tshernova, 1928)" "Acentrella" "Baetidae" "Ephemeroptera" "Insecta" "Arthropoda" "EPT" "FaunaEuropeae" NA NA NA NA "NOT_EVALUATED" 1 1 0 NA 1 1 0 NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 5970.26785724391 "<=1" 0 0 0 0 0 1 1 0 0 "mixed" "egg_resist" "neutral_to_alka" 1 1 0 0 0 0 0 1 1 1 0 0 0 "frc" "hemimetabolic" 2.84 0.96 5.88 0 0 0 2.32 0.16 6.56 0 0.2 0.52 0.92 2.36 2.96 2.28 0.56 0.08 0 0.32 0.04 4.16 1.48 "rheophil" 0 0.04 0.32 0.44 3.48 3.2 0 0.08 1.64 0.44 0.08 0 0 10 0 0 0 0 "wide" "YES"
"Acentrella lapponica" "Acentrella lapponica Bengtsson, 1912" "SPECIES" "accepted" "Acentrella lapponica Bengtsson, 1912" "Acentrella" "Baetidae" "Ephemeroptera" "Insecta" "Arthropoda" "EPT" "FaunaEuropeae" NA NA NA NA "LEAST_CONCERN" 1 1 0 NA 1 1 0 NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 7483.30008102425 "<=1" 0 0 0 0 0 1 1 0 0 "mixed" "egg_resist" "neutral_to_alka" 1 1 0 0 0 0 0 1 1 1 1 0 0 "frc" "hemimetabolic" 2.44 0.84 6.04 0 0 0 2.6 0.4 5.84 0 0 0.6 1.36 2.16 2.6 1.96 0.64 0.32 0 0.52 0 3.52 1.52 "rheo_to_limnophil" 0.12 0.16 0.52 0.4 2.24 1.8 0.08 0.2 3.08 0.24 0 0.08 0 9.96 0 0 0 0 "very_wide" "YES"
"Acentrella sinaica" "Acentrella sinaica Bogoescu, 1931" "SPECIES" "accepted" "Acentrella sinaica Bogoescu, 1931" "Acentrella" "Baetidae" "Ephemeroptera" "Insecta" "Arthropoda" "EPT" "SPEED2ZERO" "INN" NA "CR" NA NA 1 1 0 NA 1 1 0 NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 5228.03654215836 "<=1" 0 0 0 0 0 1 1 0 0 "mixed" "egg_resist" "neutral_to_alka" 1 1 0 0 0 0 0 1 1 1 1 0 0 "fic" "hemimetabolic" 2.8 0.04 6.64 0 0 0 2 0 8 0 0 0 0 3 4 2 1 0 0 0 0 5 2 "rheophil" 0 0 0 0 4 5 0 0 1 0 0 0 0 10 0 0 0 0 "wide" "NO"
"Acrophylax czarnohoricus" "Acrophylax czarnohoricus Dziedzielewicz, 1911" "SPECIES" "homotypic synonym" "Chionophylax czarnohoricus (Dziedzielewicz, 1911)" "Chionophylax" "Limnephilidae" "Trichoptera" "Insecta" "Arthropoda" "EPT" "FaunaEuropeae" NA NA NA NA NA 1 1 0 NA 1 1 0 NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 5299.02457900628 "<=1" 1 0 0 0 0 1 0 0 0 "warm" "no_resist" "no_pref" 1 1 0 0 0 0 0 1 1 1 0 0 0 "fic" "holometabolic" 1 8 0 1.04 0 0 0 0 6.76 3.24 0 0.36 1 0.8 0.52 1.12 2.24 1.04 0 1.72 0 2.32 2.32 "rheophil" 0 0.16 0.04 0.08 1.4 2.6 0 0.04 1.08 0.96 1.96 0 0 8.04 1.96 0 0 0 "very_wide" "YES"
"Acrophylax uncatus" "Acrophylax uncatus Murgoci & Botosaneanu, 1952" "SPECIES" "heterotypic synonym" "Chionophylax mindszentyi Schmid, 1951" "Chionophylax" "Limnephilidae" "Trichoptera" "Insecta" "Arthropoda" "EPT" "FaunaEuropeae" NA NA NA NA NA 1 1 0 NA 1 1 0 NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 6412.37155163461 "<=1" 1 0 0 0 0 1 0 0 0 "warm" "no_resist" "no_pref" 1 1 0 0 0 0 0 1 1 1 0 0 0 "fic" "holometabolic" 1.08 7.88 0 1 0 0 0 0 6.8 3.12 0 0.12 0.44 0.44 0.84 1.6 2.76 1.28 0 1.68 0 2.36 2.68 "rheophil" 0 0.36 0 0.04 1.6 2.76 0 0 0.96 0.32 2.04 0 0 7.72 2.28 0 0 0 "moderate" "YES"
"Acrophylax vernalis" "Acrophylax vernalis Dziedzielewicz, 1912" "SPECIES" "accepted" "Acrophylax vernalis Dziedzielewicz, 1912" "Acrophylax" "Limnephilidae" "Trichoptera" "Insecta" "Arthropoda" "EPT" "FaunaEuropeae" NA NA NA NA NA 1 1 0 NA 1 1 0 NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 6394.62454242263 "<=1" 0 1 0 0 0 1 0 0 0 "cold" "no_resist" "neutral_to_alka" 1 1 0 0 0 0 0 1 1 1 1 0 0 "vec" "holometabolic" 1.16 7.76 0 1.04 0 0 0 0 7 3 0 3.76 3.36 0.48 1 0.76 0.16 0 0 1.04 0 1.96 1.12 "rheo_to_limnophil" 0 0.08 0 0 1.2 0.96 0 0.08 4.96 1.48 1.72 0.12 0 7.6 2.36 0 0 0 "small" "YES"
"Acrophylax zerberus" "Acrophylax zerberus Brauer, 1867" "SPECIES" "accepted" "Acrophylax zerberus Brauer, 1867" "Acrophylax" "Limnephilidae" "Trichoptera" "Insecta" "Arthropoda" "EPT" "SPEED2ZERO" "INN" NA "VU" NA NA 1 1 0 NA 0 1 0 NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 4927.90892146351 "<=1" 0 1 0 0 0 1 0 0 0 "cold" "no_resist" "neutral_to_alka" 1 1 0 0 0 0 0 1 1 1 1 0 0 "vec" "holometabolic" 1.08 7.92 0 1 0 0 0 0 7.16 2.96 0 4.2 3.76 0.52 0.56 0.68 0.36 0.08 0 0.6 0 1.84 1.2 "rheo_to_limnophil" 0 0.08 0 0.16 0.84 0.92 0 0.08 5.32 1.48 1.68 0.04 0 7.72 2.32 0 0 0 "small" "NO"
"Adicella altandroconia" "Adicella altandroconia Botosaneanu & Novak, 1965" "SPECIES" "accepted" "Adicella altandroconia Botosaneanu & Novak, 1965" "Adicella" "Leptoceridae" "Trichoptera" "Insecta" "Arthropoda" "EPT" "FaunaEuropeae" NA NA NA NA NA 1 1 0 NA 1 1 0 NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 7154.60286672016 "<=1" 0 1 0 0 0 1 0 0 0 "cold" "no_resist" "neutral_to_alka" 1 1 0 0 0 0 0 1 1 1 1 0 0 "vec" "holometabolic" 1.04 7.96 0 1 0 0 0 0 7.44 2.96 0 3.96 3.72 0.24 0.72 0.96 0.36 0.04 0 0.24 0 1.88 1.2 "rheo_to_limnophil" 0 0 0 0.08 0.84 0.96 0 0.08 5.48 0.32 1.92 0 0 7.48 2.52 0 0 0 "small" "YES"
