"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "THALLUS_type1" "THALLUS_type2" "THALLUS_type3" "THALLUS_type4" "THA_Morpho_type1" "THA_Morpho_type2" "THA_Morpho_type3" "THA_Morpho_type4" "THA_Morpho_type5" "THA_Morpho_type6" "THA_Morpho_type7" "THA_Morpho_type8" "THA_Morpho_type9" "THA_Morpho_type10" "THA_Morpho_type11" "THA_Morpho_type12" "THA_Morpho_type13" "THA_Morpho_type14" "THA_Growth1" "THA_Growth2" "THA_Growth3" "THA_Growth4" "THA_Growth5" "THA_Growth6" "THA_Growth7" "THA_Growth8" "THA_Growth9" "THA_Growth10" "THA_Growth11" "THA_Growth12" "THA_Pruinosity" "THA_Cilia" "THA_UpCol_black" "THA_UpCol_brown" "THA_UpCol_white" "THA_UpCol_yellow" "THA_UpCol_grey" "THA_UpCol_red" "THA_UpCol_green" "THA_UpCol_blue" "THA_LowCol_black" "THA_LowCol_brown" "THA_LowCol_white" "THA_LowCol_yellow" "THA_LowCol_grey" "THA_LowCol_red" "THA_LowCol_green" "THA_LowCol_blue" "THA_Rhizines" "THA_Rhizines_type1" "THA_Rhizines_type2" "THA_Rhizines_type3" "THA_Rhizines_type4" "THA_Rhizines_type5" "THA_Rhizines_type6" "THA_Rhizines_type7" "THA_Isidia" "THA_Soredia" "Ascomata" "ASCOMA_type1" "ASCOMA_type2" "ASCOMA_type3" "ASCM_link1" "ASCM_link2" "ASCM_link3" "ASCM_link4" "ASCM_link5" "ASCM_Paraphyses" "ASCOPORES_mean" "ASCP_PigmentCol1" "ASCP_PigmentCol2" "ASCP_PigmentCol3" "ASCP_PigmentCol4" "ASCP_PigmentCol5" "ASCP_PigmentCol6" "ASCP_PigmentCol7" "ASCP_PigmentCol8" "ASCP_PigmentCol9" "ASCP_PigmentCol10" "ASCP_PigmentCol11" "ASCP_PigmentCol12" "ASCP_Septa" "ASCP_Septa_type1" "ASCP_Septa_type2" "ASCP_TransSepta_lower" "ASCP_TransSepta_mean" "ASCP_TransSepta_upper" "ASCP_Perispore_type1" "ASCP_Perispore_type2" "ASCP_Perispore_type3" "ASCP_Perispore_type4" "ASCP_Perispore_type5" "PPhotobiont" "SPhotobiont" "PPhotobiont_type1" "PPhotobiont_type2" "PPhotobiont_type3" "Life_type1" "Life_type2" "Life_type3" "Life_type4" "Life_type5" "Substrate" "Substrate_type1" "Substrate_type2" "Substrate_type3" "Substrate_type4" "Substrate_type5" "Substrate_type6" "Substrate_type7" "Substrate_type8" "Substrate_type9" "EIV_Light" "EIV_Temp" "EIV_Moisture" "EIV_pH" "EIV_Eutroph" "CH_status" "MISSING_ALL_TRAITS"
"Absconditella annexa" "Absconditella annexa (Arnold) Vĕzda" "SPECIES" "accepted" "Absconditella annexa (Arnold) Vĕzda" "Absconditella" "Stictidaceae" "Ostropales" "Lecanoromycetes" "Ascomycota" "Lichens" "InfoSpecies" NA NA NA NA "NOT_EVALUATED" 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 NA 12121416.4698448 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "epruinose" "absent" 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 "absent" 1 0 0 0 0 0 0 "absent" "present" "absent, present" 1 0 0 1 1 0 0 0 "present" 8 1 0 0 0 0 0 0 0 0 0 0 0 "present" 1 0 7 2.76 5 1 0 0 0 0 "present" "absent" 0 1 0 0 0 0 1 0 "E" 0 1 0 0 0 1 0 0 0 0.635555555555556 0.382222222222222 0.733333333333334 0.311111111111111 0.14 "DD" "NO"
"Absconditella delutula" "Absconditella delutula (Nyl.) Coppins & H.Kilias" "SPECIES" "accepted" "Absconditella delutula (Nyl.) Coppins & H.Kilias" "Absconditella" "Stictidaceae" "Ostropales" "Lecanoromycetes" "Ascomycota" "Lichens" "InfoSpecies" NA NA NA NA "VULNERABLE" 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 NA 13193836.4572939 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 "epruinose" "absent" 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 "absent" 1 0 0 0 0 0 0 "absent" "present" "absent, present" 1 0 0 0 0 1 0 0 "present" 8 1 0 0 0 0 0 0 0 0 0 0 0 "present" 1 0 6.44 1 3.4 1 0 0 0 0 "present" "absent" 0 1 0 0 0 0 1 0 "G" 0 0 0 0 0 1 1 0 0 0.613333333333334 0.6 0.68 0.56 0.25 "NE" "NO"
"Absconditella lignicola" "Absconditella lignicola Vĕzda & Pišút" "SPECIES" "accepted" "Absconditella lignicola Vĕzda & Pišút" "Absconditella" "Stictidaceae" "Ostropales" "Lecanoromycetes" "Ascomycota" "Lichens" "InfoSpecies" NA NA NA NA "LEAST_CONCERN" 1 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 NA 9043482.98550839 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 "epruinose" "absent" 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 "absent" 1 0 0 0 0 0 0 "absent" "present" "absent, present" 1 0 0 0 1 1 0 0 "present" 8 1 0 0 0 0 0 0 0 0 0 0 0 "present" 1 0 7.72 3 3.68 1 0 0 0 0 "present" "absent" 0 1 0 0 0 1 1 0 "R" 0 1 1 1 1 1 0 0 0 0.391111111111111 0.36 0.497777777777778 0.351111111111111 0.2 "LC" "NO"
"Absconditella pauxilla" "Absconditella pauxilla Vĕzda & Vivant" "SPECIES" "accepted" "Absconditella pauxilla Vĕzda & Vivant" "Absconditella" "Stictidaceae" "Ostropales" "Lecanoromycetes" "Ascomycota" "Lichens" "InfoSpecies" NA NA NA NA "NOT_EVALUATED" 1 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 NA 11587864.24273 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 "epruinose" "absent" 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 "absent" 1 0 0 0 0 0 0 "absent" "present" "absent, present" 1 0 0 0 1 1 0 0 "present" 8 1 0 0 0 0 0 0 0 0 0 0 0 "present" 1 0 8.88 3 5.32 1 0 0 0 0 "present" "absent" 0 1 0 0 0 0 1 0 "R" 0 1 0 0 1 1 0 0 0 0.497777777777778 0.52 0.573333333333333 0.36 0.21 "LC" "NO"
"Absconditella sphagnorum" "Absconditella sphagnorum Vĕzda & Poelt" "SPECIES" "accepted" "Absconditella sphagnorum Vĕzda & Poelt" "Absconditella" "Stictidaceae" "Ostropales" "Lecanoromycetes" "Ascomycota" "Lichens" "InfoSpecies" NA NA NA NA "LEAST_CONCERN" 1 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 NA 12004501.2013961 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 "epruinose" "absent" 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 "absent" 1 0 0 0 0 0 0 "absent" "absent" "absent, present" 1 0 0 0 0 1 0 0 "present" 8 1 0 0 0 0 0 0 0 0 0 0 0 "present" 1 0 5.52 1 2.92 1 0 0 0 0 "present" "absent, present" 0 1 0 0 0 0 1 0 "R" 0 1 0 0 1 0 0 0 0 0.466666666666667 0.364444444444444 0.6 0.395555555555555 0.215 "VU" "NO"
"Absconditella trivialis" "Absconditella trivialis (Willey ex Tuck.) Vĕzda" "SPECIES" "accepted" "Absconditella trivialis (Willey ex Tuck.) Vĕzda" "Absconditella" "Stictidaceae" "Ostropales" "Lecanoromycetes" "Ascomycota" "Lichens" "InfoSpecies" NA NA NA NA "NOT_EVALUATED" 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 NA 10640300.590445 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 "epruinose" "absent" 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 "absent" 1 0 0 0 0 0 0 "absent" "absent" "absent, present" 1 0 0 0 0 1 0 0 "present" 8 1 0 0 0 0 0 0 0 0 0 0 0 "present" 1 0 10.2 3 6.68 1 0 0 0 0 "present" "absent, present" 0 1 0 0 0 0 1 0 "G" 0 1 0 0 0 1 1 1 0 0.604444444444445 0.386666666666666 0.644444444444445 0.368888888888889 0.19 "NE" "NO"
"Acarospora admissa" "Acarospora admissa (Nyl.) Kullh." "SPECIES" "accepted" "Acarospora admissa (Nyl.) Kullh." "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "Lichens" "InfoSpecies" NA NA NA NA "NOT_EVALUATED" 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 NA 11443286.697727 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 "epruinose" "absent" 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "absent" 1 0 0 0 0 0 0 "absent" "absent, present" "absent, present" 1 0 0 1 0 0 0 0 "present" 86.88 1 0 0 0 0 0 0 0 0 0 0 0 "absent" 1 0 10.12 2.76 5.76 1 0 0 0 0 "present" "absent" 0 1 0 0 0 0 1 0 "G" 0 0 0 0 0 0 0 0 0 0.693333333333334 0.742222222222222 0.84 0.564444444444444 0.41 "NE" "YES"
"Acarospora adscendens" "Acarospora adscendens Cl.Roux & Poumarat" "SPECIES" "accepted" "Acarospora adscendens Cl.Roux & Poumarat" "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "Lichens" "InfoSpecies" NA NA NA NA NA 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 NA 11190948.4939027 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 "epruinose" "absent" 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "present" 1 0 0 0 0 0 0 "absent" "absent, present" "absent, present" 1 0 0 0 0 0 0 0 "present" 85.76 1 0 0 0 0 0 0 0 0 0 0 0 "absent" 1 0 10.16 2.88 5.8 1 0 0 0 0 "present" "absent" 0 1 0 0 0 0 1 0 "G" 0 0 0 0 0 0 0 0 0 0.711111111111111 0.782222222222222 0.791111111111111 0.555555555555555 0.44 "NE" "YES"
"Acarospora albomarginata" "Acarospora albomarginata (Herre) Salisb." "SPECIES" "accepted" "Acarospora albomarginata (Herre) Salisb." "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "Lichens" "InfoSpecies" NA NA NA NA NA 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 8066388.79622286 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 "epruinose" "absent" 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 "absent" 1 0 0 0 0 0 0 "absent" "absent, present" "absent, present" 1 0 0 0 0 1 0 0 "present" 103.2 1 0 0 0 0 0 0 0 0 0 0 0 "absent" 1 0 12.96 2.6 6.52 1 0 0 0 0 "present" "absent" 0 1 0 0 0 0 1 0 "G" 0 0 0 0 0 0 0 0 0 0.693333333333334 0.742222222222222 0.822222222222222 0.56 0.38 "NE" "YES"
"Acarospora anomala" "Acarospora anomala H.Magn." "SPECIES" "accepted" "Acarospora anomala H.Magn." "Acarospora" "Acarosporaceae" "Acarosporales" "Lecanoromycetes" "Ascomycota" "Lichens" "InfoSpecies" NA NA NA NA "ENDANGERED" 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 14694673.5465325 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 "epruinose" "absent" 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 "present" 1 0 0 0 0 0 0 "absent" "absent, present" "absent, present" 1 0 0 0 0 0 0 0 "present" 106.72 1 0 0 0 0 0 0 0 0 0 0 0 "absent" 1 0 9.48 2.64 6.04 1 0 0 0 0 "present" "absent" 0 1 0 0 0 0 1 0 "G" 0 0 0 0 0 0 0 0 0 0.662222222222222 0.662222222222222 0.777777777777778 0.488888888888889 0.375 "NE" "YES"
