"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "BodyLength_mm" "BodyLength_male" "BodyLength_female" "BodyLength_min" "BodyLength_max" "Litter_size" "Development_total_d" "Development_egg_mean_d" "Development_larva_mean_d" "Development_pupa_mean_d" "Longevity_y" "Semivoltine" "Univoltine" "Bivoltine" "Multivoltine" "Overwintering_egg" "Overwintering_larva" "Overwintering_pupa" "Overwintering_imago" "Activity" "Larva_Diet" "Imago_Diet" "Larva_Diet_range" "Imago_Diet_range" "Diet_Carniv" "Diet_Scav" "Diet_Fungi" "Diet_Root" "Diet_Seed" "Diet_Leaf" "Diet_Flower" "Diet_Stem" "Diet_Grass" "Diet_Woody" "EIV_Light" "EIV_Temp" "EIV_Moisture" "Elev_Planar" "Elev_Colline" "Elev_Montane" "Elev_Subalpine" "Elev_Alpine" "Dispersal_ability" "Dispersal_km" "Riparian_sp" "Habitat_ephemeral" "Habitat_lakes" "Habitat_ponds" "Habitat_rivers" "Habitat_streams" "Forewing_length_mm" "Hindwing_length_mm" "Sex_dimporh" "Territoriality" "Flight_mode_flier" "Flight_mode_percher" "BodyCol_black" "BodyCol_blue" "BodyCol_brown" "BodyCol_gray" "BodyCol_green" "BodyCol_orange" "BodyCol_pink" "BodyCol_red" "BodyCol_violet" "BodyCol_white" "BodyCol_yellow" "BodyColType_pigment" "BodyColType_pruinesc" "BodyColType_structur" "BodyPatterns_plain" "BodyPatterns_spotted" "BodyPatterns_striped" "Wing_Pigment" "WP_pattern" "WP_symmetry" "WP_dimorph" "WPColor_cover" "WPCol_amber" "WPCol_black" "WPCol_blue" "WPCol_brown" "WPCol_iredesc" "WPCol_orange" "WPCol_prunesc" "WPCol_red" "WPCol_yellow" "Larva_BodyLength_mm" "Larva_BodyLength_min" "Larva_BodyLength_max" "Larva_Habitat_stillwaters" "Larva_Habitat_watercourses" "Larva_Habitat_moors" "Larva_EIV_Drought" "Larva_Biotope_range" "MISSING_ALL_TRAITS"
"Aeschna arctica" "Aeschna arctica Zetterstedt, 1840" "SPECIES" "homotypic synonym" "Somatochlora arctica (Zetterstedt, 1840)" "Somatochlora" "Corduliidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "VU" "LC" "CRITICALLY_ENDANGERED" 1 1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 2035086.55283428 48 NA NA 45 51 578 900 NA NA NA 0.134904109589041 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.166666666666667 NA 0 0 1 1 0 0.343642611683849 NA 0 0 0 0 0 0 NA 31.5 "weak" "territorial" 1 0 1 0 0 0 1 0 0 0 0 0 1 1 0 1 1 1 0 "Yes" "stripes" "hindwing" "not" 0.02 0 0 0 0 0 0 0 0 0 18.5 17 20 0 1 1 1 "oligotop" "NO"
"Aeschna charpentieri" "Aeschna charpentieri Kolenati, 1846" "SPECIES" "homotypic synonym" "Cordulegaster charpentieri (Kolenati, 1846)" "Cordulegaster" "Cordulegastridae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA NA NA NA NA 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 1034543.37914766 65.84 NA NA 59.04 67.76 576.68 1202.4 NA NA NA 0.131506849315068 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.585 NA 0 1 1 0 0 0.459106529209622 NA 2.12 0 0 0 0 1 NA 39.48 "weak" "territorial" 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 "no" "stripes" "hindwing" "strongly" 0.2096 0 1 0 0 0 0 0 0 1 35.46 31.92 39.28 0 1 0 0.08 "stenotop" "YES"
"Aeschna ephippiger" "Aeschna ephippiger Burmeister, 1839" "SPECIES" "homotypic synonym" "Anax ephippiger (Burmeister, 1839)" "Anax" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INM" "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 45416317.9594805 65.5 NA NA 61 70 609.68 724.2 NA NA NA 0.17413698630137 1 1 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.583333333333333 NA 0 1 0 0 0 0.79573883161512 NA 2 0 0 1 0 0 NA 44.5 "weak" "territorial" 1 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 1 1 "No" "stripes" "hindwing" "not" 0.2748 0 1 0 0 0 0 0 0 1 43 42 44 1 0 0 1 "oligotop" "NO"
"Aeschna flavipes" "Aeschna flavipes Charpentier, 1825" "SPECIES" "homotypic synonym" "Stylurus flavipes (Charpentier, 1825)" "Stylurus" "Gomphidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" "INN" "No" "DD" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 2905749.81011544 52.75 NA NA 50 55 511.5 1080 NA NA NA 0.154958904109589 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.68 NA 1 1 0 0 0 0.532646048109966 NA 3 0 0 0 1 0 NA 33 "strong" "territorial" 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 "No" "stripes" "hindwing" "strongly" 0.166 0 1 0 0 0 0 0 0 0 33 31 35 0 1 0 0 "stenotop" "NO"
"Aeschna microstigma" "Aeschna microstigma Schneider, 1845" "SPECIES" "homotypic synonym" "Caliaeschna microstigma (Schneider, 1845)" "Caliaeschna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "No" NA "NT" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 8944716.97905502 64.17 NA NA 59.24 67.52 618.68 964.8 NA NA NA 0.145643835616438 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.626666666666667 NA 0 1 1 0 0 0.51340206185567 NA 1.96 0 1 0 0 0 NA 41.94 "strong" "territorial" 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 "no" "stripes" "hindwing" "not" 0.2784 0 1 0 0 0 0 0 0 1 37.96 35.4 41.4 1 1 1 0.12 "oligotop" "YES"
"Aeschna uncatus" "Aeschna uncatus Charpentier, 1840" "SPECIES" "homotypic synonym" "Onychogomphus uncatus (Charpentier, 1840)" "Onychogomphus" "Gomphidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "FaunaEuropeae" NA "No" "RE" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 570683.906086045 51.5 NA NA 50 53 530.18 1080 NA NA NA 0.132493150684932 1 0 0 0 0 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.666666666666667 NA 0 1 1 0 0 0.458144329896907 NA 3 0 0 0 1 1 NA 31 "weak" "territorial" 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 "No" "stripes" "hindwing" "strongly" 0.19 0 1 0 0 0 0 0 0 0 24 22 26 0 1 0 1 "stenotop" "NO"
"Aeshna affinis" "Aeshna affinis Vander Linden, 1820" "SPECIES" "accepted" "Aeshna affinis Vander Linden, 1820" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 30311691.8253228 61.5 NA NA 57 66 698.84 360 NA NA NA 0.134356164383561 0 1 0 0 1 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.666666666666667 NA 0 1 0 0 0 0.924398625429553 NA 2 1 0 1 0 0 NA 39.5 "strong" "territorial" 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 "no" "stripes" "hindwing" "not" 0.2556 0 1 0 0 0 0 0 0 1 33 29 37 1 0 1 2 "oligotop" "NO"
"Aeshna caerulea" "Aeshna caerulea (Ström, 1783)" "SPECIES" "accepted" "Aeshna caerulea (Ström, 1783)" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "VU" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 1392547.58172014 59 NA NA 54 64 701.52 1015.2 NA NA NA 0.133041095890411 1 0 0 0 1 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0 NA 0 0 1 1 1 0.439725085910653 NA 1 0 0 0 0 0 NA 39 "strong" "territorial" 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 "no" "stripes" "hindwing" "not" 0.2532 0 1 0 0 0 0 0 0 1 38 36 40 1 0 1 1.08 "oligotop" "NO"
"Aeshna crenata" "Aeshna crenata Hagen, 1856" "SPECIES" "accepted" "Aeshna crenata Hagen, 1856" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 1020903.35284089 78.5 NA NA 67.8 77.24 713.26 939 NA NA NA 0.137424657534246 1 0 0 0 1 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.271666666666667 NA 0 1 1 1 0 0.551752577319588 NA 0.96 0 1 0 0 0 NA 52 "strong" "territorial" 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 "no" "stripes" "hindwing" "not" 0.2408 0 1 0 0 0 0 0 0 1 41 37.8 44.36 1 0 1 0.08 "oligotop" "NO"
"Aeshna cyanea" "Aeshna cyanea (Müller, 1764)" "SPECIES" "accepted" "Aeshna cyanea (Müller, 1764)" "Aeshna" "Aeshnidae" "Odonata" "Insecta" "Arthropoda" "Dragonflies" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 23514479.2741718 71.5 NA NA 67 76 657.32 720 NA NA NA 0.155287671232877 1 1 0 0 1 1 NA 0 "Diurnal" "Carnivorous" "Carnivorous" "polyphagous" "polyphagous" 1 0 0 0 0 0 0 0 0 0 NA 0.625 NA 0 1 1 1 0 0.707903780068729 NA 1 0 1 1 0 0 NA 48 "strong" "territorial" 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 "no" "stripes" "hindwing" "not" 0.2428 0 1 0 0 0 0 0 0 1 41.5 38 45 1 1 1 0 "eurytop" "NO"
