"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "Growth" "Life_form" "Life_strategy" "Epiphyte" "Seta_caps" "Peristome" "Rhizoids" "Perm_proto" "Mating_type" "Sporophyte_freq" "Gen_length_y" "Seta_max_len_mm" "Gam_size_mm" "Spore_size_µm" "Veg_propagules" "Vp_max_size_µm" "Vp_gem" "Vp_tub" "Vp_bul" "Vp_lea" "vp_bra" "Vp_freq" "ROCKbet_substr" "WETsb_substr" "DRYsb_substr" "TUFAsb_substr" "CalROCKsb_substr" "CalrWETsb_substr" "CalrDRYsb_substr" "SilROCKsb_substr" "SilrWETsb_substr" "SilrDRYsb_substr" "HUMUSbet_substr" "HUMUSsb_substr" "BARKbet_substr" "BARKsb_substr" "DEADWbet_substr" "DEADWsb_substr" "nWOODYbet_substr" "nWOODYsb_substr" "ANIMALbet_substr" "ANIMALsb_substr" "MUDsb_substr" "SPECIALsb_substr" "EIVbet_Moisture" "EIVsb_Moisture" "EIVbet_pH" "EIVsb_pH" "EIVbet_Nutrients" "EIVbet_Na" "EIVbet_Temp" "EIVsb_Temp" "EIVbet_Light" "EIVsb_Light" "AnnuMeanTemp" "AnnuPrecip" "Elevation_low" "Elevation" "Elevation_up"
"Abietinella abietina" "Abietinella abietina (Hedw.) M.Fleisch." "SPECIES" "accepted" "Abietinella abietina (Hedw.) M.Fleisch." "Abietinella" "Thuidiaceae" "Bryales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" "ENDANGERED" 1 0 NA NA 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 NA NA "pleurocarpous" "weft" "perennial" 0 "erect" 1 1 0 "dioicous" "rare" 16.7 31 102.5 16.5 0 NA 0 0 0 0 0 NA 1 4 349 0 9 5 58 1 0 25 1 10 0 2 0 4 0 1 0 0 0 0 2 2 7 NA 2 0 0 3 8 4 5.55 709.2 0 1412.5 2825
"Acanthocoleus aberrans" "Acanthocoleus aberrans (Lindenb. & Gottsche) Kruijt" "SPECIES" "accepted" "Acanthocoleus aberrans (Lindenb. & Gottsche) Kruijt" "Acanthocoleus" "Lejeuneaceae" "Porellales" "Jungermanniopsida" "Marchantiophyta" "Bryophytes" "EEA" NA "No" NA "EN" "NOT_EVALUATED" NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "foliose" "mat" "shortLived_shuttle" 1 "erect" 0 1 NA NA NA 6.7 NA NA 28 0 NA 0 0 0 0 0 NA 1 NA NA NA NA NA NA NA NA NA 0 NA 1 NA 0 NA 0 NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA 16.25 1099.6 700 1000 1300
"Acaulon casasianum" "Acaulon casasianum Brugués & H.A.Crum" "SPECIES" "accepted" "Acaulon casasianum Brugués & H.A.Crum" "Acaulon" "Pottiaceae" "Pottiales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "Yes" NA "NT" "NEAR_THREATENED" 1 0 NA NA 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4986.7257188162 "acrocarpous" NA "annual_shuttle" 0 NA NA NA NA "monoicous" "common" 3.3 NA 1.25 28 0 NA 0 0 0 0 0 NA 0 NA NA NA NA NA NA NA NA NA 1 NA 0 NA 0 NA 0 NA 0 NA NA NA NA NA NA NA 4 NA NA NA NA NA 14.05 496.8 100 540 980
"Acaulon dertosense" "Acaulon dertosense Casas, Sérgio, Cros & Brugués" "SPECIES" "accepted" "Acaulon dertosense Casas, Sérgio, Cros & Brugués" "Acaulon" "Pottiaceae" "Pottiales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "Yes" NA "EN" "ENDANGERED" 1 0 NA NA 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3572.31887422588 "acrocarpous" NA "annual_shuttle" 0 NA NA NA NA "monoicous" "common" 3.3 NA 1.45 31 0 NA 0 0 0 0 0 NA 0 NA NA NA NA NA NA NA NA NA 1 NA 0 NA 0 NA 0 NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA 17.25 342.8 100 500 900
"Acaulon fontiquerianum" "Acaulon fontiquerianum Casas & Sérgio" "SPECIES" "accepted" "Acaulon fontiquerianum Casas & Sérgio" "Acaulon" "Pottiaceae" "Pottiales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "No" NA "NT" NA 1 0 NA NA 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "acrocarpous" NA "annual_shuttle" 0 NA NA NA NA "monoicous" "common" 3.3 NA 1.75 24 0 NA 0 0 0 0 0 NA 0 NA NA NA NA NA NA NA NA NA 1 NA 0 NA 0 NA 0 NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA 16.25 469.8 100 550 1000
"Acaulon mediterraneum" "Acaulon mediterraneum Limpr." "SPECIES" "accepted" "Acaulon mediterraneum Limpr." "Acaulon" "Pottiaceae" "Pottiales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "No" NA "NT" "CRITICALLY_ENDANGERED" 1 0 NA NA 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "acrocarpous" "turf" "annual_shuttle" 0 NA NA NA NA "monoicous" "common" 3.3 NA 2 30 0 NA 0 0 0 0 0 NA 0 NA NA NA NA NA NA NA NA NA 1 NA 0 NA 0 NA 0 NA 0 NA NA NA NA NA 5 NA NA 0 NA NA 7 NA 15.45 758.4 30 390 750
"Acaulon muticum" "Acaulon muticum (Schreb. ex Hedw.) Müll.Hal." "SPECIES" "accepted" "Acaulon muticum (Schreb. ex Hedw.) Müll.Hal." "Acaulon" "Pottiaceae" "Dicranales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "CR" "NT" "ENDANGERED" 1 0 NA NA 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 NA "acrocarpous" "annual" "annual_shuttle" 0 "erect" 0 NA 0 "monoicous" "common" 3.3 NA 2 35 0 NA 0 0 0 0 0 NA 1 0 19 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 7 3 5 4 4 0 5 3 9 4 8.65 674.3 0 700 1400
"Acaulon piligerum" "Acaulon piligerum (De Not.) Limpr." "SPECIES" "accepted" "Acaulon piligerum (De Not.) Limpr." "Acaulon" "Pottiaceae" "Pottiales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "Yes" NA "DD" "DATA_DEFICIENT" 1 0 NA NA 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1151.32447301545 "acrocarpous" NA "annual_shuttle" 0 NA NA NA NA NA "common" 3.3 NA NA NA 0 NA 0 0 0 0 0 NA 0 NA NA NA NA NA NA NA NA NA 1 NA 0 NA 0 NA 0 NA 0 NA NA NA 3 NA 7 NA NA NA 9 NA 9 NA 13.75 694.7 0 0 0
"Acaulon triquetrum" "Acaulon triquetrum (Spruce) Müll.Hal." "SPECIES" "accepted" "Acaulon triquetrum (Spruce) Müll.Hal." "Acaulon" "Pottiaceae" "Dicranales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "EN" "LC" NA 1 0 NA NA 1 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 NA "acrocarpous" "turf" "annual_shuttle" 0 NA NA NA NA "monoicous" "common" 3.3 NA 1.5 30 0 NA 0 0 0 0 0 NA 0 0 5 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 3 1 6 4 4 0 7 5 9 5 12.95 627.3 0 900 1800
"Achrophyllum dentatum" "Achrophyllum dentatum (Hook.f. & Wilson) Vitt & Crosby" "SPECIES" "accepted" "Achrophyllum dentatum (Hook.f. & Wilson) Vitt & Crosby" "Achrophyllum" "Daltoniaceae" "Hookeriales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "No" NA NA NA 1 0 NA NA 1 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "pleurocarpous" "mat" "perennial" 0 "inclined" 1 1 NA "dioicous" NA 16.7 20 35 15 0 NA 0 0 0 0 0 NA 1 NA NA NA NA NA NA NA NA NA 0 NA 0 NA 0 NA 0 NA 0 NA NA NA NA NA 6 NA NA 0 NA NA 2 NA 11.3 976.45 50 50 50
