"species" "scientificName" "taxonRank" "gbif_status" "gbif_accepted" "genus" "family" "order" "class" "phylum" "group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "BodyMass_g" "BodyLength_mm" "Litter_size" "Reproductive_mode" "Age_at_maturity_y" "First_breeding_y" "Longevity_max_y" "Activity" "Diet" "Diet_Inv" "Diet_Vert" "Diet_Scav" "Diet_Fruit" "Diet_Nect" "Diet_Seed" "Diet_Plant" "Verticality" "MajorHabitatSum" "HabitatBreadth" "PropUrbanArea" "PropCroplandArea" "PropPastureArea" "PropRangeLandArea" "AnnuMeanTemp" "AnnuPrecip" "TempSeasonality" "PrecipSeasonality" "Elevation" "Dispersal_km" "Foraging_strata" "BMR"
"Acomys minous" "Acomys minous Bate, 1906" "SPECIES" "accepted" "Acomys minous Bate, 1906" "Acomys" "Muridae" "Rodentia" "Mammalia" "Chordata" "Mammals" "EEA" NA "Yes" NA "DD" "DATA_DEFICIENT" 1 0 0 0 1 0 1 0 0 0 1 0 0 NA NA NA NA NA NA 0 1 NA NA 0 48400 62.5 175 2.47 "Viviparous" 0.158904109589041 0.263013698630137 7.48333424657534 "Nocturnal" "Herbivorous" 0 1 0 0 0 0 1 0.5 2 2 0.000734638 0.034622439 0.052287852 0 16.38469458 690.1180453 4750.805858 85.63743748 107.0802908 0.193 1 NA
"Acomys nesiotes" "Acomys nesiotes Bate, 1903" "SPECIES" "accepted" "Acomys nesiotes Bate, 1903" "Acomys" "Muridae" "Rodentia" "Mammalia" "Chordata" "Mammals" "FaunaEuropeae" NA NA NA NA "DATA_DEFICIENT" 1 0 0 0 1 0 0 0 0 0 1 0 0 NA NA NA NA NA NA 0 0 NA NA 0 60500 52.5 175 2.47 "Viviparous" 0.158904109589041 0.263013698630137 7.48333424657534 "Nocturnal" "Herbivorous" 0 1 0 0 0 0 1 0.5 1 1 0.001353959 0.023783348 0 0 18.92646829 517.2809925 5542.375023 85.65559229 77.64244815 0.193 1 NA
"Alactagulus pumilio" "Alactagulus pumilio Kerr, 1792" "SPECIES" "homotypic synonym" "Pygeretmus pumilio (Kerr, 1792)" "Pygeretmus" "Dipodidae" "Rodentia" "Mammalia" "Chordata" "Mammals" "FaunaEuropeae" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Alces alces" "Alces alces (Linnaeus, 1758)" "SPECIES" "accepted" "Alces alces (Linnaeus, 1758)" "Alces" "Cervidae" "Cetartiodactyla" "Mammalia" "Chordata" "Mammals" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 0 0 0 1 1 0 0 0 1 0 0 1 NA NA NA NA NA NA 1 0 NA NA 0 25010700 356998 3100 1.27 "Viviparous" 1.91984931506849 2.86716438356164 27 "Cathemeral" "Herbivorous" 0 0 0 0 0 0 1 0.5 3 5 0.000679416 0.03548105 0.010303847 0.01613499 -1.922804872 491.8576224 12903.7497 55.18508606 503.207001 26.984 1 NA
"Allactaga elater" "Allactaga elater (Lichtenstein, 1828)" "SPECIES" "accepted" "Allactaga elater (Lichtenstein, 1828)" "Allactaga" "Dipodidae" "Rodentia" "Mammalia" "Chordata" "Mammals" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 0 0 0 1 0 1 0 0 0 0 0 0 NA NA NA NA NA NA 0 1 NA NA 0 5251400 59 115 4.485 "Viviparous" 0.389041095890411 0.28827397260274 5.2 "Nocturnal" "Herbivorous" 1 0 0 0 0 1 1 0.5 2 2 0.001387804 0.04046989 0.003978584 0.293313109 12.80549212 185.1593375 10936.69969 59.41431241 578.3496331 0.223 1 NA
"Allactaga major" "Allactaga major (Kerr, 1792)" "SPECIES" "accepted" "Allactaga major (Kerr, 1792)" "Allactaga" "Dipodidae" "Rodentia" "Mammalia" "Chordata" "Mammals" "EEA" NA "No" NA "NT" "LEAST_CONCERN" 1 0 0 0 1 0 1 0 0 0 0 1 0 NA NA NA NA NA NA 1 1 NA NA 0 5469200 350 263 3.6175 "Viviparous" 1.03443835616438 NA 7.56666575342466 "Nocturnal" "Herbivorous" 1 0 0 0 0 1 1 0.5 4 4 0.001741297 0.153079076 0.039643754 0.24311617 6.181034831 345.5598726 11722.00833 31.66849603 308.4105685 0.595 1 NA
"Allocricetulus eversmanni" "Allocricetulus eversmanni (Brandt, 1859)" "SPECIES" "accepted" "Allocricetulus eversmanni (Brandt, 1859)" "Allocricetulus" "Cricetidae" "Rodentia" "Mammalia" "Chordata" "Mammals" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 0 0 0 1 0 1 0 0 0 0 1 0 NA NA NA NA NA NA 1 1 NA NA 0 2371600 115.6 115 4.99 "Viviparous" NA NA 2.65833424657534 "Nocturnal" "Herbivorous" 1 0 0 1 0 1 1 0.5 3 5 0.000647884 0.106991853 0.025482669 0.362075371 4.832126674 279.2152545 12805.79972 31.63282854 330.1232865 0.323 1 NA
"Alopex lagopus" "Alopex lagopus (Linnaeus, 1758)" "SPECIES" "homotypic synonym" "Vulpes lagopus (Linnaeus, 1758)" "Alopex" "Canidae" "Carnivora" "Mammalia" "Chordata" "Mammals" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 0 1 0 1 0 0 0 0 0 0 1 0 NA NA NA NA NA NA 0 0 NA NA 0 19444700 4867.7 850 7.885 "Viviparous" 0.832876712328767 0.949 16.3 "Nocturnal" "Carnivorous" 1 1 1 0 0 0 0 0.5 1 1 1.86036e-05 9.40792e-05 2.9355e-05 4.98925e-06 -11.19908764 341.4216648 12463.19743 48.97238955 642.8156745 12.176 1 2146.65
"Alopex lagopus subsp. lagopus" "Alopex lagopus lagopus" "SUBSPECIES" "doubtful" "Alopex lagopus lagopus (Linnaeus, 1758)" "Vulpes" "Canidae" "Carnivora" "Mammalia" "Chordata" "Mammals" "FaunaEuropeae" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Alopex lagopus subsp. spitsbergenensis" "Alopex lagopus spitsbergenensis (Barrett-Hamilton & Bonhote, 1898)" "SUBSPECIES" "doubtful" "Alopex lagopus spitsbergenensis (Barrett-Hamilton & Bonhote, 1898)" "Vulpes" "Canidae" "Carnivora" "Mammalia" "Chordata" "Mammals" "FaunaEuropeae" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
