species Genus Family Order BodyMass_g BodyLength_mm Litter_size Reproductive_mode Age_at_maturity_y First_breeding_y Longevity_max_y Activity Diet Diet_Inv Diet_Vert Diet_Scav Diet_Fruit Diet_Nect Diet_Seed Diet_Plant Fos Ter Aqu Arb Aer Verticality EcoTer EcoFresh EcoMar MajorHabitat_1 MajorHabitat_2 MajorHabitat_3 MajorHabitat_4 MajorHabitat_5 MajorHabitat_6 MajorHabitat_7 MajorHabitat_8 MajorHabitat_9 MajorHabitat_10 MajorHabitat_12 MajorHabitat_13 MajorHabitat_14 MajorHabitat_15 MajorHabitat_16 MajorHabitat_17 MajorHabitatSum HabitatBreadth PropUrbanArea PropCroplandArea PropPastureArea PropRangeLandArea AnnuMeanTemp AnnuPrecip TempSeasonality PrecipSeasonality Elevation Dispersal_km RangeSize_km2 IUCN_status Head_length_mm Eye_diameter_mm Interorbital_dist_mm Internarial_dist_mm Eye_nostril_dist_mm gbif_accepted gbif_rank gbif_genus gbif_family gbif_order gbif_class gbif_phylum gbif_IUCN
"Abavorana decorata" Abavorana Ranidae NA NA 49.92 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 19.025 5.53 5.65 5.945 NA "Abavorana decorata" SPECIES Abavorana Ranidae Anura Amphibia Chordata NOT_EVALUATED
"Abavorana luctuosa" Abavorana Ranidae NA NA 44.06 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 16.68 4.56 4.64 5.695 NA "Abavorana luctuosa (Peters, 1871)" SPECIES Abavorana Ranidae Anura Amphibia Chordata LEAST_CONCERN
"Abavorana nazgul" Abavorana Ranidae NA NA 47.64 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 18.13 4.485 4.57 6.125 NA "Abavorana nazgul Quah, Anuar, Grismer, Wood, Azizah & Muin, 2017" SPECIES Abavorana Ranidae Anura Amphibia Chordata CRITICALLY_ENDANGERED
"Acanthixalus sonjae" Acanthixalus Hyperoliidae Anura NA 38.5 9 Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 1 1 0 0.75 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 NA 0.001924768 0.146121025 0.176551729 0 25.21142343 1828.329588 862.2673375 50.28318999 190.7122899 NA 48400 VULNERABLE NA NA NA NA NA "Acanthixalus sonjae Rödel, Kosuch, Veith & Ernst, 2003" SPECIES Acanthixalus Hyperoliidae Anura Amphibia Chordata VULNERABLE
"Acanthixalus spinosus" Acanthixalus Hyperoliidae Anura NA 38.3 9 Oviparous NA NA NA Nocturnal NA NA NA NA NA NA NA NA 0 1 1 1 0 0.75 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 NA 0.001282869 0.034123605 0.049916598 0.040351285 23.57992057 1781.667998 689.6255606 50.15944117 458.9587267 NA 1706100 LEAST_CONCERN NA NA NA NA NA "Acanthixalus spinosus (Buchholz & Peters, 1875)" SPECIES Acanthixalus Hyperoliidae Anura Amphibia Chordata LEAST_CONCERN
"Acris blanchardi" Acris Hylidae Anura 3.8 38 275 NA NA NA 1.5 Diurnal Carnivorous 1 0 NA 0 0 0 0 0 1 1 0 0 0.5 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 3 NA 0.007049285 0.225971089 0.111614931 0.203157683 15.4695902 890.3829518 8800.557004 38.69523997 371.7574705 NA 1089000 LEAST_CONCERN NA NA NA NA NA "Acris blanchardi Harper, 1947" SPECIES Acris Hylidae Anura Amphibia Chordata LEAST_CONCERN
"Acris crepitans" Acris Hylidae Anura 1.69 38 270 Oviparous 1 NA 4.9 Cathemeral Carnivorous 1 0 NA 0 0 0 0 0 1 1 1 0 0.75 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 4 NA 0.014336854 0.194350928 0.084721936 0.114431256 15.03918306 986.5704403 8190.127741 31.31185352 326.0992349 NA 4210800 LEAST_CONCERN NA NA NA NA NA "Acris crepitans Baird, 1854" SPECIES Acris Hylidae Anura Amphibia Chordata LEAST_CONCERN
"Acris gryllus" Acris Hylidae Anura 0.9 32 174.5 Oviparous NA NA NA Cathemeral Carnivorous 1 0 NA 0 0 0 0 0 1 1 1 0 0.75 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 4 NA 0.016902175 0.116961102 0.043964569 0.000245207 18.52315454 1342.1978 6311.058537 26.09030852 77.52883709 NA 1076900 LEAST_CONCERN NA NA NA NA NA "Acris gryllus (LeConte, 1825)" SPECIES Acris Hylidae Anura Amphibia Chordata LEAST_CONCERN
"Adelastes hylonomos" Adelastes Microhylidae Anura NA 29 NA NA NA NA NA Crepuscular Carnivorous 1 0 NA 0 0 0 0 0 1 0 0 0 0.5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 NA 0.0000203349 0.0000178635 0 0 24.46861806 2945.582083 349.2709722 22.20034722 152.5440278 NA 12100 LEAST_CONCERN 8.1 2.15 NA 2.25 2.3 "Adelastes hylonomos Zweifel, 1986" SPECIES Adelastes Microhylidae Anura Amphibia Chordata LEAST_CONCERN
"Adelophryne adiastola" Adelophryne Eleutherodactylidae Anura NA 17 NA Oviparous NA NA NA Nocturnal Carnivorous 1 0 NA 0 0 0 0 0 1 1 0 0 0.5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 NA 0.000142749 0.000675472 0.000176331 0 24.61496589 3206.213509 430.1087644 21.6913416 140.628735 NA 387200 LEAST_CONCERN NA NA NA NA NA "Adelophryne adiastola Hoogmoed & Lescure, 1984" SPECIES Adelophryne Eleutherodactylidae Anura Amphibia Chordata LEAST_CONCERN
