"species" "Genus" "Family" "Order" "BodyLength_mm" "BodyLength_male" "BodyLength_female" "BodyLength_min" "BodyLength_max" "Litter_size" "Development_total_d" "Development_egg_mean_d" "Development_larva_mean_d" "Development_pupa_mean_d" "Longevity_y" "Semivoltine" "Univoltine" "Bivoltine" "Multivoltine" "Overwintering_egg" "Overwintering_larva" "Overwintering_pupa" "Overwintering_imago" "Activity" "Larva_Diet" "Imago_Diet" "Larva_Diet_range" "Imago_Diet_range" "Diet_Carniv" "Diet_Scav" "Diet_Fungi" "Diet_Root" "Diet_Seed" "Diet_Leaf" "Diet_Flower" "Diet_Stem" "Diet_Grass" "Diet_Woody" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "EIV_Light" "EIV_Temp" "EIV_Moisture" "Elev_Planar" "Elev_Colline" "Elev_Montane" "Elev_Subalpine" "Elev_Alpine" "Dispersal_ability" "Dispersal_km" "RangeSize_km2" "IUCN_status" "Riparian_sp" "BodyWidth_mm" "BodyHeight_mm" "Head_length_mm" "Head_width_mm" "Eye_area_mm2" "Antenna_length_mm" "Mandible_length_mm" "Proximal_mandible_width_mm" "Front_leg_length_mm" "Mid_leg_length_mm" "Hind_leg_length_mm" "Wing_morphology" "Elytra_length_mm" "Elytra_width_mm" "Wing_length_mm" "Wing_width_mm" "Wing_area_mm2" "Hairiness_total" "Colour_lightness" "Biotope_range" "gbif_accepted" "gbif_rank" "gbif_genus" "gbif_family" "gbif_order" "gbif_class" "gbif_phylum" "gbif_IUCN"
"Abax carinatus" NA "Carabidae" "Coleoptera" 15.5 NA NA 13 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA 0 1 1 1 1 NA 0 0 0 NA 0 0 0 NA NA NA NA NA NA NA NA 0.333333333333333 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "aptery/brachyptery" NA NA NA NA NA NA NA NA "Abax carinatus (Duftschmid, 1812)" "SPECIES" "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Abax carinatus subsp. porcatus" "Abax" NA "Coleoptera" 15.5 NA NA 13 18 NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 NA 0 NA 0 0 0 0 0 0 0 0 0 0 NA 1 1 0 NA NA NA NA 0.5 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "aptery/brachyptery" NA NA NA NA NA NA NA "eurytop" "Abax carinatus carinatus" "SUBSPECIES" "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_FOUND"
"Abax continuus subsp. wuesthoffi" "Abax" NA "Coleoptera" 16.5 NA NA 14 19 NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 NA 0 0 0 0 1 1 0 1 0 0 NA 0 0 0 NA NA NA NA 0.5 1 1 1 1 0 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA "aptery/brachyptery" NA NA NA NA NA NA NA "stenotop" NA NA NA NA NA NA NA NA
"Abax exaratus subsp. baenningeri" "Abax" NA "Coleoptera" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 NA 1 1 0 0 0 0 0 0 0 0 NA 0 0 0 NA NA NA NA 0.5 NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA "aptery/brachyptery" NA NA NA NA NA NA NA "eurytop" NA NA NA NA NA NA NA NA
"Abax exaratus subsp. exaratus" "Abax" NA "Coleoptera" 14.5 NA NA 12 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 NA 0 0 0 1 1 0 0 1 0 0 NA 0 0 0 NA NA NA NA 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "aptery/brachyptery" NA NA NA NA NA NA NA "eurytop" NA NA NA NA NA NA NA NA
"Abax exaratus subsp. pilleri" "Abax" NA "Coleoptera" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 NA 0 0 0 1 0 0 0 0 0 0 NA 0 0 0 NA NA NA NA 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "aptery/brachyptery" NA NA NA NA NA NA NA "stenotop" NA NA NA NA NA NA NA NA
"Abax fiorii" "Abax" NA "Coleoptera" 19.5 NA NA 18 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 NA 0 0 0 1 1 1 0 0 0 0 NA 0 0 0 NA NA NA NA 0.5 0 1 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "aptery/brachyptery" NA NA NA NA NA NA NA "eurytop" "Abax fiorii Jakobson, 1907" "SPECIES" "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Abax oblongus" "Abax" NA "Coleoptera" 15 NA NA 13 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.5 0 0 1 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "aptery/brachyptery" NA NA NA NA NA NA NA "NA" "Abax oblongus (Dejean, 1831)" "SPECIES" "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Abax ovalis" "Abax" "Carabidae" "Coleoptera" 13 NA NA 11 15 15 NA NA 210 NA NA NA NA NA NA 0 1 0 1 "Cathemeral" NA "Carnivorous" NA NA 1 NA NA NA NA NA NA NA NA NA 0 1 NA 0 NA 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 NA NA 0.75 1 1 1 1 0 0.333333333333333 NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA "aptery/brachyptery" NA NA NA NA NA NA NA "eurytop" "Abax ovalis (Duftschmid, 1812)" "SPECIES" "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Abax parallelepipedus" NA "Carabidae" "Coleoptera" 18.5 NA NA 16 22 NA NA NA 150 NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" NA "polyphagous" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA 0 1 1 1 1 NA 0 0 0 NA 0 0 0 NA NA NA NA NA NA NA NA 0.333333333333333 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "aptery/brachyptery" NA NA NA NA NA NA NA NA "Abax parallelepipedus (Piller & Mitterpacher, 1783)" "SPECIES" "Abax" "Carabidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
