"species" "Functional_group" "Ascoma_type" "Ascoma_development" "Ascus_dehiscence" "C_perct" "N_perct" "P_perct" "C.N_perct" "C.P_perct" "N.P_perct" "Sporocarp_N_perct" "Melanin_content_mg.g" "Spore_width_μm" "Spore_length_μm" "Spore_size_μm3" "Fruiting_body_size_mm2" "Fos" "Ter" "Aqu" "Arb" "Aer" "Substrate" "RangeSize_km2" "IUCN_status" "gbif_accepted" "gbif_rank" "gbif_genus" "gbif_family" "gbif_order" "gbif_class" "gbif_phylum" "gbif_IUCN"
"Abortiporus biennis" "saprobe" NA NA NA 44 NA 0.41 NA 275.89 NA NA NA NA NA NA NA 0 0 NA 1 0 "wood" NA NA "Abortiporus biennis (Bull.) Singer" "SPECIES" "Abortiporus" "Podoscyphaceae" "Polyporales" "Agaricomycetes" "Basidiomycota" "NOT_EVALUATED"
"Abrothallus bertianus" "lichenicolous_fungus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "mosses_lichens" NA NA "Abrothallus parmeliarum (Sommerf.) Arnold" "SPECIES" "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" "NOT_EVALUATED"
"Abrothallus bryoriarum" "lichenicolous_fungus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "mosses_lichens" NA NA "Abrothallus bryoriarum Hafellner" "SPECIES" "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" "NOT_EVALUATED"
"Abrothallus buellianus" "lichenicolous_fungus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "mosses_lichens" NA NA "Abrothallus buellianus De Not." "SPECIES" "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" "NOT_EVALUATED"
"Abrothallus caerulescens" "lichenicolous_fungus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "mosses_lichens" NA NA "Abrothallus caerulescens I.Kotte" "SPECIES" "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" "NOT_EVALUATED"
"Abrothallus cetrariae" "lichenicolous_fungus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "mosses_lichens" NA NA "Abrothallus cetrariae I.Kotte" "SPECIES" "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" "NOT_EVALUATED"
"Abrothallus chrysanthus" "lichenicolous_fungus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "mosses_lichens" NA NA "Abrothallus chrysanthus Stein, 1879" "SPECIES" "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" "NOT_EVALUATED"
"Abrothallus cladoniae" "lichenicolous_fungus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "mosses_lichens" NA NA "Abrothallus cladoniae R.Sant. & D.Hawksw." "SPECIES" "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" "NOT_EVALUATED"
"Abrothallus microspermus" "lichenicolous_fungus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "mosses_lichens" NA NA "Abrothallus microspermus Tul." "SPECIES" "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" "NOT_EVALUATED"
"Abrothallus parmeliarum" "lichenicolous_fungus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 NA 0 0 "mosses_lichens" NA NA "Abrothallus parmeliarum (Sommerf.) Arnold" "SPECIES" "Abrothallus" "Abrothallaceae" "Abrothallales" "Dothideomycetes" "Ascomycota" "NOT_EVALUATED"
