species Genus Family Order BodyMass_g BodyLength_mm Litter_size Reproductive_mode Age_at_maturity_y First_breeding_y Longevity_max_y Activity Diet Diet_Inv Diet_Vert Diet_Scav Diet_Fruit Diet_Nect Diet_Seed Diet_Plant Fos Ter Aqu Arb Aer Verticality EcoTer EcoFresh EcoMar MajorHabitat_1 MajorHabitat_2 MajorHabitat_3 MajorHabitat_4 MajorHabitat_5 MajorHabitat_6 MajorHabitat_7 MajorHabitat_8 MajorHabitat_9 MajorHabitat_10 MajorHabitat_12 MajorHabitat_13 MajorHabitat_14 MajorHabitat_15 MajorHabitat_16 MajorHabitat_17 MajorHabitatSum HabitatBreadth PropUrbanArea PropCroplandArea PropPastureArea PropRangeLandArea AnnuMeanTemp AnnuPrecip TempSeasonality PrecipSeasonality Elevation Dispersal_km RangeSize_km2 IUCN_status Foraging_strata BMR gbif_accepted gbif_rank gbif_genus gbif_family gbif_order gbif_class gbif_phylum gbif_IUCN
"Abditomys latidens" Abditomys Muridae Rodentia 269 232 NA Viviparous NA NA NA Nocturnal Herbivorous 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 4 0.027600517 0.19051238 0.026178273 0 24.65906112 2457.961653 1111.930678 78.63222195 360.954739 0.514 60500 DATA_DEFICIENT 3 NA "Abditomys latidens (Sanborn, 1952)" SPECIES Abditomys Muridae Rodentia Mammalia Chordata DATA_DEFICIENT
"Abeomelomys sevia" Abeomelomys Muridae Rodentia 52 190 1 Viviparous NA NA NA Nocturnal Herbivorous 1 0 0 1 0 1 1 0 1 0 0 0 0.5 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0.000483662 0.029138332 0.003502842 0.0000323476 18.54564276 2951.353969 253.0471362 31.54588332 1404.554222 0.221 84700 LEAST_CONCERN 1 NA "Abeomelomys sevia (Tate & Archbold, 1935)" SPECIES Abeomelomys Muridae Rodentia Mammalia Chordata LEAST_CONCERN
"Abrawayaomys chebezi" Abrawayaomys Cricetidae Rodentia NA NA NA Viviparous NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 NA 0.009621581 0.187611679 0.192047957 0 21.61795113 1761.471679 3323.215915 18.3033208 264.6575815 NA 12100 DATA_DEFICIENT NA NA "Abrawayaomys chebezi Pardiñas, Teta & D'Elía, 2009" SPECIES Abrawayaomys Cricetidae Rodentia Mammalia Chordata DATA_DEFICIENT
"Abrawayaomys ruschii" Abrawayaomys Cricetidae Rodentia 63 NA NA Viviparous NA NA NA Nocturnal Herbivorous 1 0 0 1 0 1 1 0 1 0 0 0 0.5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0.014342253 0.190807692 0.313814471 0.004194404 21.42883184 1362.775548 1984.8794 72.95784186 678.198322 0.232 229900 LEAST_CONCERN 1 NA "Abrawayaomys ruschii Cunha & Cruz, 1979" SPECIES Abrawayaomys Cricetidae Rodentia Mammalia Chordata LEAST_CONCERN
"Abrocoma bennettii" Abrocoma Abrocomidae Rodentia 250 206 3.93 Viviparous NA NA 2.33333424657534 Nocturnal Herbivorous 0 0 0 0 0 0 1 0 1 0 0 0 0.5 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 2 2 0.0050451 0.011662191 0.015371364 0.057258398 11.76379354 175.3035148 4319.213692 117.3444172 1589.890165 0.511 266200 LEAST_CONCERN 1 NA "Abrocoma bennettii Waterhouse, 1837" SPECIES Abrocoma Abrocomidae Rodentia Mammalia Chordata LEAST_CONCERN
"Abrocoma boliviensis" Abrocoma Abrocomidae Rodentia 158 178 NA Viviparous NA NA NA Diurnal Herbivorous 0 0 0 0 0 0 1 0 1 0 0 0 0.5 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 2 0 0.03578218 0.09150531 0 16.5417126 759.3034121 1925.977756 79.40059055 1915.164993 0.384 12100 CRITICALLY_ENDANGERED 1 NA "Abrocoma boliviensis Glanz & Anderson, 1990" SPECIES Abrocoma Abrocomidae Rodentia Mammalia Chordata CRITICALLY_ENDANGERED
"Abrocoma budini" Abrocoma Abrocomidae Rodentia 360.7 201 1.995 Viviparous NA NA 1.08333424657534 Nocturnal Herbivorous 0 0 0 0 0 0 1 0 1 0 0 0 0.5 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 2 0.002076168 0.0086284 0 0.380754081 19.37257299 466.8693431 5053.498662 83.62609489 483.5588504 0.463 12100 DATA_DEFICIENT 1 NA "Abrocoma budini Thomas, 1920" SPECIES Abrocoma Abrocomidae Rodentia Mammalia Chordata DATA_DEFICIENT
"Abrocoma cinerea" Abrocoma Abrocomidae Rodentia 250 196 2.0925 Viviparous NA NA 1.08333424657534 Diurnal Herbivorous 0 0 0 0 0 0 1 0 1 0 0 0 0.5 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 2 0.001587252 0.026585255 0.093078752 0.279089243 7.413512872 426.1086424 2733.992272 115.8444677 3550.215768 0.463 786500 LEAST_CONCERN 1 NA "Abrocoma cinerea Thomas, 1919" SPECIES Abrocoma Abrocomidae Rodentia Mammalia Chordata LEAST_CONCERN
"Abrocoma famatina" Abrocoma Abrocomidae Rodentia 233.4 182 1.995 Viviparous NA NA 1.08333424657534 Nocturnal Herbivorous 0 0 0 0 0 0 1 0 1 0 0 0 0.5 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 2 0.000430998 0.003965017 0 0.507347059 11.46725053 195.5407336 4611.231405 105.6208005 2093.821506 0.463 24200 DATA_DEFICIENT 1 NA "Abrocoma famatina Thomas, 1920" SPECIES Abrocoma Abrocomidae Rodentia Mammalia Chordata DATA_DEFICIENT
"Abrocoma shistacea" Abrocoma Abrocomidae Rodentia 276.3 196 1.995 Viviparous NA NA 1.08333424657534 Diurnal Herbivorous 0 0 0 0 0 0 1 0 1 0 0 0 0.5 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 2 0.002288553 0.027279614 0 0.413784683 10.05256972 106.070143 5580.012834 69.59038565 2048.250484 0.463 36300 LEAST_CONCERN 1 NA "Abrocoma shistacea Thomas, 1921" SPECIES Abrocoma Abrocomidae Rodentia Mammalia Chordata LEAST_CONCERN
